Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,CreatedDate,LastModifiedDate,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsPartner,IsCustomerPortal,ChannelProgramName,ChannelProgramLevelName,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,OrderApi__Account_Email__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Disable_Badge_Flow_down__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Outstanding_Credits__c,OrderApi__Price_Rules_Usages__c,OrderApi__Primary_Contact__c,CPBase__Restrict_Assignment_Visibility__c,DonorApi__Accepts_Unsolicited_Proposals__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Annual_Giving_Total__c,DonorApi__Auto_Calculate_Household_Greetings__c,DonorApi__Classification__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Funding_Cycle__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Gifts_Value__c,DonorApi__Gives_Anonymously__c,DonorApi__Has_Open_Gift_Opportunity__c,DonorApi__Household_Default_Greeting_Type__c,DonorApi__Household_Default_Greeting__c,DonorApi__Household_Email__c,DonorApi__Household_Formal_Greeting__c,DonorApi__Household_Informal_Greeting__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Matches_Employee_Giving__c,DonorApi__Next_Funding_Cycle_Month__c,DonorApi__Num_Open_Gift_Opportunities__c,DonorApi__Organizational_Recognition_Name__c,DonorApi__Primary_Relationship_Manager__c,OrderApi__Restrict_Assignment_Visibility__c,OrderApi__Privacy_Settings__c,BillingStateCode,BillingCountryCode,ShippingStateCode,ShippingCountryCode,GDO_Data_Type__c,DirectoryApi__Directory_Opt_Out__c,Facebook_Account_Name__c,Membership_Types__c,GDO_Directory_Image__c,GDO_Data_Region__c,Member_Since__c,Membership_Type__c,Budget_Cycle__c,MasterRecord.Id,Parent.Id,OrderApi__Primary_Contact__r.Id,DonorApi__Primary_Relationship_Manager__r.Id
0014W000022V4hRQAS,false,,Guest Checkout Account Test1,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000022V4hRQAS,,,,,,,,,,2020-09-09T06:55:33.000+0000,2020-09-09T06:55:33.000+0000,2020-09-09T06:55:33.000+0000,,2020-09-09T09:20:46.000+0000,2020-09-09T09:20:46.000+0000,false,false,,,,,,,,,false,,,,,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,,
0014W000021fm0ZQAQ,false,,Teagan O'Bar Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021fm0ZQAQ,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,false,,,,,,,teagano@moaa.org,,false,,,,0034W00002AU8TcQAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,0034W00002AU8TcQAL,
0014W000021flzYQAQ,false,,Ellen Example_ReJoin Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021flzYQAQ,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,true,,,,,,,,,false,,,"{""a1C6A000001Bn7cUAC"":2}",0034W00002AU8S6QAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,0034W00002AU8S6QAL,
0014W000021fm0aQAA,false,,FON Example_ReJoin Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021fm0aQAA,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,false,,,,,,,fonrejoin@mailinator.com,,false,,,"{""a1C6A000001Bn7cUAC"":1}",0034W00002AU8TdQAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,0034W00002AU8TdQAL,
0014W000021flzZQAQ,false,,Fon Example_ReJoin Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021flzZQAQ,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,true,,,,,,,examplerejoin@mailinator.com,,false,,,"{""a1C6A000001Bn7cUAC"":4,""a1C6A000001w9oeUAA"":2}",0034W00002AU8S7QAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,0034W00002AU8S7QAL,
0014W000021fm0bQAA,false,,JANE DOE Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021fm0bQAA,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,false,,,,,,,robinmay09@gmail.com,,false,,,,0034W00002AU8TeQAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,0034W00002AU8TeQAL,
0014W000021fm0cQAA,false,,Robin May McMorris -test Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021fm0cQAA,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,false,,,,,,,robinmc.zphib@gmail.com,,false,,,,0034W00002AU8TfQAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,0034W00002AU8TfQAL,
0014W000021fm0dQAA,false,,FON Fischer Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021fm0dQAA,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,false,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":4,""a1C6A000001Bn7cUAC"":9,""a1C6A000001Bn4tUAC"":4}",0034W00002AU8TgQAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/AbHTLSDb_Fonteva_Logo_png&bucket=fonteva-customer-media-secure,,,,,,,0034W00002AU8TgQAL,
0014W000021fm0eQAA,false,,asdfasdf asdfasdfasdfasdf Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021fm0eQAA,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,false,,,,,,,aardfasdfsaon@fonteva.com,,false,,,,0034W00002AU8TiQAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,0034W00002AU8TiQAL,
0014W000021fm0fQAA,false,,asdfasdf asdfasdf Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0014W000021fm0fQAA,,,,,,,,,,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,false,false,,,,,,,aa34234safron@fonteva.com,,false,,,,0034W00002AU8TjQAL,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,false,,,,,false,private,,,,,,false,,,,,,,,,,0034W00002AU8TjQAL,
