Id,AccountId,ReportsToId,DonorApi__Primary_Relationship_Manager__c,DonorApi__Spouse__c,Errors
003R000001XNsCzIAL,001R000001lCyNmIAK,,,,
003R000001XNsD0IAL,001R000001lCyNmIAK,,,,
003R000001XNsD1IAL,001R000001lCyNmIAK,,,,
003R000001XNsD2IAL,001R000001lCyNnIAK,,,,
003R000001XNsD3IAL,001R000001lCyNnIAK,,,,
003R000001XNsD4IAL,001R000001lCyNnIAK,,,,
003R000001XNsD5IAL,001R000001lCyNnIAK,,,,
003R000001XNsD6IAL,001R000001lCyNnIAK,,,,
003R000001XNsD7IAL,001R000001lCyNoIAK,,,,
003R000001XNsD8IAL,001R000001lCyNoIAK,,,,
003R000001XNsD9IAL,001R000001lCyNoIAK,,,,
003R000001XNsDAIA1,001R000001lCyNoIAK,,,,
003R000001XNsDBIA1,001R000001lCyNoIAK,,,,
003R000001XNsDCIA1,001R000001lCyOOIA0,,,,
003R000001XNsDDIA1,001R000001lCyNuIAK,,,,
003R000001XNsDEIA1,001R000001lCyNuIAK,,,,
003R000001XNsDFIA1,001R000001lCyOlIAK,,,,
003R000001XNsDGIA1,001R000001lCyNuIAK,,,,
003R000001XNsDHIA1,001R000001lCyNuIAK,,,,
003R000001XNsDIIA1,001R000001lCyNuIAK,,,,
003R000001XNsDJIA1,001R000001lCyNuIAK,,,,
003R000001XNsDKIA1,001R000001lCyOOIA0,,,,
003R000001XNsDLIA1,001R000001lCyNuIAK,,,,
003R000001XNsDMIA1,001R000001lCyNuIAK,,,,
003R000001XNsDNIA1,001R000001lCyNuIAK,,,,
003R000001XNsDOIA1,001R000001lCyNuIAK,,,,
003R000001XNsDPIA1,001R000001lCyNuIAK,,,,
003R000001XNsDQIA1,001R000001lCyNrIAK,,,,
003R000001XNsDRIA1,001R000001lCyNsIAK,,,,
003R000001XNsDSIA1,001R000001lCyNsIAK,,,,
003R000001XNsDTIA1,001R000001lCyNsIAK,,,,
003R000001XNsDUIA1,001R000001lCyNtIAK,,,,
003R000001XNsDVIA1,001R000001lCyNtIAK,,,,
003R000001XNsDWIA1,001R000001lCyNuIAK,,,,
003R000001XNsDXIA1,001R000001lCyNuIAK,,,,
003R000001XNsDYIA1,001R000001lCyNuIAK,,,,
003R000001XNsDZIA1,001R000001lCyOHIA0,,,,
003R000001XNsDaIAL,001R000001lCyNaIAK,,,,
003R000001XNsDbIAL,001R000001lCyNuIAK,,,,
003R000001XNsDcIAL,001R000001lCyOGIA0,,,,
003R000001XNsDdIAL,001R000001lCyOIIA0,,,,
003R000001XNsDeIAL,001R000001lCyOJIA0,,,,
003R000001XNsDfIAL,001R000001lCyOKIA0,,,,
003R000001XNsDgIAL,001R000001lCyOLIA0,,,,
003R000001XNsDhIAL,001R000001lCyOMIA0,,,,
003R000001XNsDiIAL,001R000001lCyONIA0,,,,
003R000001XNsDjIAL,001R000001lCyOOIA0,,,,
003R000001XNsDkIAL,001R000001lCyOPIA0,,,,
003R000001XNsDlIAL,001R000001lCyNuIAK,,,,
003R000001XNsDmIAL,001R000001lCyNuIAK,,,,
003R000001XNsDnIAL,001R000001lCyNuIAK,,,,
003R000001XNsDoIAL,001R000001lCyNuIAK,,,,
003R000001XNsDpIAL,001R000001lCyMdIAK,,,,
003R000001XNsDqIAL,001R000001lCyMeIAK,,,,
003R000001XNsDrIAL,001R000001lCyMfIAK,,,,
003R000001XNsDsIAL,001R000001lCyMgIAK,,,,
003R000001XNsDtIAL,001R000001lCyMhIAK,,,,
003R000001XNsDuIAL,001R000001lCyNaIAK,,,,
003R000001XNsDvIAL,001R000001lCyMiIAK,,,,
003R000001XNsDwIAL,001R000001lCyMjIAK,,,,
003R000001XNsDxIAL,001R000001lCyOTIA0,,,,
003R000001XNsDyIAL,001R000001lCyNuIAK,,,,
003R000001XNsDzIAL,001R000001lCyMkIAK,,,,
003R000001XNsE0IAL,001R000001lCyMlIAK,,,,
003R000001XNsE1IAL,001R000001lCyMmIAK,,,,
003R000001XNsE2IAL,001R000001lCyNtIAK,,,,
003R000001XNsE3IAL,001R000001lCyNzIAK,,,,
003R000001XNsE4IAL,001R000001lCyNzIAK,,,,
003R000001XNsE5IAL,001R000001lCyMnIAK,,,,
003R000001XNsE6IAL,001R000001lCyMoIAK,,,,
003R000001XNsE7IAL,001R000001lCyNuIAK,,,,
003R000001XNsE8IAL,001R000001lCyMpIAK,,,,
003R000001XNsE9IAL,001R000001lCyNuIAK,,,,
003R000001XNsEAIA1,001R000001lCyMqIAK,,,,
003R000001XNsEBIA1,001R000001lCyNuIAK,,,,
003R000001XNsECIA1,001R000001lCyMrIAK,,,,
003R000001XNsEDIA1,001R000001lCyMsIAK,,,,
003R000001XNsEEIA1,001R000001lCyNuIAK,,,,
003R000001XNsEFIA1,001R000001lCyMtIAK,,,,
003R000001XNsEGIA1,001R000001lCyMuIAK,,,,
003R000001XNsEHIA1,001R000001lCyMvIAK,,,,
003R000001XNsEIIA1,001R000001lCyMwIAK,,,,
003R000001XNsEJIA1,001R000001lCyNzIAK,,,,
003R000001XNsEKIA1,001R000001lCyNzIAK,,,,
003R000001XNsELIA1,001R000001lCyNzIAK,,,,
003R000001XNsEMIA1,001R000001lCyOOIA0,,,,
003R000001XNsENIA1,001R000001lCyOOIA0,,,,
003R000001XNsEOIA1,001R000001lCyOOIA0,,,,
003R000001XNsEPIA1,001R000001lCyOOIA0,,,,
003R000001XNsEQIA1,001R000001lCyOOIA0,,,,
003R000001XNsERIA1,001R000001lCyNbIAK,,,,
003R000001XNsESIA1,001R000001lCyNbIAK,,,,
003R000001XNsETIA1,001R000001lCyNbIAK,,,,
003R000001XNsEUIA1,001R000001lCyNbIAK,,,,
003R000001XNsEVIA1,001R000001lCyMxIAK,,,,
003R000001XNsEWIA1,001R000001lCyMxIAK,,,,
003R000001XNsEXIA1,001R000001lCyNuIAK,,,,
003R000001XNsEYIA1,001R000001lCyNuIAK,,,,
003R000001XNsEZIA1,001R000001lCyMxIAK,,,,
003R000001XNsEaIAL,001R000001lCyNuIAK,,,,
003R000001XNsEbIAL,001R000001lCyNuIAK,,,,
003R000001XNsEcIAL,001R000001lCyNuIAK,,,,
003R000001XNsEdIAL,001R000001lCyOFIA0,,,,
003R000001XNsEeIAL,001R000001lCyMyIAK,003R000001XNsEfIAL,,,
003R000001XNsEfIAL,001R000001lCyMyIAK,,,,
003R000001XNsEgIAL,001R000001lCyMzIAK,003R000001XNsEhIAL,,,
003R000001XNsEhIAL,001R000001lCyMzIAK,,,,
003R000001XNsEiIAL,001R000001lCyN0IAK,003R000001XNsEjIAL,,,
003R000001XNsEjIAL,001R000001lCyN0IAK,,,,
003R000001XNsEkIAL,001R000001lCyN1IAK,003R000001XNsElIAL,,,
003R000001XNsElIAL,001R000001lCyN1IAK,,,,
003R000001XNsEmIAL,001R000001lCyN2IAK,003R000001XNsEtIAL,,,
003R000001XNsEnIAL,001R000001lCyNbIAK,,,,
003R000001XNsEoIAL,001R000001lCyNcIAK,,,,
003R000001XNsEpIAL,001R000001lCyNcIAK,,,,
003R000001XNsEqIAL,001R000001lCyNcIAK,,,,
003R000001XNsErIAL,001R000001lCyNcIAK,,,,
003R000001XNsEsIAL,001R000001lCyNcIAK,,,,
003R000001XNsEtIAL,001R000001lCyN2IAK,,,,
003R000001XNsEuIAL,001R000001lCyN3IAK,003R000001XNsEvIAL,,,
003R000001XNsEvIAL,001R000001lCyN3IAK,,,,
003R000001XNsEwIAL,001R000001lCyN4IAK,003R000001XNsExIAL,,,
003R000001XNsExIAL,001R000001lCyN4IAK,,,,
003R000001XNsEyIAL,001R000001lCyN5IAK,003R000001XNsEzIAL,,,
003R000001XNsEzIAL,001R000001lCyN5IAK,,,,
003R000001XNsF0IAL,001R000001lCyN6IAK,003R000001XNsF1IAL,,,
003R000001XNsF1IAL,001R000001lCyN6IAK,,,,
003R000001XNsF2IAL,001R000001lCyN7IAK,003R000001XNsF3IAL,,,
003R000001XNsF3IAL,001R000001lCyN7IAK,,,,
003R000001XNsF4IAL,001R000001lCyN8IAK,003R000001XNsF5IAL,,,
003R000001XNsF5IAL,001R000001lCyN8IAK,,,,
003R000001XNsF6IAL,001R000001lCyN9IAK,003R000001XNsFYIA1,,,
003R000001XNsF7IAL,001R000001lCyNdIAK,,,,
003R000001XNsF8IAL,001R000001lCyNdIAK,,,,
003R000001XNsF9IAL,001R000001lCyNdIAK,,,,
003R000001XNsFAIA1,001R000001lCyNdIAK,,,,
003R000001XNsFBIA1,001R000001lCyNdIAK,,,,
003R000001XNsFCIA1,001R000001lCyNeIAK,,,,
003R000001XNsFDIA1,001R000001lCyNeIAK,,,,
003R000001XNsFEIA1,001R000001lCyNeIAK,,,,
003R000001XNsFFIA1,001R000001lCyNeIAK,,,,
003R000001XNsFGIA1,001R000001lCyNeIAK,,,,
003R000001XNsFHIA1,001R000001lCyNfIAK,,,,
003R000001XNsFIIA1,001R000001lCyOOIA0,,,,
003R000001XNsFJIA1,001R000001lCyOOIA0,,,,
003R000001XNsFKIA1,001R000001lCyOOIA0,,,,
003R000001XNsFLIA1,001R000001lCyOOIA0,,,,
003R000001XNsFMIA1,001R000001lCyOOIA0,,,,
003R000001XNsFNIA1,001R000001lCyOOIA0,,,,
003R000001XNsFOIA1,001R000001lCyOOIA0,,,,
003R000001XNsFPIA1,001R000001lCyOOIA0,,,,
003R000001XNsFQIA1,001R000001lCyOOIA0,,,,
003R000001XNsFRIA1,001R000001lCyOOIA0,,,,
003R000001XNsFSIA1,001R000001lCyOOIA0,,,,
003R000001XNsFTIA1,001R000001lCyOTIA0,,,,
003R000001XNsFUIA1,001R000001lCyOWIA0,,,,
003R000001XNsFVIA1,001R000001lCyOXIA0,,,,
003R000001XNsFWIA1,001R000001lCyOYIA0,,,,
003R000001XNsFXIA1,001R000001lCyOZIA0,,,,
003R000001XNsFYIA1,001R000001lCyN9IAK,,,,
003R000001XNsFZIA1,001R000001lCyNAIA0,003R000001XNsFaIAL,,,
003R000001XNsFaIAL,001R000001lCyNAIA0,,,,
003R000001XNsFbIAL,001R000001lCyNBIA0,003R000001XNsFcIAL,,,
003R000001XNsFcIAL,001R000001lCyNBIA0,,,,
003R000001XNsFdIAL,001R000001lCyNCIA0,003R000001XNsFeIAL,,,
003R000001XNsFeIAL,001R000001lCyNCIA0,,,,
003R000001XNsFfIAL,001R000001lCyNDIA0,003R000001XNsFgIAL,,,
003R000001XNsFgIAL,001R000001lCyNDIA0,,,,
003R000001XNsFhIAL,001R000001lCyNEIA0,,,,
003R000001XNsFiIAL,001R000001lCyNuIAK,,,,
003R000001XNsFjIAL,001R000001lCyNuIAK,,,,
003R000001XNsFkIAL,001R000001lCyNuIAK,,,,
003R000001XNsFlIAL,001R000001lCyNFIA0,,,,
003R000001XNsFmIAL,001R000001lCyNGIA0,,,,
003R000001XNsFnIAL,001R000001lCyNHIA0,,,,
003R000001XNsFoIAL,001R000001lCyNIIA0,,,,
003R000001XNsFpIAL,001R000001lCyNuIAK,,,,
003R000001XNsFqIAL,001R000001lCyNuIAK,,,,
003R000001XNsFrIAL,001R000001lCyNfIAK,,,,
003R000001XNsFsIAL,001R000001lCyNfIAK,,,,
003R000001XNsFtIAL,001R000001lCyNfIAK,,,,
003R000001XNsFuIAL,001R000001lCyNfIAK,,,,
003R000001XNsFvIAL,001R000001lCyNgIAK,,,,
003R000001XNsFwIAL,001R000001lCyNgIAK,,,,
003R000001XNsFxIAL,001R000001lCyOaIAK,,,,
003R000001XNsFyIAL,001R000001lCyObIAK,,,,
003R000001XNsFzIAL,001R000001lCyOcIAK,,,,
003R000001XNsG0IAL,001R000001lCyOuIAK,,,,
003R000001XNsG1IAL,001R000001lCyOdIAK,,,,
003R000001XNsG2IAL,001R000001lCyNuIAK,,,,
003R000001XNsG3IAL,001R000001lCyOeIAK,,,,
003R000001XNsG4IAL,001R000001lCyOfIAK,,,,
003R000001XNsG5IAL,001R000001lCyNuIAK,,,,
003R000001XNsG6IAL,001R000001lCyOgIAK,,,,
003R000001XNsG7IAL,001R000001lCyNuIAK,,,,
003R000001XNsG8IAL,001R000001lCyNuIAK,,,,
003R000001XNsG9IAL,001R000001lCyOvIAK,,,,
003R000001XNsGAIA1,001R000001lCyOiIAK,,,,
003R000001XNsGBIA1,001R000001lCyOjIAK,,,,
003R000001XNsGCIA1,001R000001lCyOkIAK,,,,
003R000001XNsGDIA1,001R000001lCyNuIAK,,,,
003R000001XNsGEIA1,001R000001lCyNuIAK,,,,
003R000001XNsGFIA1,001R000001lCyNuIAK,,,,
003R000001XNsGGIA1,001R000001lCyOnIAK,,,,
003R000001XNsGHIA1,001R000001lCyNuIAK,,,,
003R000001XNsGIIA1,001R000001lCyNuIAK,,,,
003R000001XNsGJIA1,001R000001lCyNuIAK,,,,
003R000001XNsGKIA1,001R000001lCyNuIAK,,,,
003R000001XNsGLIA1,001R000001lCyNuIAK,,,,
003R000001XNsGMIA1,001R000001lCyNuIAK,,,,
003R000001XNsGNIA1,001R000001lCyNJIA0,,,,
003R000001XNsGOIA1,001R000001lCyNKIA0,,,,
003R000001XNsGPIA1,001R000001lCyNuIAK,,,,
003R000001XNsGQIA1,001R000001lCyNLIA0,,,,
003R000001XNsGRIA1,001R000001lCyNNIA0,,,,
003R000001XNsGSIA1,001R000001lCyNNIA0,003R000001XNsGRIA1,,,
003R000001XNsGTIA1,001R000001lCyNNIA0,,,,
003R000001XNsGUIA1,001R000001lCyNuIAK,,,,
003R000001XNsGVIA1,001R000001lCyNuIAK,,,,
003R000001XNsGWIA1,001R000001lCyNOIA0,,,,
003R000001XNsGXIA1,001R000001lCyNPIA0,,,,
003R000001XNsGYIA1,001R000001lCyNQIA0,,,,
003R000001XNsGZIA1,001R000001lCyNRIA0,,,,
003R000001XNsGaIAL,001R000001lCyNSIA0,,,,
003R000001XNsGbIAL,001R000001lCyNuIAK,,,,
003R000001XNsGcIAL,001R000001lCyNTIA0,,,,
003R000001XNsGdIAL,001R000001lCyNgIAK,,,,
003R000001XNsGeIAL,001R000001lCyNgIAK,,,,
003R000001XNsGfIAL,001R000001lCyNgIAK,,,,
003R000001XNsGgIAL,001R000001lCyNhIAK,,,,
003R000001XNsGhIAL,001R000001lCyNhIAK,,,,
003R000001XNsGiIAL,001R000001lCyNhIAK,,,,
003R000001XNsGjIAL,001R000001lCyNhIAK,,,,
003R000001XNsGkIAL,001R000001lCyNhIAK,,,,
003R000001XNsGlIAL,001R000001lCyNiIAK,,,,
003R000001XNsGmIAL,001R000001lCyNiIAK,,,,
003R000001XNsGnIAL,001R000001lCyNiIAK,,,,
003R000001XNsGoIAL,001R000001lCyNuIAK,,,,
003R000001XNsGpIAL,001R000001lCyNuIAK,,,,
003R000001XNsGqIAL,001R000001lCyOoIAK,,,,
003R000001XNsGrIAL,001R000001lCyOpIAK,,,,
003R000001XNsGsIAL,001R000001lCyOqIAK,,,,
003R000001XNsGtIAL,001R000001lCyOrIAK,,,,
003R000001XNsGuIAL,001R000001lCyOsIAK,,,,
003R000001XNsGvIAL,001R000001lCyNuIAK,,,,
003R000001XNsGwIAL,001R000001lCyNfIAK,003R000001XNsFtIAL,,,
003R000001XNsGxIAL,001R000001lCyNuIAK,,,,
003R000001XNsGyIAL,001R000001lCyNuIAK,,,,
003R000001XNsGzIAL,001R000001lCyNyIAK,,,,
003R000001XNsH0IAL,001R000001lCyNuIAK,,,,
003R000001XNsH1IAL,001R000001lCyNuIAK,,,,
003R000001XNsH2IAL,001R000001lCyNuIAK,,,,
003R000001XNsH3IAL,001R000001lCyNuIAK,,,,
003R000001XNsH4IAL,001R000001lCyNuIAK,,,,
003R000001XNsH5IAL,001R000001lCyNuIAK,,,,
003R000001XNsH6IAL,001R000001lCyOtIAK,,,,
003R000001XNsH7IAL,001R000001lCyNuIAK,,,,
003R000001XNsH8IAL,001R000001lCyNuIAK,,,,
003R000001XNsH9IAL,001R000001lCyNuIAK,,,,
003R000001XNsHAIA1,001R000001lCyNuIAK,,,,
003R000001XNsHBIA1,001R000001lCyNuIAK,,,,
003R000001XNsHCIA1,001R000001lCyNuIAK,,,,
003R000001XNsHDIA1,001R000001lCyOxIAK,,,,
003R000001XNsHEIA1,001R000001lCyNfIAK,,,,
003R000001XNsHFIA1,001R000001lCyNiIAK,,,,
003R000001XNsHGIA1,001R000001lCyNiIAK,,,,
003R000001XNsHHIA1,001R000001lCyNjIAK,,,,
003R000001XNsHIIA1,001R000001lCyNUIA0,,,,
003R000001XNsHJIA1,001R000001lCyNVIA0,,,,
003R000001XNsHKIA1,001R000001lCyNWIA0,,,,
003R000001XNsHLIA1,001R000001lCyNXIA0,,,,
003R000001XNsHMIA1,001R000001lCyNYIA0,,,,
003R000001XNsHNIA1,001R000001lCyNuIAK,,,,
003R000001XNsHOIA1,001R000001lCyNuIAK,,,,
003R000001XNsHPIA1,001R000001lCyNuIAK,,,,
003R000001XNsHQIA1,001R000001lCyNZIA0,,,,
003R000001XNsHRIA1,001R000001lCyNaIAK,,,,
003R000001XNsHSIA1,001R000001lCyNaIAK,,,,
003R000001XNsHTIA1,001R000001lCyNaIAK,,,,
003R000001XNsHUIA1,001R000001lCyNaIAK,,,,
003R000001XNsHVIA1,001R000001lCyNaIAK,,,,
003R000001XNsHWIA1,001R000001lCyNaIAK,,,,
003R000001XNsHXIA1,001R000001lCyNaIAK,,,,
003R000001XNsHYIA1,001R000001lCyNaIAK,,,,
003R000001XNsHZIA1,001R000001lCyNjIAK,,,,
003R000001XNsHaIAL,001R000001lCyNjIAK,,,,
003R000001XNsHbIAL,001R000001lCyNjIAK,,,,
003R000001XNsHcIAL,001R000001lCyNjIAK,,,,
003R000001XNsHdIAL,001R000001lCyNkIAK,,,,
003R000001XNsHeIAL,001R000001lCyNkIAK,,,,
003R000001XNsHfIAL,001R000001lCyNkIAK,,,,
003R000001XNsHgIAL,001R000001lCyNkIAK,,,,
003R000001XNsHhIAL,001R000001lCyNkIAK,,,,
003R000001XNsHiIAL,001R000001lCyNlIAK,,,,
003R000001XNsHjIAL,001R000001lCyNaIAK,,,,
003R000001XNsHkIAL,001R000001lCyNaIAK,,,,
003R000001XNsHlIAL,001R000001lCyNaIAK,,,,
003R000001XNsHmIAL,001R000001lCyNpIAK,,,,
003R000001XNsHnIAL,001R000001lCyNpIAK,,,,
003R000001XNsHoIAL,001R000001lCyNpIAK,,,,
003R000001XNsHpIAL,001R000001lCyNqIAK,,,,
003R000001XNsHqIAL,001R000001lCyNqIAK,,,,
003R000001XNsHrIAL,001R000001lCyNqIAK,,,,
003R000001XNsHsIAL,001R000001lCyNrIAK,,,,
003R000001XNsHtIAL,001R000001lCyNrIAK,,,,
003R000001XNsHuIAL,001R000001lCyNlIAK,,,,
003R000001XNsHvIAL,001R000001lCyNlIAK,,,,
003R000001XNsHwIAL,001R000001lCyNlIAK,,,,
003R000001XNsHxIAL,001R000001lCyNlIAK,,,,
003R000001XNsHyIAL,001R000001lCyNmIAK,,,,
003R000001XNsHzIAL,001R000001lCyNmIAK,,,,
003R000001XNsI0IAL,001R000001lCyNaIAK,003R000001XNsDaIAL,,,
