Id,Name,External_Id__c,EventApi__Component_Name__c,EventApi__Config__c,EventApi__Event_Page__c,EventApi__Order__c,EventApi__Title__c,EventApi__HTML__c,EventApi__Event_Page__r.External_Id__c
a244W000006mRmIQAU,EPC-0000966,1,LTE:EventCustomHTML,{},a254W000002JWuQQAW,2,,"<h2><strong>Sponsorship</strong></h2><p><br></p><p>Sponsorship at the Annual Meeting gets your message in front of hundreds of decision-makers at independent schools across the country. More than 1,200 education professionals involved with business, finance, and administration attended the 2019 meeting in Washington, D.C., once again setting an attendance record for the Annual Meeting. Below is a list of sponsorship opportunities at this year&#39;s conference.</p><p><br></p><p><strong>Questions?</strong> Contact Chris Arthur at <a href=""mailto:chris.kalavsky@nboa.org"" target=""_blank""><strong><u>chris.</u></strong></a><strong><u>arthur@mailinator.com&nbsp;</u></strong>or call 202-407-7146.</p><p><br></p><h2><strong>Levels and Offerings</strong></h2><h3><br></h3><h3><strong>Gold&nbsp;$10,000</strong></h3><ul><li>2020 Annual Meeting Mobile App</li><li>First-Time Attendee Reception (held prior to Opening Reception)</li><li>Annual Meeting Lanyard</li><li>Annual Meeting Giveaway</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udeQAA"" target=""_blank"">Click here&nbsp;</a>to Purchase</p><p><br></p><h3><strong>Silver&nbsp;$6,000</strong></h3><ul><li>Annual Meeting Hotel Key Card</li><li>Charging Stations</li><li>Wi-Fi*</li><li>Session Tracks</li><li><em>Net Assets</em> Photo Booth</li><li>Headshot Booth</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udfQAA"" target=""_blank"">Click here</a> to Purchase</p><p><br></p><h3><strong>Bronze&nbsp;$4,000</strong></h3><ul><li>Breakfast (limited quantities)</li><li>AM/PM Break (limited quantities)</li><li>Fun Run</li><li>Yoga</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udgQAA"" target=""_blank"">Click here</a> to Purchase</p>",56
a244W000006mRmJQAU,EPC-0000967,2,LTE:EventCustomHTML,{},a254W000002JWuRQAW,1,,"<p><strong>World Renowned Event</strong></p><p>There is no better place for professional development than the Annual Symposium. By attending, you&rsquo;ll gain the tools and resources you need to implement successful practices &ndash; which help your company succeed.</p><p><br></p><p><strong>Fresh Perspectives</strong></p><p>Internationally-renowned speakers that offer fresh points of view and inspiring stories that can help shift your perspectives and deepen your understanding of leadership, motivation, and success.</p>",58
a244W000006mRmKQAU,EPC-0000968,3,LTE:FeaturedEventSpeakers,{},a254W000002JWuRQAW,2,,,58
a244W000006mRmLQAU,EPC-0000969,4,LTE:EventAgenda,{},a254W000002JWuSQAW,1,,,59
a244W000006mRmMQAU,EPC-0000970,5,LTE:EventPrimaryVenue,{},a254W000002JWuTQAW,1,,,60
a244W000006mRmNQAU,EPC-0000971,6,LTE:EventSecondaryVenues,{},a254W000002JWuTQAW,2,,,60
a244W000006mRmOQAU,EPC-0000972,7,LTE:EventVenueMap,{},a254W000002JWuTQAW,3,,,60
a244W000006mRmPQAU,EPC-0000973,8,LTE:EventSpeakers,{},a254W000002JWuUQAW,1,,,61
a244W000006mRmQQAU,EPC-0000974,9,LTE:FeaturedEventSponsors,{},a254W000002JWuVQAW,1,,,62
a244W000006mRmRQAU,EPC-0000975,10,LTE:EventCustomHTML,{},a254W000002JWuVQAW,2,,"<h2><strong>Sponsorship</strong></h2><p><br></p><p>Sponsorship at the Annual Meeting gets your message in front of hundreds of decision-makers at independent schools across the country. More than 1,200 education professionals involved with business, finance, and administration attended the 2019 meeting in Washington, D.C., once again setting an attendance record for the Annual Meeting. Below is a list of sponsorship opportunities at this year&#39;s conference.</p><p><br></p><p><strong>Questions?</strong> Contact Chris Arthur at <a href=""mailto:chris.kalavsky@nboa.org"" target=""_blank""><strong><u>chris.</u></strong></a><strong><u>arthur@mailinator.com&nbsp;</u></strong>or call 202-407-7146.</p><p><br></p><h2><strong>Levels and Offerings</strong></h2><h3><br></h3><h3><strong>Gold&nbsp;$10,000</strong></h3><ul><li>2020 Annual Meeting Mobile App</li><li>First-Time Attendee Reception (held prior to Opening Reception)</li><li>Annual Meeting Lanyard</li><li>Annual Meeting Giveaway</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udeQAA"" target=""_blank"">Click here&nbsp;</a>to Purchase</p><p><br></p><h3><strong>Silver&nbsp;$6,000</strong></h3><ul><li>Annual Meeting Hotel Key Card</li><li>Charging Stations</li><li>Wi-Fi*</li><li>Session Tracks</li><li><em>Net Assets</em> Photo Booth</li><li>Headshot Booth</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udfQAA"" target=""_blank"">Click here</a> to Purchase</p><p><br></p><h3><strong>Bronze&nbsp;$4,000</strong></h3><ul><li>Breakfast (limited quantities)</li><li>AM/PM Break (limited quantities)</li><li>Fun Run</li><li>Yoga</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udgQAA"" target=""_blank"">Click here</a> to Purchase</p>",62
a244W000006mRmSQAU,EPC-0000976,11,LTE:EventCustomHTML,{},a254W000002JWuWQAW,1,,"<p><strong>World Renowned Event</strong></p><p>There is no better place for professional development than the Annual Symposium. By attending, you&rsquo;ll gain the tools and resources you need to implement successful practices &ndash; which help your company succeed.</p><p><br></p><p><strong>Fresh Perspectives</strong></p><p>Internationally-renowned speakers that offer fresh points of view and inspiring stories that can help shift your perspectives and deepen your understanding of leadership, motivation, and success.</p>",64
a244W000006mRmTQAU,EPC-0000977,12,LTE:FeaturedEventSpeakers,{},a254W000002JWuWQAW,2,,,64
a244W000006mRmUQAU,EPC-0000978,13,LTE:EventAgenda,{},a254W000002JWuXQAW,1,,,65
a244W000006mRmVQAU,EPC-0000979,14,LTE:EventPrimaryVenue,{},a254W000002JWuYQAW,1,,,66
a244W000006mRmWQAU,EPC-0000980,15,LTE:EventSecondaryVenues,{},a254W000002JWuYQAW,2,,,66
a244W000006mRmXQAU,EPC-0000981,16,LTE:EventVenueMap,{},a254W000002JWuYQAW,3,,,66
a244W000006mRmYQAU,EPC-0000982,17,LTE:EventSpeakers,{},a254W000002JWuZQAW,1,,,67
a244W000006mRmZQAU,EPC-0000983,18,LTE:FeaturedEventSponsors,{},a254W000002JWuaQAG,1,,,68
