Id,Name,External_Id__c,EventApi__Attendee__c,EventApi__Business_Group__c,EventApi__Date__c,EventApi__Discount__c,EventApi__End_Time__c,EventApi__Is_Primary__c,EventApi__Item_Class__c,EventApi__Item__c,EventApi__Line_Description__c,EventApi__List_Price__c,EventApi__Price_Override__c,EventApi__Price_Rule__c,EventApi__Quantity__c,EventApi__Registration_Item__c,EventApi__Sale_Price__c,EventApi__Sales_Order_Line__c,EventApi__Sales_Order_Number__c,EventApi__Sales_Order__c,EventApi__Schedule_Item__c,EventApi__Start_Time__c,EventApi__Status__c,EventApi__Subtotal__c,EventApi__Ticket_Type__c,EventApi__Total__c,EventApi__Transaction_Date__c,EventApi__Transaction_Type__c,EventApi__Transfer_Contact_Email__c,EventApi__Transfer_Contact_Name__c,EventApi__Transfer_Fee__c,EventApi__Transfer__c,EventApi__Is_Checked_In__c,LTE__Primary_Group_Ticket_Registration_Item__c,EventApi__Attendee__r.External_Id__c,EventApi__Business_Group__r.Name,EventApi__Item_Class__r.External_Id__c,EventApi__Item__r.External_Id__c,EventApi__Price_Rule__r.External_Id__c,EventApi__Registration_Item__r.External_Id__c,EventApi__Sales_Order_Line__r.External_Id__c,EventApi__Sales_Order__r.External_Id__c,EventApi__Schedule_Item__r.External_Id__c,EventApi__Ticket_Type__r.External_Id__c
a1a4W00000Sa9yCQAR,000000604,1,a1W4W00000Aq8ffUAB,,,0,: PM,true,a134W000009DZGrQAO,a154W00000926XJQAY,Webinar Ticket (Fonteva Free Event's Webinar),0,false,,1,,0,,,,,: PM,Registered,0,a1j4W00000SEaFyQAL,0,,,,,,false,false,,144,,1,494,,,,,,43
a1a4W00000Sa9yDQAR,000000605,2,a1W4W00000Aq8fgUAB,,,0,: PM,true,a134W000009DZGrQAO,a154W00000926XJQAY,Webinar Ticket (Fonteva Free Event's Webinar),0,false,,1,,0,,,,,: PM,Registered,0,a1j4W00000SEaFyQAL,0,,,,,,false,false,,145,,1,494,,,,,,43
a1a4W00000Sa9yEQAR,000000612,3,a1W4W00000Aq8fhUAB,,,0,: PM,true,a134W000009DZGrQAO,a154W00000926XJQAY,Webinar Ticket (Fonteva Free Event's Webinar),0,false,,1,,0,,,,,: PM,Registered,0,a1j4W00000SEaFyQAL,0,,,,,,false,false,,146,,1,494,,,,,,43
a1a4W00000Sa9y7QAB,000000613,4,a1W4W00000Aq8fiUAB,a0o4W00000M5SknQAF,,0,: PM,true,a134W000009DZGKQA4,a154W00000926QxQAI,,100,false,a1C4W00000845KdUAI,1,,100,a1I4W00000HFZjfUAH,000001978,a1J4W00000CgFoHUAV,,: PM,Registered,100,a1j4W00000SEaFvQAL,100,2019-08-09,Receipt,,,,false,false,,147,FON-International Association,176,294,620,,603,2,,20
a1a4W00000Sa9y6QAB,000000614,5,a1W4W00000Aq8fjUAB,a0o4W00000M5SknQAF,,0,: PM,true,a134W000009DZGKQA4,a154W00000926QxQAI,,100,false,a1C4W00000845KdUAI,1,,100,a1I4W00000HFZjgUAH,000001978,a1J4W00000CgFoHUAV,,: PM,Registered,100,a1j4W00000SEaFvQAL,100,2019-08-09,Receipt,,,,false,false,,148,FON-International Association,176,294,620,,604,2,,20
a1a4W00000Sa9yFQAR,000000615,6,a1W4W00000Aq8fkUAB,a0o4W00000M5SknQAF,,0,: PM,true,a134W000009DZGLQA4,a154W00000926QyQAI,,100,false,a1C4W00000845L4UAI,1,,100,a1I4W00000HFZjhUAH,000001979,a1J4W00000CgFoIUAV,,: PM,Registered,100,a1j4W00000SEaFwQAL,100,2019-08-09,Receipt,,,,false,false,,149,FON-International Association,178,331,628,,605,3,,23
a1a4W00000Sa9yGQAR,000000616,7,a1W4W00000Aq8flUAB,a0o4W00000M5SknQAF,,0,: PM,true,a134W000009DZGLQA4,a154W00000926QyQAI,,100,false,a1C4W00000845L4UAI,1,,100,a1I4W00000HFZjiUAH,000001979,a1J4W00000CgFoIUAV,,: PM,Registered,100,a1j4W00000SEaFwQAL,100,2019-08-09,Receipt,,,,false,false,,150,FON-International Association,178,331,628,,606,3,,23
a1a4W00000Sa9yHQAR,000000617,8,a1W4W00000Aq8fmUAB,a0o4W00000M5SknQAF,,0,: PM,true,a134W000009DZGLQA4,a154W00000926QyQAI,,100,false,a1C4W00000845L4UAI,1,,100,a1I4W00000HFZjjUAH,000001979,a1J4W00000CgFoIUAV,,: PM,Registered,100,a1j4W00000SEaFwQAL,100,2019-08-09,Receipt,,,,false,false,,151,FON-International Association,178,331,628,,731,3,,23
a1a4W00000Sa9yIQAR,000000618,9,a1W4W00000Aq8fnUAB,a0o4W00000M5SknQAF,,0,: PM,true,a134W000009DZGLQA4,a154W00000926QyQAI,,100,false,a1C4W00000845L4UAI,1,,100,a1I4W00000HFZjkUAH,000001979,a1J4W00000CgFoIUAV,,: PM,Registered,100,a1j4W00000SEaFwQAL,100,2019-08-09,Receipt,,,,false,false,,152,FON-International Association,178,331,628,,732,3,,23
a1a4W00000Sa9y8QAB,000000619,10,a1W4W00000Aq8foUAB,a0o4W00000M5SknQAF,,0,: PM,true,a134W000009DZGKQA4,a154W00000926QxQAI,,100,false,a1C4W00000845KdUAI,1,,100,a1I4W00000HFZjsUAH,000001985,a1J4W00000CgFoNUAV,,: PM,Registered,100,a1j4W00000SEaFvQAL,100,2019-08-13,Receipt,,,,false,false,,153,FON-International Association,176,294,620,,740,8,,20
