Id,Name,External_Id__c,EventApi__Schedule_Item__c,EventApi__Track__c,EventApi__Schedule_Item__r.External_Id__c,EventApi__Track__r.Id
a2C4W0000022cdOUAQ,TSI-000230,1,a1d4W00000jHX27QAG,a2D4W00000C3AUEUA3,27,a2D4W00000C3AUEUA3
a2C4W0000022cdPUAQ,TSI-000231,2,a1d4W00000jHX29QAG,a2D4W00000C3AUEUA3,38,a2D4W00000C3AUEUA3
a2C4W0000022cdQUAQ,TSI-000232,3,a1d4W00000jHX2CQAW,a2D4W00000C3AUEUA3,41,a2D4W00000C3AUEUA3
a2C4W0000022cdRUAQ,TSI-000233,4,a1d4W00000jHX2DQAW,a2D4W00000C3AUDUA3,42,a2D4W00000C3AUDUA3
a2C4W0000022cdSUAQ,TSI-000234,5,a1d4W00000jHX2CQAW,a2D4W00000C3AUDUA3,41,a2D4W00000C3AUDUA3
a2C4W0000022cdTUAQ,TSI-000235,6,a1d4W00000jHX26QAG,a2D4W00000C3AUDUA3,26,a2D4W00000C3AUDUA3
a2C4W0000022cdUUAQ,TSI-000236,7,a1d4W00000jHX2AQAW,a2D4W00000C3AUDUA3,39,a2D4W00000C3AUDUA3
a2C4W0000022cdVUAQ,TSI-000237,8,a1d4W00000jHX29QAG,a2D4W00000C3AUDUA3,38,a2D4W00000C3AUDUA3
a2C4W0000022cdWUAQ,TSI-000238,9,a1d4W00000jHX2GQAW,a2D4W00000C3AUGUA3,45,a2D4W00000C3AUGUA3
a2C4W0000022cdXUAQ,TSI-000239,10,a1d4W00000jHX2IQAW,a2D4W00000C3AUGUA3,56,a2D4W00000C3AUGUA3
a2C4W0000022cdYUAQ,TSI-000240,11,a1d4W00000jHX2LQAW,a2D4W00000C3AUGUA3,59,a2D4W00000C3AUGUA3
a2C4W0000022cdZUAQ,TSI-000241,12,a1d4W00000jHX2MQAW,a2D4W00000C3AUFUA3,60,a2D4W00000C3AUFUA3
a2C4W0000022cdaUAA,TSI-000242,13,a1d4W00000jHX2LQAW,a2D4W00000C3AUFUA3,59,a2D4W00000C3AUFUA3
a2C4W0000022cdbUAA,TSI-000243,14,a1d4W00000jHX2FQAW,a2D4W00000C3AUFUA3,44,a2D4W00000C3AUFUA3
a2C4W0000022cdcUAA,TSI-000244,15,a1d4W00000jHX2JQAW,a2D4W00000C3AUFUA3,57,a2D4W00000C3AUFUA3
a2C4W0000022cddUAA,TSI-000245,16,a1d4W00000jHX2IQAW,a2D4W00000C3AUFUA3,56,a2D4W00000C3AUFUA3
