Id,Name,OrderApi__Description__c,OrderApi__Enable_Badge_Flow_down__c,OrderApi__Engagement_Score__c,OrderApi__Icon_Location__c,OrderApi__Icon__c,OrderApi__Image_Location__c,OrderApi__Image__c,OrderApi__Is_Active__c,OrderApi__Is_Published__c,OrderApi__Public_Description__c,OrderApi__Short_Description__c
a0k4W00000DtAGSQA3,FON-Company Manager,Contacts assigned this badge will have the ability to manage their company membership details in the portal.,false,,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Company Manager"" style=""height:12px; width:12px;"" border=""0""/>",,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/q_100/a_0/v1402118862/default-badge-icon_gvwczr.png"" alt=""FON-Company Manager"" border=""0""/>",true,true,<p>Contacts assigned this badge will have the ability to manage their company membership details in the portal.</p>,Contacts assigned this badge will have the ability to manage their company membership details in the portal.
a0k4W00000DtAGbQAN,NTPI Speaker,,false,,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""NTPI Speaker"" style=""height:12px; width:12px;"" border=""0""/>",,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/q_100/a_0/v1402118862/default-badge-icon_gvwczr.png"" alt=""NTPI Speaker"" border=""0""/>",true,true,,
a0k4W00000DtAGcQAN,FON-VIP Badge,"The VIP Badge is awarded to our VIP customers who have purchased a qualifying event, membership, or another specialty service.",false,,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-VIP Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/hsisgQqj_VIP_Badge_jpeg,"<img src=""https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/hsisgQqj_VIP_Badge_jpeg"" alt=""FON-VIP Badge"" border=""0""/>",true,true,"<p>The VIP Badge is awarded to our VIP customers who have purchased a qualifying event, membership, or another specialty service.</p>","The VIP Badge is awarded to our VIP customers who have purchased a qualifying event, membership, or another specialty service."
a0k4W00000DtAGdQAN,FON-Annual Symposium 2021 Attendee Badge,"Thank you for attending our annual conference.  With this badge, you receive a discount for next year's event!",false,,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Symposium 2021 Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/UGgDJTYq_BadgeTypeAttendee.png,"<img src=""https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/UGgDJTYq_BadgeTypeAttendee.png"" alt=""FON-Annual Symposium 2021 Attendee Badge"" border=""0""/>",true,true,"<p>Thank you for attending our annual conference. With this badge, you receive a discount for next year&#39;s event!</p>",Awarded to all attendees of our annual conference.
a0k4W00000DtAGZQA3,FON-Volunteer Badge,Thank you for volunteering!  As a volunteer you'll receive our volunteer only newsletter and an invitation to our annual volunteers gala.,false,20,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Volunteer Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/CcAmCZUN_BadgeTypeVolunteer.png,"<img src=""https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/CcAmCZUN_BadgeTypeVolunteer.png"" alt=""FON-Volunteer Badge"" border=""0""/>",true,true,Thank you for volunteering! As a volunteer you&#39;ll receive our volunteer only newsletter and an invitation to our annual volunteers gala.,Awarded to all association volunteers.
a0k4W00000DtAGaQAN,FON-Speaker Badge,"Thank you for speaking at our annual conference.  With this badge, you receive a discount for next year's event as well as special notices on upcoming speaker-only networking events.",false,50,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Speaker Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/tSDYjQuR_BadgeTypeSpeaker.png,"<img src=""https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/tSDYjQuR_BadgeTypeSpeaker.png"" alt=""FON-Speaker Badge"" border=""0""/>",true,true,"Thank you for speaking at our annual conference. With this badge, you receive a discount for next year&#39;s event as well as special notices on upcoming speaker-only networking events.",Awarded to all speakers at our annual conference.
a0k4W00000DtAGXQA3,FON-Sponsor Badge,"Thank you for sponsoring!  As a sponsor you'll receive our sponsor only newsletter, access to attendee lists from our annual conference and and invitation to our sponsor thank you dinner.",false,50,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/pAahEneC_BadgeTypeSponsor.png,"<img src=""https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/pAahEneC_BadgeTypeSponsor.png"" alt=""FON-Sponsor Badge"" border=""0""/>",true,true,"Thank you for sponsoring! As a sponsor you&#39;ll receive our sponsor only newsletter, access to attendee lists from our annual conference and and invitation to our sponsor thank you dinner.",Awarded to all association event sponsors.
a0k4W00000DtAGYQA3,FON-Donor Badge,Thank you for being a foundation donor.  As a donor you'll receive updates on what is happening with the foundation and what our donations are used for.  Youll also receive an invitation to our annual donor dinner.,false,50,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Donor Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/QUYquVzm_BadgeTypeDonor.png,"<img src=""https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/QUYquVzm_BadgeTypeDonor.png"" alt=""FON-Donor Badge"" border=""0""/>",true,true,Thank you for being a foundation donor. As a donor you&#39;ll receive updates on what is happening with the foundation and what our donations are used for. Youll also receive an invitation to our annual donor dinner.,Awarded to our Foundation donors.
a0k4W00000DtAGUQA3,FON-Individual Member Badge,Thank you for being an organization member of the association.  As a member you receive all the amazing benefits the association has to offer.,false,100,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/ucwFaPrz_BadgeTypeMember.png,"<img src=""https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/ucwFaPrz_BadgeTypeMember.png"" alt=""FON-Individual Member Badge"" border=""0""/>",true,true,Thank you for being an organization member of the association. As a member you receive all the amazing benefits the association has to offer.,Awarded to all individual members of the association.
a0k4W00000DtAGVQA3,FON-Organizational Member Badge,Thank you for being an organization member of the association.  As a member you receive all the amazing benefits the association has to offer.,true,100,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Organizational Member Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/tEQlYKrw_BadgeTypeOrgMember.png,"<img src=""https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/tEQlYKrw_BadgeTypeOrgMember.png"" alt=""FON-Organizational Member Badge"" border=""0""/>",true,true,Thank you for being an organization member of the association. As a member you receive all the amazing benefits the association has to offer.,Awarded to all organization members of the association.
a0k4W00000DtAGWQA3,FON-Annual Conference Attendee Badge,"Thank you for attending our annual conference.  With this badge, you receive a discount for next year's event!",false,25,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/>",https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/UGgDJTYq_BadgeTypeAttendee.png,"<img src=""https://fonteva-customer-media.s3.amazonaws.com/00D30000000ndogEAA/UGgDJTYq_BadgeTypeAttendee.png"" alt=""FON-Annual Conference Attendee Badge"" border=""0""/>",true,true,"Thank you for attending our annual conference. With this badge, you receive a discount for next year&#39;s event!",Awarded to all attendees of our annual conference.
a0k4W00000DtAGTQA3,FON-Company Admin,Assigned to the Company/Organization Admin,false,,,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Company Admin"" style=""height:12px; width:12px;"" border=""0""/>",,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/q_100/a_0/v1402118862/default-badge-icon_gvwczr.png"" alt=""FON-Company Admin"" border=""0""/>",true,true,,Company/Organization Admin
