Id,Name,OrderApi__Catalog__c,OrderApi__Description__c,OrderApi__Display_Order__c,OrderApi__Enable_Access_Permissions__c,OrderApi__Is_Published__c,OrderApi__Store__c,OrderApi__Catalog_Filters__c,OrderApi__Display_Featured_Items__c,OrderApi__Placeholder_Image__c,OrderApi__Catalog__r.Id,OrderApi__Store__r.Id
a0s4W00000fqDVPQA2,FON-Merchandise,,,,false,true,a1P4W0000059tCIUAY,,false,,,a1P4W0000059tCIUAY
a0s4W00000fqDVRQA2,FON-Publications,,,,false,true,a1P4W0000059tCIUAY,,false,,,a1P4W0000059tCIUAY
a0s4W00000fqDVaQAM,FON-Donations,,,,false,false,,,false,,,
a0s4W00000fqDVQQA2,FON-Memberships,,,,false,true,a1P4W0000059tCIUAY,,false,,,a1P4W0000059tCIUAY
a0s4W00000fqDVTQA2,FON-Certifications and Accreditations,,,,false,true,a1P4W0000059tCIUAY,,false,,,a1P4W0000059tCIUAY
a0s4W00000fqDVUQA2,FON-Education,a0s4W00000fqDVaQAM,,,false,true,,,false,,a0s4W00000fqDVaQAM,
a0s4W00000fqDVSQA2,FON-Other Giving Opportunities,a0s4W00000fqDVaQAM,,,false,true,,,false,,a0s4W00000fqDVaQAM,
a0s4W00000fqDVVQA2,FON-Law,a0s4W00000fqDVaQAM,,,false,true,,,false,,a0s4W00000fqDVaQAM,
a0s4W00000fqDVWQA2,FON-Academic Excellence,a0s4W00000fqDVaQAM,,,false,true,,,false,,a0s4W00000fqDVaQAM,
a0s4W00000fqDVXQA2,FON-Arts & Sciences,a0s4W00000fqDVaQAM,,,false,true,,,false,,a0s4W00000fqDVaQAM,
a0s4W00000fqDVYQA2,FON- Sponsorships,,,,false,true,a1P4W0000059tCIUAY,,false,,,a1P4W0000059tCIUAY
a0s4W00000fqDVZQA2,FON-Booths,,,,false,true,a1P4W0000059tCIUAY,,false,,,a1P4W0000059tCIUAY
