Id,OrderApi__Assignment__c,Name,External_Id__c,OrderApi__Account__c,OrderApi__Contact__c,OrderApi__Date__c,OrderApi__Description__c,OrderApi__Invoice__c,OrderApi__Is_Customer_Generated__c,OrderApi__Item__c,OrderApi__Payment_Method__c,OrderApi__Receipt_Line__c,OrderApi__Receipt__c,OrderApi__Sales_Order_Line__c,OrderApi__Sales_Order__c,OrderApi__Scheduled_Payment__c,OrderApi__Subscription_Line__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription_Upgrade_Item__c,OrderApi__Subscription__c,OrderApi__System_Message__c,OrderApi__Type__c,OrderApi__Assignment__r.External_Id__c,OrderApi__Account__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Invoice__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c,OrderApi__Receipt_Line__r.External_Id__c,OrderApi__Receipt__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Scheduled_Payment__r.External_Id__c,OrderApi__Subscription_Line__r.External_Id__c,OrderApi__Subscription_Plan__r.Id,OrderApi__Subscription_Upgrade_Item__r.External_Id__c,OrderApi__Subscription__r.External_Id__c
a164W000007nLjzQAE,a0j4W00000E3JrbQAF,000002364,1,,0034W00002Dpod5QAB,2020-04-20,"<a href=""/a164W000007nLjz"" target=""_blank"">Contact Assigned - Tim Garrity 11 (Primary)</a>",,false,a154W00000926RWQAY,,,,,,,,,,a1S4W000004D1RrUAK,Contact Assigned - Tim Garrity 11 (Primary),Contact Assigned,422,,30,,186,,,,,,,,,,45
a164W000007nLk1QAE,,000002367,2,0014W000025FRkgQAG,0034W00002Dpod8QAB,2020-04-20,"<a href=""/a164W000007nLk1"" target=""_blank"">Subscription Created (Active)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnsUAH,a1J4W00000CgFt6UAF,,,a1R4W000004PyfRUAS,,a1S4W000004D1RsUAK,Subscription Created (Active),Subscription Created (Active),,120,33,,186,,,,1177,790,,,a1R4W000004PyfRUAS,,46
a164W000007nLk2QAE,a0j4W00000E3JrdQAF,000002365,3,,0034W00002Dpod8QAB,2020-04-20,"<a href=""/a164W000007nLk2"" target=""_blank"">Contact Assigned - Sabrina Crawley 12 (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnsUAH,a1J4W00000CgFt6UAF,,,,,,Contact Assigned - Sabrina Crawley 12 (Member),Contact Assigned,424,,33,,186,,,,1177,790,,,,,
a164W000007nLk3QAE,a0j4W00000E3JreQAF,000002366,4,,0034W00002Dpod7QAB,2020-04-20,"<a href=""/a164W000007nLk3"" target=""_blank"">Contact Assigned - Tim Garrity 12 (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnsUAH,a1J4W00000CgFt6UAF,,,,,,Contact Assigned - Tim Garrity 12 (Member),Contact Assigned,425,,32,,186,,,,1177,790,,,,,
a164W000007nLk4QAE,a0j4W00000E3JrfQAF,000002368,5,,0034W00002DpodAQAR,2020-04-20,"<a href=""/a164W000007nLk4"" target=""_blank"">Contact Assigned - Sabrina Crawley 13 (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnvUAH,a1J4W00000CgFt7UAF,,,,,,Contact Assigned - Sabrina Crawley 13 (Member),Contact Assigned,426,,35,,186,,,,1308,792,,,,,
a164W000007nLk0QAE,a0j4W00000E3JrcQAF,000002369,6,,0034W00002Dpod9QAB,2020-04-20,"<a href=""/a164W000007nLk0"" target=""_blank"">Contact Assigned - Tim Garrity 13 (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnvUAH,a1J4W00000CgFt7UAF,,,,,,Contact Assigned - Tim Garrity 13 (Member),Contact Assigned,423,,34,,186,,,,1308,792,,,,,
a164W000007nLk5QAE,,000002370,7,0014W000025FRkhQAG,0034W00002DpodAQAR,2020-04-20,"<a href=""/a164W000007nLk5"" target=""_blank"">Subscription Created (Active)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnvUAH,a1J4W00000CgFt7UAF,,,a1R4W000004PyfRUAS,,a1S4W000004D1RtUAK,Subscription Created (Active),Subscription Created (Active),,121,35,,186,,,,1308,792,,,a1R4W000004PyfRUAS,,47
a164W000007nLk6QAE,a0j4W00000E3JrgQAF,000002371,8,,0034W00002DpodCQAR,2020-04-20,"<a href=""/a164W000007nLk6"" target=""_blank"">Contact Assigned - Sabrina Crawley 14 (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnxUAH,a1J4W00000CgFt9UAF,,,,,,Contact Assigned - Sabrina Crawley 14 (Member),Contact Assigned,428,,106,,186,,,,1310,794,,,,,
a164W000007nLk7QAE,a0j4W00000E3JrhQAF,000002372,9,,0034W00002DpodBQAR,2020-04-20,"<a href=""/a164W000007nLk7"" target=""_blank"">Contact Assigned - Tim Garrity 14 (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnxUAH,a1J4W00000CgFt9UAF,,,,,,Contact Assigned - Tim Garrity 14 (Member),Contact Assigned,427,,36,,186,,,,1310,794,,,,,
a164W000007nLk8QAE,,000002373,10,0014W000025FRkiQAG,0034W00002DpodCQAR,2020-04-20,"<a href=""/a164W000007nLk8"" target=""_blank"">Subscription Created (Active)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZnxUAH,a1J4W00000CgFt9UAF,,,a1R4W000004PyfRUAS,,a1S4W000004D1RuUAK,Subscription Created (Active),Subscription Created (Active),,122,106,,186,,,,1310,794,,,a1R4W000004PyfRUAS,,48
