Id,Name,External_Id__c,OrderApi__Package__c,OrderApi__Calculate_Pricing__c,OrderApi__Display_Button_Label__c,OrderApi__Display_Instructions__c,OrderApi__Display_Label__c,OrderApi__Display_Order__c,OrderApi__Is_Required__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Maximum_Quantity_Per_Item__c,OrderApi__Maximum_Quantity__c,OrderApi__Minimum_Quantity__c,EventApi__Event__c,EventApi__Schedule_Item__c,EventApi__Sponsor_Package__c,EventApi__Ticket_Type__c,OrderApi__Display_Item__c,OrderApi__Foreign_Key_Id__c,OrderApi__Group_Header__c,OrderApi__Group_Instructions_Text__c,OrderApi__Is_Group__c,OrderApi__Is_Recommended__c,OrderApi__Number_of_Free_Items__c,OrderApi__Package_Item__c,OrderApi__Package__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,EventApi__Event__r.Id,EventApi__Schedule_Item__r.External_Id__c,EventApi__Sponsor_Package__r.External_Id__c,EventApi__Ticket_Type__r.External_Id__c,OrderApi__Package_Item__r.External_Id__c
a174W00000JImalQAD,000000070,1,a154W00000926acQAA,false,Add to Cart,,,0,false,a134W000009DZIRQA4,,0,0,0,,,,a1j4W00000SEaGzQAL,true,,,,false,false,,,123,58,,,,,10,
a174W00000JImamQAD,000000071,2,a154W00000926agQAA,false,Add to Cart,,,0,false,a134W000009DZITQA4,,0,0,0,,,,a1j4W00000SEaH2QAL,true,,,,false,false,,,164,61,,,,,11,
a174W00000JImanQAD,000000072,3,a154W00000926bDQAQ,false,Add to Cart,,,0,false,a134W000009DZIdQAO,,0,0,0,,,,a1j4W00000SEaH8QAL,true,,,,false,false,,,,77,,,,,19,
a174W00000JImaoQAD,000000045,4,a154W00000926RYQAY,false,,,Merchandise Items,0,false,a134W000009DZGEQA4,,,,,,,,a1j4W00000SEaG2QAL,false,,,,false,false,,,415,152,,,,,29,
a174W00000JImapQAD,000000047,5,a154W00000926SRQAY,false,,,Merchandise Items,0,false,a134W000009DZGEQA4,,,,,,,,a1j4W00000SEaG5QAL,false,,,,false,false,,,416,152,,,,,30,
a174W00000JImaqQAD,000000049,6,a154W00000926cAQAQ,false,,,Merchandise Items,0,false,a134W000009DZGEQA4,,,,,,,,a1j4W00000SEaHHQA1,false,,,,false,false,,,49,152,,,,,40,
a174W00000JImarQAD,000000050,7,a154W00000926RYQAY,false,,,Become a Sponsor,0,false,a134W000009DZGMQA4,,,,,,,,a1j4W00000SEaG2QAL,false,,,,false,false,,,415,129,,,,,29,
a174W00000JImasQAD,000000051,8,a154W00000926SRQAY,false,,,Become a Sponsor,0,false,a134W000009DZGMQA4,,,,,,,,a1j4W00000SEaG5QAL,false,,,,false,false,,,416,129,,,,,30,
a174W00000JImatQAD,000000052,9,a154W00000926cAQAQ,false,,,Become a Sponsor,0,false,a134W000009DZGMQA4,,,,,,,,a1j4W00000SEaHHQA1,false,,,,false,false,,,49,129,,,,,40,
a174W00000JImauQAD,000000054,10,a154W00000926QzQAI,true,,,Become a Local Chapter Member,0,true,,a154W00000926R0QAI,0,1,1,,,,,true,,,,false,false,,,96,,700,,,,,
a174W00000JImavQAD,000000040,11,a154W00000926QvQAI,false,,,Package Item,0,false,,a154W00000926R0QAI,,,1,,,,,false,,,,false,false,,,648,,700,,,,,
a174W00000JImaiQAD,000000056,12,a154W00000926R6QAI,false,Add to Cart,,,0,false,,,1,1,1,,,,,false,nguuZNXeKpvHgmi,AIA Test,,true,false,,,651,,,,,,,
a174W00000JImajQAD,000000057,13,a154W00000926R6QAI,false,Add to Cart,,,0,false,,a154W00000926R1QAI,0,0,1,,,,,false,nguuZNXeKpvHgmi,,,false,false,,a174W00000JImaiQAD,651,,701,,,,,12
a174W00000JImakQAD,000000058,14,a154W00000926RqQAI,false,Add to Cart,,,0,false,,,1,1,1,,,,,false,A8w3ozIquA3Tz65,training,,true,false,,,610,,,,,,,
