Id,Name,External_Id__c,OrderApi__Current_Num_Available__c,OrderApi__End_Date__c,OrderApi__Is_Active__c,OrderApi__Is_Default__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Limit_Per_Account__c,OrderApi__Limit_Per_Contact__c,OrderApi__Max_Assignments__c,OrderApi__Max_Num_Available__c,OrderApi__Max_Quantity__c,OrderApi__Min_Assignments__c,OrderApi__Min_Quantity__c,OrderApi__Num_Times_Used__c,OrderApi__Price__c,OrderApi__Required_Badge_Types__c,OrderApi__Required_Source_Codes__c,OrderApi__Required_Subscription_Plans__c,OrderApi__Start_Date__c,EventApi__Schedule_Item__c,PriceApi__Bulk_Price_Rule__c,EventApi__Is_Early_Bird_Price__c,EventApi__Is_On_Site_Price__c,OrderApi__Is_Promotional_Price__c,OrderApi__Tax_Inclusive_Price__c,OrderApi__Additional_Currencies_JSON__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,EventApi__Schedule_Item__r.External_Id__c,PriceApi__Bulk_Price_Rule__r.Id
a1C4W00000845PnUAI,DEFAULT,1,,,true,true,,a154W00000926YTQAY,,,,,,,,0,0,,,,,a1d4W00000jHX42QAG,,false,false,false,0,,,284,284,
a1C4W00000845PoUAI,DEFAULT,2,,,true,true,,a154W00000926YUQAY,,,,,,,,0,0,,,,,a1d4W00000jHX43QAG,,false,false,false,0,,,285,285,
a1C4W00000845PpUAI,DEFAULT,3,,,true,true,,a154W00000926YVQAY,,,,,,,,0,25,,,,,a1d4W00000jHX44QAG,,false,false,false,25,,,286,286,
a1C4W00000845PqUAI,DEFAULT,4,,,true,true,,a154W00000926YWQAY,,,,,,,,0,0,,,,,a1d4W00000jHX45QAG,,false,false,false,0,,,287,287,
a1C4W00000845PrUAI,DEFAULT,5,,,true,true,,a154W00000926YXQAY,,,,,,,,0,0,,,,,a1d4W00000jHX46QAG,,false,false,false,0,,,288,288,
a1C4W00000845PsUAI,DEFAULT,6,,,true,true,,a154W00000926YYQAY,,,,,,,,0,0,,,,,a1d4W00000jHX47QAG,,false,false,false,0,,,289,289,
a1C4W00000845PtUAI,DEFAULT,7,,,true,true,,a154W00000926YZQAY,,,,,,,,0,0,,,,,a1d4W00000jHX48QAG,,false,false,false,0,,,290,290,
a1C4W00000845PuUAI,DEFAULT,8,,,true,true,,a154W00000926YaQAI,,,,,,,,0,4000,,,,,,,false,false,false,4000,,,19,,
a1C4W00000845PvUAI,DEFAULT,9,,,true,true,,a154W00000926YbQAI,,,,,,,,0,10111,,,,,,,false,false,false,10111,,,20,,
a1C4W00000845PwUAI,DEFAULT,10,,,true,true,,a154W00000926YcQAI,,,,,,,,0,6000,,,,,,,false,false,false,6000,,,21,,
a1C4W00000845PxUAI,DEFAULT,11,,,true,true,,a154W00000926YdQAI,,,,,,,,0,4000,,,,,,,false,false,false,4000,,,22,,
a1C4W00000845PyUAI,DEFAULT,12,,,true,true,,a154W00000926YeQAI,,,,,,,,0,10111,,,,,,,false,false,false,10111,,,23,,
a1C4W00000845PzUAI,DEFAULT,13,,,true,true,,a154W00000926YfQAI,,,,,,,,0,6000,,,,,,,false,false,false,6000,,,24,,
a1C4W00000845Q0UAI,DEFAULT,14,,,true,true,,a154W00000926YgQAI,,,,,,,,0,100,,,,,,,false,false,false,100,,,275,,
a1C4W00000845Q1UAI,DEFAULT,15,,,true,true,,a154W00000926YhQAI,,,,,,,,0,200,,,,,,,false,false,false,200,,,276,,
a1C4W00000845Q2UAI,DEFAULT,16,,,true,true,,a154W00000926YiQAI,,,,,,,,0,25,,,,,a1d4W00000jHX49QAG,,false,false,false,25,,,291,291,
a1C4W00000845Q3UAI,DEFAULT,17,,,true,true,,a154W00000926YjQAI,,,,,,,,0,25,,,,,a1d4W00000jHX4AQAW,,false,false,false,25,,,10,10,
a1C4W00000845Q4UAI,DEFAULT,18,,,true,true,,a154W00000926YkQAI,,,,,,,,0,0,,,,,a1d4W00000jHX4BQAW,,false,false,false,0,,,11,11,
