Id,Name,External_Id__c,OrderApi__Subscription__c,OrderApi__Grace_Period_End_Date__c,OrderApi__Is_Active__c,OrderApi__Renewed_Date__c,OrderApi__Sales_Order_Line__c,OrderApi__Sales_Order__c,OrderApi__Subscription_Plan__c,OrderApi__Term_End_Date__c,OrderApi__Term_Start_Date__c,OrderApi__Account__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Cancellation_Requested__c,OrderApi__Contact__c,OrderApi__Days_To_Lapse__c,OrderApi__Dues_Total__c,OrderApi__Entity__c,OrderApi__Is_Changed__c,OrderApi__Item__c,OrderApi__Last_Amendment_Date__c,OrderApi__Next_Invoice_Due_Date__c,OrderApi__Next_Scheduled_Payment_Date__c,OrderApi__Next_Term_Renewed_Date__c,OrderApi__Previous_Term__c,OrderApi__Renewal_Sales_Order__c,Contact_Email__c,OrderApi__Subscription__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Subscription_Plan__r.Id,OrderApi__Account__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Previous_Term__r.External_Id__c,OrderApi__Renewal_Sales_Order__r.External_Id__c
a1H4W00000BB54UUAT,000000283,1,a1S4W000004D1ScUAK,,false,2018-04-22,,,a1R4W000004PyfSUAS,2115-02-24,2015-02-24,0014W000025FRkKQAW,0,0,false,0034W00002Dpof1QAB,34478,0,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,122,,,a1R4W000004PyfSUAS,5,144,609,,
a1H4W00000BB54VUAT,000000284,2,a1S4W000004D1SdUAK,2016-07-21,false,2018-04-22,,,a1R4W000004PyfOUAS,2016-06-21,2015-06-21,0014W000025FRlLQAW,3,30,false,0034W00002Dpog3QAB,-1563,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,123,,,a1R4W000004PyfOUAS,9,239,648,,
a1H4W00000BB54WUAT,000000285,3,a1S4W000004D1SeUAK,2015-08-09,false,2018-04-22,,,a1R4W000004PyfOUAS,2017-05-06,2016-05-06,0014W000025FRm1QAG,3,42,false,0034W00002DpogCQAR,-1244,0,Account,false,a154W00000926RkQAI,,2020-05-20,,,,,,124,,,a1R4W000004PyfOUAS,11,162,649,,
a1H4W00000BB54XUAT,000000286,4,a1S4W000004D1SfUAK,,true,2018-04-22,,,a1R4W000004PyfVUAS,2114-08-03,2014-08-03,0014W000025FRm1QAG,0,0,false,0034W00002Dpog9QAB,34273,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,125,,,a1R4W000004PyfVUAS,11,159,609,,
a1H4W00000BB54YUAT,000000287,5,a1S4W000004D1SgUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-04-02,2017-04-02,0014W000025FRlxQAG,0,0,false,0034W00002DpofVQAR,-913,450,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,126,,,a1R4W000004PyfNUAS,1,177,651,,
a1H4W00000BB54ZUAT,000000288,6,a1S4W000004D1ShUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-03-13,2016-03-13,0014W000025FRkOQAW,0,0,false,0034W00002Dpog4QAB,-1298,75,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,66,,,a1R4W000004PyfNUAS,10,240,651,,
a1H4W00000BB54aUAD,000000289,7,a1S4W000004D1SiUAK,2016-02-07,false,2018-04-22,,,a1R4W000004PyfOUAS,2016-01-08,2015-01-08,0014W000025FRlzQAG,3,30,false,0034W00002DpofiQAB,-1728,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,67,,,a1R4W000004PyfOUAS,3,134,648,,
a1H4W00000BB54bUAD,000000290,8,a1S4W000004D1SjUAK,2017-04-21,false,2018-04-22,,,a1R4W000004PyfOUAS,2017-03-22,2016-03-22,0014W000025FRlvQAG,3,30,false,0034W00002DpofHQAR,-1289,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,68,,,a1R4W000004PyfOUAS,19,96,648,,
a1H4W00000BB54cUAD,000000291,9,a1S4W000004D1SkUAK,,true,2018-04-22,,,a1R4W000004PyfVUAS,2115-04-09,2015-04-09,0014W000025FRm0QAG,0,0,false,0034W00002DpoftQAB,34522,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,69,,,a1R4W000004PyfVUAS,7,204,609,,
a1H4W00000BB54dUAD,000000293,10,a1S4W000004D1SlUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-02-22,2017-02-22,0014W000025FRkKQAW,0,0,false,0034W00002Dpof7QAB,-952,750,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,70,,,a1R4W000004PyfNUAS,5,151,651,,
