Id,OrderApi__Receipt_Line__c,OrderApi__Term__c,Name,External_Id__c,OrderApi__Subscription__c,OrderApi__Activated_Date__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Assignments_Available__c,OrderApi__Invoice_Line__c,OrderApi__Invoiced_Date__c,OrderApi__Is_Amendment__c,OrderApi__Is_Invoiced__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Sale_Price__c,OrderApi__Sales_Order_Line__c,OrderApi__Subscription_Line__c,OrderApi__Subtotal__c,OrderApi__Total__c,OrderApi__Is_Required_Package_Item__c,OrderApi__Receipt_Line__r.External_Id__c,OrderApi__Term__r.External_Id__c,OrderApi__Subscription__r.External_Id__c,OrderApi__Invoice_Line__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Subscription_Line__r.External_Id__c
a1Q4W000003fqW8UAI,,a1H4W00000BB53NUAT,000000399,1,a1S4W000004D1RcUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZmbUAH,a1Q4W000003fqW2UAI,300,300,false,,137,27,,155,651,476,366,188
a1Q4W000003fqW9UAI,,a1H4W00000BB53OUAT,000000400,2,a1S4W000004D1RfUAK,2020-03-30,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,false,a1C4W00000845KlUAI,1,900,a1I4W00000HFZmcUAH,,900,900,false,,138,28,,155,96,613,367,
a1Q4W000003fqWAUAY,,a1H4W00000BB53OUAT,000000401,3,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R0QAI,Local Chapter Membership,60,true,a1C4W00000845KmUAI,1,60,a1I4W00000HFZmdUAH,a1Q4W000003fqW9UAI,60,60,true,,138,28,,155,700,545,368,2
a1Q4W000003fqWBUAY,,a1H4W00000BB53OUAT,000000402,4,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,false,a1C4W00000845KlUAI,1,900,a1I4W00000HFZmhUAH,a1Q4W000003fqW9UAI,900,900,false,,138,28,,155,96,613,479,2
a1Q4W000003fqWCUAY,,a1H4W00000BB53OUAT,000000403,5,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,false,a1C4W00000845KnUAI,1,40,a1I4W00000HFZmkUAH,a1Q4W000003fqW9UAI,40,40,false,,138,28,,155,701,718,482,2
a1Q4W000003fqWDUAY,,a1H4W00000BB53OUAT,000000404,6,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,false,a1C4W00000845KoUAI,1,150,a1I4W00000HFZmlUAH,a1Q4W000003fqW9UAI,150,150,false,,138,28,,155,650,475,483,2
a1Q4W000003fqWEUAY,,a1H4W00000BB53OUAT,000000405,7,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,false,a1C4W00000845KpUAI,1,45,a1I4W00000HFZmfUAH,a1Q4W000003fqW9UAI,45,45,false,,138,28,,155,609,470,477,2
a1Q4W000003fqWFUAY,,a1H4W00000BB53OUAT,000000406,8,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZmmUAH,a1Q4W000003fqW9UAI,300,300,false,,138,28,,155,651,476,484,2
a1Q4W000003fqWGUAY,,a1H4W00000BB53OUAT,000000407,9,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,false,a1C4W00000845KoUAI,2,150,a1I4W00000HFZmjUAH,a1Q4W000003fqW9UAI,300,300,false,,138,28,,155,650,475,481,2
a1Q4W000003fqWHUAY,,a1H4W00000BB53PUAT,000000408,10,a1S4W000004D1RgUAK,2020-03-30,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZmrUAH,,416.67,416.67,false,,139,29,,159,186,696,607,
a1Q4W000003fqWIUAY,,a1H4W00000BB53QUAT,000000409,11,a1S4W000004D1RhUAK,2020-03-31,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZmuUAH,,416.67,416.67,false,,140,30,,159,186,696,610,
a1Q4W000003fqWJUAY,,a1H4W00000BB53RUAT,000000410,12,a1S4W000004D1RiUAK,2020-03-31,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZmvUAH,,416.67,416.67,false,,141,31,,159,186,696,611,
a1Q4W000003fqWKUAY,,a1H4W00000BB53SUAT,000000411,13,a1S4W000004D1RjUAK,2020-03-31,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZmyUAH,,416.67,416.67,false,,142,32,,159,186,696,614,
a1Q4W000003fqWLUAY,,a1H4W00000BB53TUAT,000000412,14,a1S4W000004D1RkUAK,2020-03-31,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZn1UAH,,416.67,416.67,false,,143,33,,159,186,696,617,
a1Q4W000003fqWMUAY,,a1H4W00000BB53UUAT,000000413,15,a1S4W000004D1RlUAK,2020-03-31,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZn4UAH,,416.67,416.67,false,,144,34,,159,186,696,744,
a1Q4W000003fqWNUAY,,a1H4W00000BB53VUAT,000000414,16,a1S4W000004D1RmUAK,2020-04-08,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZnGUAX,,416.67,416.67,false,,145,35,,159,186,696,756,
a1Q4W000003fqWOUAY,,a1H4W00000BB53WUAT,000000415,17,a1S4W000004D1RnUAK,2020-04-08,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZnHUAX,,416.67,416.67,false,,146,36,,159,186,696,886,
a1Q4W000003fqWPUAY,,a1H4W00000BB53XUAT,000000416,18,a1S4W000004D1RoUAK,2020-04-08,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZnKUAX,,416.67,416.67,false,,147,37,,159,186,696,889,
a1Q4W000003fqWQUAY,,a1H4W00000BB53YUAT,000000417,19,a1S4W000004D1RpUAK,2020-04-08,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZnNUAX,,416.67,416.67,false,,148,38,,159,186,696,892,
a1Q4W000003fqWRUAY,,a1H4W00000BB53ZUAT,000000418,20,a1S4W000004D1RqUAK,2020-04-08,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZnPUAX,,416.67,416.67,false,,149,39,,159,186,696,894,
a1Q4W000003fqWSUAY,,a1H4W00000BB53aUAD,000000427,21,a1S4W000004D1RxUAK,2020-04-24,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,true,a1C4W00000845KlUAI,1,675,a1I4W00000HFZnaUAH,,675,675,false,,150,40,,155,96,613,1033,
a1Q4W000003fqWTUAY,,a1H4W00000BB53aUAD,000000428,22,a1S4W000004D1RxUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R0QAI,Local Chapter Membership,60,true,a1C4W00000845KmUAI,1,45,a1I4W00000HFZnbUAH,a1Q4W000003fqWSUAY,45,45,true,,150,40,,155,700,545,1034,21
a1Q4W000003fqWUUAY,,a1H4W00000BB53hUAD,000000429,23,a1S4W000004D1RyUAK,2020-05-20,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZogUAH,,416.67,416.67,false,,151,41,,159,186,696,1741,
a1Q4W000003fqXLUAY,,a1H4W00000BB54uUAD,000000229,24,a1S4W000004D1T2UAK,2015-09-11,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,250,,,250,250,false,,27,136,,155,651,,,
a1Q4W000003fqXMUAY,,a1H4W00000BB54vUAD,000000230,25,a1S4W000004D1T3UAK,2016-07-26,1,10,9,,,true,false,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,2500,true,,1,2500,,,2500,2500,false,,28,137,,159,648,,,
a1Q4W000003fqXNUAY,,a1H4W00000BB54wUAD,000000231,26,a1S4W000004D1T4UAK,2014-04-20,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,true,,1,37.5,,,37.5,37.5,false,,29,138,,155,650,,,
a1Q4W000003fqXOUAY,,a1H4W00000BB54xUAD,000000232,27,a1S4W000004D1T5UAK,2014-05-20,1,10,9,,,true,false,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,2500,true,,1,2500,,,2500,2500,false,,30,78,,159,648,,,
a1Q4W000003fqXPUAY,,a1H4W00000BB54yUAD,000000234,28,a1S4W000004D1T6UAK,2014-05-12,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,true,,1,25,,,25,25,false,,31,79,,155,609,,,
a1Q4W000003fqXQUAY,,a1H4W00000BB54zUAD,000000235,29,a1S4W000004D1T7UAK,2014-07-10,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,300,,,300,300,false,,32,80,,155,651,,,
