Id,Name,External_Id__c,OrderApi__Transaction__c,OrderApi__Activation_Date__c,OrderApi__Auto_Calculate_Activation_Date__c,OrderApi__Business_Group__c,OrderApi__Credit__c,OrderApi__Date__c,OrderApi__Debit__c,OrderApi__End_Date__c,OrderApi__GL_Account__c,OrderApi__Invoice_Line__c,OrderApi__Invoice__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Memo__c,OrderApi__Receipt_Line__c,OrderApi__Receipt__c,OrderApi__Sales_Order_Line__c,OrderApi__Subscription_Line__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription__c,OrderApi__Type__c,OrderApi__EPayment_Line__c,OrderApi__Sales_Order__c,OrderApi__Transaction__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__GL_Account__r.Id,OrderApi__Invoice_Line__r.External_Id__c,OrderApi__Invoice__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Receipt_Line__r.External_Id__c,OrderApi__Receipt__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Subscription_Line__r.External_Id__c,OrderApi__Subscription_Plan__r.Id,OrderApi__Subscription__r.External_Id__c,OrderApi__EPayment_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c
a1U4W000009M2OUUA0,0000011515,304,a1V4W00000FrBX4UAN,,true,a0o4W00000M5SknQAF,0,2020-08-05,10000,,a104W00000G3d1HQAR,,,a134W000009DZGMQA4,a154W00000926R2QAI,Show off your association pride by sponsoring our annual conference at the gold level.,a1D4W0000061urIUAQ,a1E4W00000DtYBIUA3,a1I4W00000HFZpPUAX,,,,Cash,,a1J4W00000CgFu8UAF,3668,FON-International Association,a104W00000G3d1HQAR,,,129,685,689,29,136,,,,,702
a1U4W000009M2OVUA0,0000011516,305,a1V4W00000FrBX4UAN,,true,a0o4W00000M5SknQAF,10000,2020-08-05,0,,a104W00000G3d1hQAB,,,a134W000009DZGMQA4,a154W00000926R2QAI,Show off your association pride by sponsoring our annual conference at the gold level.,a1D4W0000061urIUAQ,a1E4W00000DtYBIUA3,a1I4W00000HFZpPUAX,,,,Cash,,a1J4W00000CgFu8UAF,3668,FON-International Association,a104W00000G3d1hQAB,,,129,685,689,29,136,,,,,702
a1U4W000009M2OWUA0,0000011517,306,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,100,,a104W00000G3d1HQAR,,,a134W000009DZGRQA4,a154W00000926RHQAY,Full Conference Pass (FON-Annual Symposium 2020 (Lightning Event)),a1D4W0000061urJUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpQUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,5,538,690,59,137,,,,,706
a1U4W000009M2OXUA0,0000011518,307,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,100,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGRQA4,a154W00000926RHQAY,Full Conference Pass (FON-Annual Symposium 2020 (Lightning Event)),a1D4W0000061urJUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpQUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,5,538,690,59,137,,,,,706
a1U4W000009M2OYUA0,0000011519,308,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,25,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RIQAY,,a1D4W0000061urKUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpRUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,579,691,59,138,,,,,706
a1U4W000009M2OZUA0,0000011520,309,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,25,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RIQAY,,a1D4W0000061urKUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpRUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,579,691,59,138,,,,,706
a1U4W000009M2OaUAK,0000011521,310,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RLQAY,,a1D4W0000061urLUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpSUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,582,692,59,139,,,,,706
a1U4W000009M2ObUAK,0000011522,311,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RLQAY,,a1D4W0000061urLUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpSUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,582,692,59,139,,,,,706
a1U4W000009M2OcUAK,0000011523,312,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,25,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RMQAY,,a1D4W0000061urMUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpTUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,583,770,59,140,,,,,706
a1U4W000009M2OdUAK,0000011524,313,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,25,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RMQAY,,a1D4W0000061urMUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpTUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,583,770,59,140,,,,,706
a1U4W000009M2OeUAK,0000011525,314,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RJQAY,,a1D4W0000061urNUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpUUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,585,771,59,141,,,,,706
a1U4W000009M2OfUAK,0000011526,315,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RJQAY,,a1D4W0000061urNUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpUUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,585,771,59,141,,,,,706
a1U4W000009M2OgUAK,0000011527,316,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RKQAY,,a1D4W0000061urOUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpVUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,586,772,59,142,,,,,706
a1U4W000009M2OhUAK,0000011528,317,a1V4W00000FrBXAUA3,,true,a0o4W00000M5SknQAF,0,2020-08-07,0,,a104W00000G3d1HQAR,,,a134W000009DZGSQA4,a154W00000926RKQAY,,a1D4W0000061urOUAQ,a1E4W00000DtYBMUA3,a1I4W00000HFZpVUAX,,,,Cash,,a1J4W00000CgFuRUAV,3669,FON-International Association,a104W00000G3d1HQAR,,,6,586,772,59,142,,,,,706
a1U4W000009M2OiUAK,0000011529,318,a1V4W00000FrBXBUA3,,true,a0o4W00000M5SknQAF,0,2020-08-10,10,,a104W00000G3d1HQAR,,,a134W000009DZGEQA4,a154W00000926RhQAI,A fancy globe with pinpoints indicating all of the countries of IA customers.,a1D4W0000061urPUAQ,a1E4W00000DtYBNUA3,a1I4W00000HFZpWUAX,,,,Cash,,a1J4W00000CgFuWUAV,3670,FON-International Association,a104W00000G3d1HQAR,,,152,438,773,60,143,,,,,800
a1U4W000009M2OjUAK,0000011530,319,a1V4W00000FrBXBUA3,,true,a0o4W00000M5SknQAF,10,2020-08-10,0,,a104W00000G3d1HQAR,,,a134W000009DZGEQA4,a154W00000926RhQAI,A fancy globe with pinpoints indicating all of the countries of IA customers.,a1D4W0000061urPUAQ,a1E4W00000DtYBNUA3,a1I4W00000HFZpWUAX,,,,Cash,,a1J4W00000CgFuWUAV,3670,FON-International Association,a104W00000G3d1HQAR,,,152,438,773,60,143,,,,,800
a1U4W000009M2OkUAK,0000004479,97,a1V4W00000FrAeKUAV,,true,a0o4W00000M5SknQAF,0,2019-11-05,2500,,a104W00000G3d1EQAR,,,,,Sales Order #000002038,,a1E4W00000DtYA8UAN,,,,,Cash,,,2,FON-International Association,a104W00000G3d1EQAR,,,,,,67,,,,,,
a1U4W000009M2OlUAK,0000004480,98,a1V4W00000FrAeKUAV,2020-01-01,true,a0o4W00000M5SknQAF,2500,2019-11-05,0,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,2,FON-International Association,a104W00000G3d1aQAB,,,159,648,1443,67,1165,,a1R4W000004PyfNUAS,163,353,
a1U4W000009M2OmUAK,0000004481,99,a1V4W00000FrAeLUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-01-31,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,3,FON-International Association,a104W00000G3d1aQAB,,,159,648,1443,67,1165,,a1R4W000004PyfNUAS,163,353,
a1U4W000009M2OnUAK,0000004482,100,a1V4W00000FrAeLUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-01-31,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,3,FON-International Association,a104W00000G3d1eQAB,,,159,648,1443,67,1165,,a1R4W000004PyfNUAS,163,353,
a1U4W000009M2OoUAK,0000004483,101,a1V4W00000FrAeMUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-02-29,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,4,FON-International Association,a104W00000G3d1aQAB,,,159,648,1443,67,1165,,a1R4W000004PyfNUAS,163,353,
a1U4W000009M2OpUAK,0000004484,102,a1V4W00000FrAeMUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-02-29,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,4,FON-International Association,a104W00000G3d1eQAB,,,159,648,1443,67,1165,,a1R4W000004PyfNUAS,163,353,
a1U4W000009M2OqUAK,0000004485,103,a1V4W00000FrAeNUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-03-31,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,5,FON-International Association,a104W00000G3d1aQAB,,,159,648,1443,67,1165,,a1R4W000004PyfNUAS,163,353,
a1U4W000009M2OrUAK,0000004486,104,a1V4W00000FrAeNUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-03-31,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,5,FON-International Association,a104W00000G3d1eQAB,,,159,648,1443,67,1165,,a1R4W000004PyfNUAS,163,353,
a1U4W000009M2OsUAK,0000004487,105,a1V4W00000FrAeOUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-04-30,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,6,FON-International Association,a104W00000G3d1aQAB,,,159,648,1443,67,1165,,a1R4W000004PyfNUAS,163,353,
