Id,Name,PagesApi__Description__c,PagesApi__Display_Style__c,PagesApi__Submit_Style__c,PagesApi__Submit_Value__c,PagesApi__User_Instructions__c,PagesApi__Wizard_Review_Instructions__c,Form_URL__c,FON_Lightning_Form_URL__c
a0S4W00000WEbeJUAT,My Events,,Standard,,,,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeJ,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeJ
a0S4W00000WEbeaUAD,FON - Pick Your Region Form,,Standard,,,,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbea,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbea
a0S4W00000WEbeKUAT,FON-Lightning Events Registration Form,Event Registration Questionnaire. This form is tied to the event 'FON-Annual Meeting (Conference Style Event)',Standard,,,Event Registration Questionnaire. This form is tied to the event 'FON-Annual Meeting (Conference Style Event)',Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeK,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeK
a0S4W00000WEbeLUAT,FON-Post-Conference Survey,This is a Post Conference survey form that can be sent to the Event Attendees post Event,Wizard,Javascript,"alert(""Thank you for your feedback!"");",This is a Post Conference survey form that can be sent to the Event Attendees post Event,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeL
a0S4W00000WEbeMUAT,FON-Annual Conference Speaker Request Form,"This form creates a new speaker record and binds the Speaker brecords to an event that is passd over the url . Add ""&eventid=[eventid]"" to the end of the Form URL for this form to work, where [eventid] is the Salesforce ID of the event you would like the new Speaker to be connected to.",Standard,Javascript,"alert(""Thank you for your feedback!"");","This form creates a new speaker record and binds the Speaker brecords to an event that is passd over the url . Add ""&eventid=[eventid]"" to the end of the Form URL for this form to work, where [eventid] is the Salesforce ID of the event you would like the new Speaker to be connected to.",Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeM,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeM
a0S4W00000WEbeNUAT,FON-New Account Submission,The purpose of this form is to create a new Account/Organization and enter multiple Contacts/Individuals under this account,Standard,Javascript,"alert(""Thank you for your feedback!"");",The purpose of this form is to update an existing records on the form using advanced data bindings.,The purpose of this form is to create a new Account/Organization and enter multiple Contacts/Individuals under this account,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeN,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeN
a0S4W00000WEbeOUAT,FON-Company Information,The purpose of this form is to update the account of the logged in Contact  using advanced data bindings.,Standard,URL,/cpbase__profile,The purpose of this form is to update the account of the logged in Contact  using advanced data bindings.,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeO,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeO
a0S4W00000WEbePUAT,FON-Webinar Info,This form is to collect Webinar interest and is coupled to the ticket types on the FON-Webinar - Our Mission - Free Event (Simple Event),Standard,,,This form is to collect Webinar interest and is coupled to the ticket types on the FON-Webinar - Our Mission - Free Event (Simple Event),Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeP,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeP
a0S4W00000WEbeQUAT,FON-Membership Application,This Form is used to collect all the information that is required for an Individual Membership. It is used in the Join Process 'FON - Individual Membership Application',Standard,,,This Form is used to collect all the information that is required for an Individual Membership. It is used in the Join Process 'FON - Individual Membership Application',Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeQ,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeQ
a0S4W00000WEbeRUAT,FON-Community Group Member,"This form is used to add Community Group Members within a Community Group.  Add ""&communitygroup=[community group id]"" to the end of the Form URL for this form to work, where [community group id] is the Salesforce ID of the community group that you would want to add community group Members to.",Standard,,,"This form is used to add Community Group Members within a Community Group.  Add ""&communitygroup=[community group id]"" to the end of the Form URL for this form to work, where [community group id] is the Salesforce ID of the community group that you would want to add community group Members to.",Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S4W00000WEbeR,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WEbeR
