Id,Name,PagesApi__Auth_Required__c,PagesApi__Enable_SEF_URLs__c,PagesApi__Form__c,PagesApi__Is_Published__c,PagesApi__Is_Standard__c,PagesApi__Menu__c,PagesApi__No_Archive__c,PagesApi__No_Follow__c,PagesApi__No_Index__c,PagesApi__Page_ID__c,PagesApi__Page_URL__c,PagesApi__SEF_Slug__c,PagesApi__Site_Template_Key__c,PagesApi__Site__c,PagesApi__Theme__c,PagesApi__Title_Tag__c,PagesApi__Visualforce_Page__c,PagesApi__Visualforce_Template__c,OrderApi__Enable_Access_Permissions__c,PagesApi__Form__r.Id,PagesApi__Menu__r.Id,PagesApi__Site__r.Id,PagesApi__Theme__r.Id
a0Z4W00000P9DXgUAN,APPTTUS STOREFRONT: GROUPS,false,false,,true,true,,false,false,false,35,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__groups?page=a0Z4W00000P9DXgUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Groups,CPBase__groups,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXhUAN,APPTTUS STOREFRONT: EVENTS,false,false,,true,true,,false,false,false,36,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__events?page=a0Z4W00000P9DXhUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Events,CPBase__events,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXiUAN,APPTTUS STOREFRONT: STORE,false,false,,true,true,,false,false,false,37,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__store?page=a0Z4W00000P9DXiUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Store,CPBase__store,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXjUAN,APPTTUS STOREFRONT: PROFILE,true,false,,true,true,a0W4W0000184KDYUA2,false,false,false,38,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__profile?page=a0Z4W00000P9DXjUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Profile,CPBase__profile,,false,,a0W4W0000184KDYUA2,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXkUAN,APPTTUS STOREFRONT: GROUPS,false,false,,true,true,,false,false,false,39,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__groups?page=a0Z4W00000P9DXkUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Groups,CPBase__groups,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXlUAN,APPTTUS STOREFRONT: EVENTS,false,false,,true,true,,false,false,false,40,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__events?page=a0Z4W00000P9DXlUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Events,CPBase__events,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXmUAN,FON - Company Update,true,false,,true,false,a0W4W0000184KDVUA2,false,false,false,41,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?id=a0S6A000001F2YtUAK&page=a0Z4W00000P9DXmUAN&site=a0d4W00000SFTXKQA5,,CPBASE,a0d4W00000SFTXKQA5,,,cpbase__form?id=a0S6A000001F2YtUAK,,true,,a0W4W0000184KDVUA2,a0d4W00000SFTXKQA5,
a0Z4W00000P9DXnUAN,FON - Organization Contact Management,true,false,,true,false,a0W4W0000184KDVUA2,false,false,false,42,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/cpbase__form?ID=a0S6A000001Ftr3&page=a0Z4W00000P9DXnUAN&site=a0d4W00000SFTXKQA5,,CPBASE,a0d4W00000SFTXKQA5,,,cpbase__form?ID=a0S6A000001Ftr3,,true,,a0W4W0000184KDVUA2,a0d4W00000SFTXKQA5,
a0Z4W00000P9DXoUAN,FON - LIGHTNING COMMUNITY SITE: STORE,false,false,,true,true,,false,false,false,43,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/LightningMemberPortal/s/CPBase__store?page=a0Z4W00000P9DXoUAN&site=a0d4W00000SFTXMQA5,,CPBASE,a0d4W00000SFTXMQA5,,Store,CPBase__store,,false,,,a0d4W00000SFTXMQA5,
a0Z4W00000P9DXpUAN,FON - LIGHTNING COMMUNITY SITE: PROFILE,true,false,,true,true,a0W4W0000184KDaUAM,false,false,false,44,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/LightningMemberPortal/s/CPBase__profile?page=a0Z4W00000P9DXpUAN&site=a0d4W00000SFTXMQA5,,CPBASE,a0d4W00000SFTXMQA5,,Profile,CPBase__profile,,false,,a0W4W0000184KDaUAM,a0d4W00000SFTXMQA5,
