Id,ProgramApi__Profile__c,Name,External_Id__c,ProgramApi__Active__c,ProgramApi__End_Date__c,ProgramApi__Is_Maintenance__c,ProgramApi__Start_Date__c,ProgramApi__Profile__r.External_Id__c
a1u4W000004LLH0QAO,a1t4W0000051F03QAE,PT-00026,1,true,,false,2020-03-30,6
a1u4W000004LLH1QAO,a1t4W0000051F04QAE,PT-00027,2,true,,false,2020-03-31,7
a1u4W000004LLH2QAO,a1t4W0000051F05QAE,PT-00028,3,true,,false,2020-03-31,8
a1u4W000004LLH3QAO,a1t4W0000051F06QAE,PT-00029,4,true,,false,2020-03-31,9
a1u4W000004LLH4QAO,a1t4W0000051F07QAE,PT-00030,5,true,,false,2020-03-31,10
a1u4W000004LLH5QAO,a1t4W0000051F08QAE,PT-00031,6,true,,false,2020-03-31,11
a1u4W000004LLH6QAO,a1t4W0000051F09QAE,PT-00032,7,true,,false,2020-04-08,12
a1u4W000004LLH7QAO,a1t4W0000051F0AQAU,PT-00033,8,true,,false,2020-04-08,13
a1u4W000004LLH8QAO,a1t4W0000051F0BQAU,PT-00034,9,true,,false,2020-04-08,14
a1u4W000004LLH9QAO,a1t4W0000051F0CQAU,PT-00035,10,true,,false,2020-04-08,15
a1u4W000004LLHAQA4,a1t4W0000051F0DQAU,PT-00036,11,true,,false,2020-04-08,16
a1u4W000004LLHBQA4,a1t4W0000051F0JQAU,PT-00042,12,true,,false,2020-05-20,17
a1u4W000004LLHCQA4,a1t4W0000051F0EQAU,PT-00037,13,true,,false,2020-04-20,1
a1u4W000004LLHDQA4,a1t4W0000051F0FQAU,PT-00038,14,true,,false,2020-04-20,2
a1u4W000004LLHEQA4,a1t4W0000051F0HQAU,PT-00039,15,true,,false,2020-04-20,3
a1u4W000004LLHFQA4,a1t4W0000051F0IQAU,PT-00040,16,true,,false,2020-04-20,4
a1u4W000004LLHGQA4,a1t4W0000051F0GQAU,PT-00041,17,true,,false,2020-04-20,5
a1u4W000004LLHHQA4,a1t4W0000051F0KQAU,PT-00013,18,true,,false,2017-10-11,18
a1u4W000004LLHIQA4,a1t4W0000051F0NQAU,PT-00014,19,true,,false,2017-09-25,21
a1u4W000004LLHJQA4,a1t4W0000051F0OQAU,PT-00015,20,true,,false,2017-09-25,22
a1u4W000004LLHSQA4,,PT-00016,21,true,,false,2018-03-19,
a1u4W000004LLHOQA4,,PT-00017,22,true,,false,2017-11-20,
a1u4W000004LLHKQA4,a1t4W0000051F0LQAU,PT-00019,23,true,,false,2017-12-19,19
a1u4W000004LLHLQA4,a1t4W0000051F0MQAU,PT-00020,24,true,,false,2017-12-19,20
a1u4W000004LLHMQA4,a1t4W0000051F0MQAU,PT-00021,25,false,,false,,20
a1u4W000004LLHNQA4,a1t4W0000051F0MQAU,PT-00022,26,false,,false,,20
a1u4W000004LLHPQA4,,PT-00023,27,true,,false,2017-12-19,
a1u4W000004LLHQQA4,,PT-00024,28,true,,false,2017-12-20,
a1u4W000004LLHRQA4,,PT-00025,29,false,,false,,
