Id,Name,ProgramApi__Dependency__c,ProgramApi__Display_Order__c,ProgramApi__End_Date__c,ProgramApi__Goal_Button_Label__c,ProgramApi__Maintenance__c,ProgramApi__Navigation_URL__c,ProgramApi__Program__c,ProgramApi__Published__c,ProgramApi__Requirement_Description__c,ProgramApi__Requirement_Name__c,ProgramApi__Requirement_Type__c,ProgramApi__Start_Date__c,ProgramApi__Program__r.Id
a1x4W000005QM6zQAG,RN-00007,,1,,Complete Form,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S6A000001F2Yt,a1w4W000008Gr1pQAC,true,The certification process begins once you fill out this form.,Registration Form,,,a1w4W000008Gr1pQAC
a1x4W000005QM70QAG,RN-00008,,2,,Sign Up,false,#,a1w4W000008Gr1pQAC,true,Click to apply for your site visit and choose from available days.  We will confirm your scheduled visit and this task will be marked complete when the visit is completed and passed.,Site Visit,,,a1w4W000008Gr1pQAC
a1x4W000005QM71QAG,RN-00009,,3,,Start Course,false,#,a1w4W000008Gr1pQAC,true,You must complete the course prior to your site visit.,Course,,,a1w4W000008Gr1pQAC
a1x4W000005QM72QAG,RN-00010,,1,,Complete Form,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S6A000001F2Yt,a1w4W000008Gr1oQAC,true,The certification process begins once you fill out this form.,Registration Form,,,a1w4W000008Gr1oQAC
a1x4W000005QM73QAG,RN-00011,,2,,Launch Course,false,#,a1w4W000008Gr1oQAC,true,,Course: Advanced Vaulting Teaching Techniques,Course,,a1w4W000008Gr1oQAC
a1x4W000005QM74QAG,RN-00012,,3,,Launch Course,false,#,a1w4W000008Gr1oQAC,true,,Course: Vaulting with Confidence and Instilling it in Others,Course,,a1w4W000008Gr1oQAC
a1x4W000005QM75QAG,RN-00013,RN-00005,4,,Register,false,#,a1w4W000008Gr1oQAC,true,You must complete this exam to aquire your accreditation.,Exam: IVI Exam,Exam,,a1w4W000008Gr1oQAC
a1x4W000005QM76QAG,RN-00014,,,,Self Report Credits,false,,a1w4W000008Gr1pQAC,true,,CEU Credits,CEUs,,a1w4W000008Gr1pQAC
a1x4W000005QM77QAG,RN-00015,,,,Launch Exam,true,,a1w4W000008Gr1pQAC,true,,Maintenance Exam,Exam,,a1w4W000008Gr1pQAC
a1x4W000005QM78QAG,RN-00016,,,,Launch Exam,true,,a1w4W000008Gr1oQAC,false,,Maintenance Exam,Exam,,a1w4W000008Gr1oQAC
