Id,Name,External_Id__c,joinapi__Disable_Item_Navigation_URL__c,joinapi__Dynamic_Item_Selection__c,joinapi__Enable_Account_Lookup__c,joinapi__Form__c,joinapi__Instructions__c,joinapi__Is_Authentication_Step__c,joinapi__Is_Confirmation_Step__c,joinapi__Is_Custom_Page__c,joinapi__Is_Final_Step__c,joinapi__Is_First_Step__c,joinapi__Is_Marketing_Step__c,joinapi__Is_Payment_Step__c,joinapi__Is_Product_Step__c,joinapi__Is_Published__c,joinapi__Is_Qualifying_Question__c,joinapi__Join_Process__c,joinapi__Login_Button_Label__c,joinapi__Login_Header__c,joinapi__Login_Instructions__c,joinapi__Navigation_URL__c,joinapi__New_User_Button_Label__c,joinapi__New_User_Header__c,joinapi__New_User_Instructions__c,joinapi__Next_Step_Button_Label__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Page_Title__c,joinapi__Product_Step_Item__c,joinapi__Specific_Item_Selection__c,joinapi__Store__c,joinapi__Visual_Force_Page_API_Name__c,joinapi__Form__r.Id,joinapi__Join_Process__r.External_Id__c,joinapi__Next_Step__r.External_Id__c,joinapi__Product_Step_Item__r.External_Id__c,joinapi__Store__r.Id
a204W00000JMb7bQAD,000008,1,false,false,false,,,false,false,false,false,true,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,,,,Membership Types,,false,,,,,,,
a204W00000JMb7aQAD,000009,2,false,false,false,,,false,false,false,false,false,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,Next Step,,,Marketing,,false,,,,,,,
a204W00000JMb7dQAD,000010,3,false,false,false,,,false,false,false,false,false,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,Next Step,,,Marketing,,false,,,,,,,
a204W00000JMb7eQAD,000011,4,false,false,false,,,false,false,false,false,false,false,false,false,false,true,,Login,Login,,,Create Login,Create Account,,,,,Qualifying Questions,,false,,,,,,,
a204W00000JMb79QAD,000012,5,false,false,false,,,false,false,false,true,false,false,true,false,true,false,,Login,Login,,,Create Login,Create Account,,Next,,,Select a Membership,,false,a1P4W0000059tCIUAY,,,,,,a1P4W0000059tCIUAY
a204W00000JMb7AQAT,000013,6,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Institutional Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,5,648,a1P4W0000059tCIUAY
a204W00000JMb7BQAT,000014,7,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Company Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,5,648,a1P4W0000059tCIUAY
a204W00000JMb7CQAT,000015,8,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Associate Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,5,648,a1P4W0000059tCIUAY
a204W00000JMb7DQAT,000016,9,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Professional Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,5,648,a1P4W0000059tCIUAY
a204W00000JMb7EQAT,000017,10,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Student Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,5,648,a1P4W0000059tCIUAY
