Id,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,IsPartner,IsCustomerPortal,ChannelProgramName,ChannelProgramLevelName,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,OrderApi__Account_Email__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Disable_Badge_Flow_down__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Outstanding_Credits__c,OrderApi__Price_Rules_Usages__c,OrderApi__Primary_Contact__c,CPBase__Restrict_Assignment_Visibility__c,DonorApi__Accepts_Unsolicited_Proposals__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Annual_Giving_Total__c,DonorApi__Auto_Calculate_Household_Greetings__c,DonorApi__Classification__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Funding_Cycle__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Gifts_Value__c,DonorApi__Gives_Anonymously__c,DonorApi__Has_Open_Gift_Opportunity__c,DonorApi__Household_Default_Greeting_Type__c,DonorApi__Household_Default_Greeting__c,DonorApi__Household_Email__c,DonorApi__Household_Formal_Greeting__c,DonorApi__Household_Informal_Greeting__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Matches_Employee_Giving__c,DonorApi__Next_Funding_Cycle_Month__c,DonorApi__Num_Open_Gift_Opportunities__c,DonorApi__Organizational_Recognition_Name__c,DonorApi__Primary_Relationship_Manager__c,OrderApi__Restrict_Assignment_Visibility__c,OrderApi__Privacy_Settings__c,BillingStateCode,BillingCountryCode,ShippingStateCode,ShippingCountryCode,GDO_Data_Type__c,DirectoryApi__Directory_Opt_Out__c,Facebook_Account_Name__c,Membership_Types__c,GDO_Directory_Image__c,GDO_Data_Region__c,Member_Since__c,Membership_Type__c,Budget_Cycle__c,MasterRecord.Id,Parent.Id,OrderApi__Primary_Contact__r.Id,DonorApi__Primary_Relationship_Manager__r.Id
0014W000025FRlxQAG,,FON-Walmart,Member,,99 H Street Northwest,Washington,District of Columbia,20001,United States,38.90043,-77.011967,Address,99 H Street Northwest,Washington,District of Columbia,20001,United States,,,,+44 2768 192771,,0014W000025AFgrQAG,,/services/images/photo/0014W000025FRlxQAG,,,,,,,,,,false,true,,,,,,,celiawallace@mailinator.com,200,false,200,,"{""a1C6A0000031dOrUAI"":1,""a1C1I000000DSOPUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSPoUAO"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSPzUAO"":1,""a1C1I000000DSQEUA4"":1,""a1C1I000000DSPIUA4"":1,""a1C1I000000DSPEUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSPMUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPGUA4"":2,""a1C1I000000DSPBUA4"":2,""a1C1I000000DSPwUAO"":1,""a1C1I000000DSP9UAO"":1,""a1C1I000000DSP4UAO"":1,""a1C1I000000DSP1UAO"":1,""a1C1I000000DSOzUAO"":1,""a1C1I000000DSPtUAO"":1,""a1C1I000000DSOUUA4"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSP3UAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSOuUAO"":1,""a1C1I000000DSOVUA4"":2,""a1C1I000000DSPDUA4"":2,""a1C1I000000DSPHUA4"":1,""a1C1I000000DSPKUA4"":2,""a1C1I000000DSPNUA4"":2,""a1C1I000000DSQFUA4"":1,""a1C1I000000DSQXUA4"":8,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSQKUA4"":1,""a1C1I000000DSQUUA4"":1,""a1C1I000000DSQIUA4"":1}",0034W00002DpofYQAR,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,DC,US,DC,US,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/fJrVzDGz_walmart_logo_jpg,EMEA,2014-02-23,Student Membership,,,,0034W00002DpofYQAR,
0014W000025FRlyQAG,,FON-Exxon Mobil,Member,,1651 Just Rd,Flower Mound,Texas,75028,United States,33.0363,-97.0606,Zip,4407 Masterson Rd,Blaine,District of Columbia,98230,United States,,,,(430)-755-2323,,0014W000025AFgsQAG,,/services/images/photo/0014W000025FRlyQAG,,Chemicals,,,,,,,,false,false,,,,,,,chrisbennett@mailinator.com,150,false,150,,"{""a1C1I000000DSOOUA4"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSQXUA4"":7,""a1C1I000000DSQKUA4"":2,""a1C1I000000DSPdUAO"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSPOUA4"":1,""a1C1I000000DSPLUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPBUA4"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSOVUA4"":1,""a1C1I000000DSPIUA4"":1,""a1C1I000000DSPKUA4"":1,""a1C1I000000DSPMUA4"":1,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSQCUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSQIUA4"":1,""a1C1I000000DSOPUA4"":1}",0034W00002DpofcQAB,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,TX,US,DC,US,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/wUJFGVDd_ExxonMobil_Logo_png,US,2014-05-20,Professional Membership,,,,0034W00002DpofcQAB,
0014W000025FRlzQAG,,FON-Chevron,Customer - Direct,,Mittelstrasse 32,Bern,,,Switzerland,46.95544318614317,7.434305275860712,Block,Chemin des Grottes 14,Fribourg,,,Switzerland,,,,+41 92 176 4283,,0014W000025AFgtQAG,,/services/images/photo/0014W000025FRlzQAG,,Chemicals,,,,,,,,false,false,,,,,,,lauraortiz@mailinator.com,150,false,150,,"{""a1C1I000000DSOOUA4"":1,""a1C1I000000DSOpUAO"":1,""a1C1I000000DSOnUAO"":1,""a1C1I000000DSOlUAO"":1,""a1C1I000000DSOjUAO"":1,""a1C1I000000DSOgUAO"":1,""a1C1I000000DSOLUA4"":1,""a1C1I000000DSOaUAO"":2,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSQGUA4"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSQWUA4"":1,""a1C1I000000DSQXUA4"":3,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSQOUA4"":1,""a1C1I000000DSOfUAO"":1,""a1C1I000000DSOhUAO"":1,""a1C1I000000DSOkUAO"":1,""a1C1I000000DSOmUAO"":1,""a1C1I000000DSOoUAO"":1,""a1C1I000000DSOqUAO"":1}",0034W00002DpofhQAB,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,,CH,,CH,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/LIBUXENd_chevron_logo_png,EMEA,2014-02-17,,,,,0034W00002DpofhQAB,
0014W000025FRl7QAG,,FON-Berkshire Hathaway,Member,,10423 Montrose Avenue,Bethesda,Maryland,20814,United States,39.027116,-77.100062,Block,10423 Montrose Avenue,Bethesda,Maryland,20814,United States,,,,(766)-390-6699,,0014W000025AFguQAG,https://www.berkshirehathawayhs.com/,/services/images/photo/0014W000025FRl7QAG,,Banking,,,,,"© 2018 BHH Affiliates, LLC. Real Estate Brokerage Services are offered through the network member franchisees of BHH Affiliates, LLC. Most franchisees are independently owned and operated. Berkshire Hathaway Home Services and the Berkshire Hathaway HomeServices symbol are registered marks of HomeServices of America, Inc. ®

Equal Housing Opportunity. 

BHH Affiliates, LLC is a Delaware limited liability company. Its principal office is located at 18500 Von Karman, Suite 400, Irvine, California 92612 USA",,,false,true,,,,,,,aaronmarsh@mailinator.com,150,false,150,,"{""a1C4W00000845KQUAY"":4,""a1C6A000001xEPeUAM"":2,""a1C6A000001Bn7cUAC"":1,""a1C6A000001Bn7bUAC"":1,""a1C6A000001Bn7WUAS"":2,""a1C1I000000DSOdUAO"":1,""a1C1I000000DSOoUAO"":1,""a1C1I000000DSOiUAO"":1,""a1C1I000000DSOMUA4"":1,""a1C1I000000DSQUUA4"":1,""a1C1I000000DSQQUA4"":2,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPQUA4"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSQZUA4"":2,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPbUAO"":1,""a1C1I000000DSPdUAO"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSQWUA4"":2,""a1C1I000000DSQXUA4"":3,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSOeUAO"":1,""a1C1I000000DSOjUAO"":1,""a1C1I000000DSOsUAO"":1,""a1C1I000000DSOaUAO"":1,""a1C6A000001x2Y3UAI"":3,""a1C6A000001Bn4tUAC"":2,""a1C4W00000845KNUAY"":4,""a1C4W00000845KRUAY"":4}",0034W00002DpoflQAB,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,MD,US,MD,US,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/rHqOnsLh_Berkshire_Hathaway_Account_Image_png,US,2013-01-26,Student Membership,,,,0034W00002DpoflQAB,
0014W000025FRkKQAW,,FON-ABC Corporation,Member,,932 N Kenmore St,Arlington,Virginia,22201,United States,38.884071,-77.100456,Address,932 N Kenmore St,Arlington,Virginia,22201,United States,,,,2029117181,,0014W000025AFgqQAG,www.Initech.com,/services/images/photo/0014W000025FRkKQAW,,,50000000,257,Private,,A wide range of competitively priced products that consistently meet their needs for manufacturing other value-added products.,,,false,true,,,,,,,abccorp@mailinator.com,300,false,1500,9891,"{""a1C4W00000845LCUAY"":4,""a1C4W00000845KiUAI"":12,""a1C4W00000845L2UAI"":4,""a1C4W00000845L0UAI"":4,""a1C4W00000845KyUAI"":4,""a1C4W00000845KQUAY"":4,""a1C4W00000845LKUAY"":4,""a1C4W00000845L6UAI"":4,""a1C4W00000845KpUAI"":12,""a1C4W00000845KoUAI"":16,""a1C4W00000845KnUAI"":16,""a1C4W00000845KlUAI"":32,""a1C4W00000845KhUAI"":4,""a1C4W00000845KfUAI"":4,""a1C4W00000845KdUAI"":4,""a1C4W00000845KaUAI"":4,""a1C4W00000845KYUAY"":4,""a1C4W00000845KWUAY"":4,""a1C4W00000845KVUAY"":8,""a1C4W00000845KMUAY"":16,""a1C4W00000845KTUAY"":12,""a1C3s000003V7uZEAS"":1,""a1C6A000002MQSAUA4"":1,""a1C6A000002MQRvUAO"":1,""a1C6A000002MPpEUAW"":1,""a1C3s000003oNfAEAU"":1,""a1C3s000003oNf7EAE"":1,""a1C3s000003oNf3EAE"":1,""a1C3s000003oNeyEAE"":2,""a1C6A000001x2SeUAI"":1,""a1C6A000002Mi1pUAC"":1,""a1C6A000002zsKcUAI"":1,""a1C6A000001w9oeUAA"":1,""a1C6A000002zsLVUAY"":3,""a1C6A000002zsLBUAY"":3,""a1C6A000002zsLLUAY"":3,""a1C6A000001xF82UAE"":2,""a1C6A000001xEPeUAM"":7,""a1C6A000001Bn2hUAC"":3,""a1C6A000001x2Y3UAI"":3,""a1C6A000001Bn7DUAS"":2,""a1C6A000002LWuYUAW"":1,""a1C6A000001Bn7YUAS"":2,""a1C6A000001Bn4tUAC"":3,""a1C6A000001CkrjUAC"":4,""a1C6A000001D4zMUAS"":12,""a1C6A000001Bn2gUAC"":2,""a1C6A000001Bn7cUAC"":14,""a1C6A000001Bn7WUAS"":5,""a1C1I0000006LRKUA2"":1,""a1C1I000000DSQPUA4"":1,""a1C1I000000DSPlUAO"":1,""a1C1I000000DSQVUA4"":1,""a1C1I000000DSQJUA4"":1,""a1C1I000000DSOcUAO"":2,""a1C1I000000DSOOUA4"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPRUA4"":3,""a1C1I000000DSQOUA4"":2,""a1C1I000000DSPaUAO"":3,""a1C1I000000DSPWUA4"":3,""a1C1I000000DSPUUA4"":4,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSQCUA4"":1,""a1C1I000000DSQEUA4"":3,""a1C1I000000DSPLUA4"":1,""a1C1I000000DSPIUA4"":1,""a1C1I000000DSPEUA4"":1,""a1C1I000000DSPAUA4"":1,""a1C1I000000DSQWUA4"":11,""a1C1I000000DSQXUA4"":13,""a1C1I000000DSPtUAO"":1,""a1C1I000000DSPwUAO"":1,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPBUA4"":1,""a1C1I000000DSPFUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPNUA4"":1,""a1C1I000000DSQZUA4"":2,""a1C1I000000DSPzUAO"":1,""a1C1I000000DSQFUA4"":2,""a1C1I000000DSQDUA4"":1,""a1C1I000000DSPQUA4"":2,""a1C1I000000DSPVUA4"":2,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPbUAO"":4,""a1C1I000000DSOXUA4"":3,""a1C1I000000DSPYUA4"":2,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSPnUAO"":1,""a1C1I000000DSQNUA4"":1,""a1C1I000000DSOdUAO"":1,""a1C1I000000DSOPUA4"":2,""a1C1I000000DSQRUA4"":1,""a1C1I000000DSOQUA4"":2,""a1C1I000000DSQ6UAO"":7,""a1C1I000000DSQgUAO"":2,""a1C1I0000006LRPUA2"":1,""a1C1I0000006w0bUAA"":2,""a1C6A000001Bn7XUAS"":2,""a1C6A000001CbcfUAC"":2,""a1C6A000001Bn7ZUAS"":8,""a1C6A000001Bn1HUAS"":2,""a1C6A000001Bn7dUAC"":2,""a1C6A000002LWudUAG"":1,""a1C6A000001Bn4wUAC"":8,""a1C6A000001CkroUAC"":2,""a1C6A000001Bn4vUAC"":2,""a1C6A000002zsKXUAY"":2,""a1C6A000002zsKrUAI"":3,""a1C6A000002zsKwUAI"":3,""a1C6A000001xF6gUAE"":10,""a1C6A000001Bn7KUAS"":1,""a1C3s000003oNf6EAE"":2,""a1C3s000003oNf9EAE"":2,""a1C3s000003oNf4EAE"":1,""a1C6A000001CkreUAC"":1,""a1C6A000002MQSFUA4"":1,""a1C6A000002MQRqUAO"":1,""a1C3s0000040EVzEAM"":4,""a1C6A000001Bn7bUAC"":4,""a1C3s0000043DpZEAU"":1,""a1C6A000001xEVmUAM"":1,""a1C4W00000845KSUAY"":4,""a1C4W00000845KUUAY"":4,""a1C4W00000845KXUAY"":8,""a1C4W00000845KZUAY"":8,""a1C4W00000845KbUAI"":4,""a1C4W00000845KcUAI"":4,""a1C4W00000845KeUAI"":4,""a1C4W00000845KgUAI"":4,""a1C4W00000845KmUAI"":32,""a1C4W00000845KNUAY"":28,""a1C4W00000845LJUAY"":12,""a1C4W00000845KuUAI"":4,""a1C4W00000845KRUAY"":4,""a1C4W00000845KzUAI"":4,""a1C4W00000845L1UAI"":4,""a1C4W00000845L3UAI"":4,""a1C4W00000845L5UAI"":4,""a1C4W00000845L9UAI"":4,""a1C4W00000845KqUAI"":4,""a1C4W00000845LDUAY"":4,""a1C4W00000845KPUAY"":4}",0034W00002DpodbQAB,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,VA,US,VA,US,Company,false,,FON_Company Membership,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/tOZOZhmJ_ABC_png&bucket=fonteva-customer-media-secure,US,2013-06-04,"Student Membership,Professional Membership,Company Membership",,,,0034W00002DpodbQAB,
0014W000025FRkLQAW,,FON-Apple,Member,,545 5th St,Bremerton,District of Columbia,98337,United States,47.56636,-122.628342,Address,40 Macs Harbor Ct,Stratford,Connecticut,6615,United States,,,,(907)-847-2390,,0014W000025AFgvQAG,www.apple.com/‎,/services/images/photo/0014W000025FRkLQAW,,Electronics,,,,,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. The company's hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, and the HomePod smart speaker. Apple's software includes the macOS and iOS operating systems, the iTunes media player, the Safari web browser, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store and Mac App Store, Apple Music, and iCloud.",,,false,true,,,,,,,jimneal@mailinator.com,100,false,250,900,"{""a1C4W00000845KZUAY"":4,""a1C4W00000845KXUAY"":4,""a1C4W00000845KVUAY"":4,""a1C4W00000845KMUAY"":8,""a1C3s000003oNfAEAU"":1,""a1C3s000003oNf7EAE"":1,""a1C3s000003oNf3EAE"":1,""a1C6A000001CkroUAC"":1,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSOsUAO"":1,""a1C1I000000DSOoUAO"":1,""a1C1I000000DSOhUAO"":1,""a1C1I000000DSOfUAO"":1,""a1C1I000000DSOLUA4"":1,""a1C1I000000DSQIUA4"":1,""a1C1I000000DSQXUA4"":3,""a1C1I000000DSPaUAO"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSQWUA4"":3,""a1C1I000000DSQSUA4"":1,""a1C1I000000DSPQUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSQRUA4"":1,""a1C1I000000DSOaUAO"":1,""a1C1I000000DSOeUAO"":1,""a1C1I000000DSOgUAO"":1,""a1C1I000000DSOnUAO"":1,""a1C1I000000DSOrUAO"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSObUAO"":1,""a1C6A000001Bn1IUAS"":2,""a1C6A000001Bn7ZUAS"":3,""a1C3s000003oNeyEAE"":1,""a1C3s000003oNf6EAE"":1,""a1C3s000003oNf9EAE"":1,""a1C4W00000845LFUAY"":4,""a1C4W00000845KWUAY"":4,""a1C4W00000845KYUAY"":4,""a1C4W00000845KaUAI"":4}",0034W00002DpocdQAB,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,public,DC,US,CT,US,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/DNZVhAqr_apple_logo_png,US,2014-03-15,,,,,0034W00002DpocdQAB,
0014W000025FRm0QAG,,FON-General Motors,Member,,45 Mccouns Ln,Oyster Bay,New York,11771,United States,40.868473,-73.523033,Address,1042 N Forest Rd,Williamsville,New York,14221,United States,,,,(656)-221-2322,,0014W000025AFgwQAG,,/services/images/photo/0014W000025FRm0QAG,,Transportation,,,,,,,,false,false,,,,,,,patrickbowman@mailinator.com,150,false,150,,"{""a1C1I000000DSOaUAO"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSPdUAO"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSOvUAO"":1,""a1C1I000000DSP4UAO"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSOUUA4"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSOuUAO"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSQWUA4"":3,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSQXUA4"":2,""a1C1I000000DSOPUA4"":1}",0034W00002DpofvQAB,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,NY,US,NY,US,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/pCMzMIxt_gm_logo_png,US,2014-05-02,"Student Membership,Professional Membership",,,,0034W00002DpofvQAB,
0014W000025FRkMQAW,,FON-Phillips 66,Prospect,,Chemin des Grottes 14,Fribourg,,,Switzerland,46.80990932701226,7.150944929077417,Block,Zahringerstrasse 13A,Bern,,,Switzerland,,,,+41 61 101 4608,,0014W000025AFgxQAG,,/services/images/photo/0014W000025FRkMQAW,,Biotechnology,,,,,,,,false,true,,,,,,,barbarafrancis@mailinator.com,250,false,250,,"{""a1C1I000000DSQJUA4"":1,""a1C1I000000DSQTUA4"":1,""a1C1I000000DSQSUA4"":1,""a1C1I000000DSQWUA4"":3,""a1C1I000000DSQXUA4"":6,""a1C1I000000DSQIUA4"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSQUUA4"":3,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSOdUAO"":1,""a1C1I000000DSOZUA4"":2,""a1C1I000000DSOPUA4"":1,""a1C1I000000DSOQUA4"":1}",0034W00002DpofyQAB,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,,CH,,CH,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/RJXIJieH_Philips_66_logo_png,EMEA,2015-03-10,Associate Membership,,,,0034W00002DpofyQAB,
0014W000025FRlLQAW,,FON-General Electric,Member,,7868 E Via Marina,Scottsdale,Arizona,85258,United States,33.55317,-111.911306,Address,1507 W Sunnyside Ave,Chicago,Illinois,60640,United States,,,,(259)-685-4782,,0014W000025AFgyQAG,,/services/images/photo/0014W000025FRlLQAW,,Energy,,,,,,,,false,true,,,,,,,miltonpena@mailinator.com,150,false,150,,"{""a1C1I000000DSOPUA4"":1,""a1C1I000000DSQXUA4"":1,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSQGUA4"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSPMUA4"":2,""a1C1I000000DSPKUA4"":2,""a1C1I000000DSPCUA4"":2,""a1C1I000000DSPAUA4"":1,""a1C1I000000DSPNUA4"":2,""a1C1I000000DSPIUA4"":3,""a1C1I000000DSPFUA4"":2,""a1C1I000000DSPDUA4"":2,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSPBUA4"":2,""a1C1I000000DSPEUA4"":2,""a1C1I000000DSPHUA4"":1,""a1C1I000000DSPJUA4"":3,""a1C1I000000DSOVUA4"":2,""a1C1I000000DSPLUA4"":2,""a1C1I000000DSPOUA4"":2,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSQUUA4"":3,""a1C1I000000DSQDUA4"":1,""a1C1I000000DSObUAO"":1}",0034W00002Dpog3QAB,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,AZ,US,IL,US,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/OyJiynZl_ge_logo_png,US,2013-11-01,"Student Membership,Professional Membership",,,,0034W00002Dpog3QAB,
0014W000025FRkOQAW,,FON-Ford Motor,Member,,7744 Mystic Lake Dr,Lake,Michigan,48632,United States,43.85301,-85.004822,Block,28305 Sheeks Blvd,N Flat Rock,Michigan,48134,United States,,,,(728)-527-4263,,0014W000025AFgzQAG,,/services/images/photo/0014W000025FRkOQAW,,,,,,,,,,false,true,,,,,,,lilylindsey@mailinator.com,150,false,150,,"{""a1C1I000000DSOQUA4"":1,""a1C1I000000DSQEUA4"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSQZUA4"":2,""a1C1I000000DSPLUA4"":1,""a1C1I000000DSPGUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPNUA4"":1,""a1C1I000000DSPFUA4"":2,""a1C1I000000DSPAUA4"":2,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSOVUA4"":1,""a1C1I000000DSPDUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPOUA4"":1,""a1C1I000000DSPHUA4"":1,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSQXUA4"":6,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSOcUAO"":1}",0034W00002DpocZQAR,false,false,false,,false,,false,,,,,,0,false,false,Household Informal Greeting,,,,,,,,true,,,,,false,private,MI,US,MI,US,Company,false,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/TBQsGBqY_ford_logo_png,US,2012-12-17,Student Membership,,,,0034W00002DpocZQAR,
