Id,Name,EventApi__Schedule_Item__c,EventApi__Is_Primary__c,EventApi__Role__c,EventApi__Speaker__c,EventApi__Schedule_Item__r.Id,EventApi__Speaker__r.Id
a1f4W000007WlocQAC,Lucinda McKinney,a1d4W00000jHX3MQAW,false,Poster Presenter,a1g4W000003Fq6kQAC,a1d4W00000jHX3MQAW,a1g4W000003Fq6kQAC
a1f4W000007WlodQAC,Lucinda McKinney,a1d4W00000jHX3NQAW,false,Poster Presenter,a1g4W000003Fq6kQAC,a1d4W00000jHX3NQAW,a1g4W000003Fq6kQAC
a1f4W000007WloeQAC,Bob Kelley,a1d4W00000jHX3JQAW,false,Poster Presenter,a1g4W000003Fq6jQAC,a1d4W00000jHX3JQAW,a1g4W000003Fq6jQAC
a1f4W000007WlofQAC,Sharon Jones,a1d4W00000jHX3HQAW,false,Poster Presenter,a1g4W000003Fq6sQAC,a1d4W00000jHX3HQAW,a1g4W000003Fq6sQAC
a1f4W000007WlogQAC,Bob Kelley,a1d4W00000jHX3KQAW,false,Poster Presenter,a1g4W000003Fq6jQAC,a1d4W00000jHX3KQAW,a1g4W000003Fq6jQAC
a1f4W000007WlohQAC,Bob Kelley,a1d4W00000jHX5tQAG,false,Poster Presenter,a1g4W000003Fq6lQAC,a1d4W00000jHX5tQAG,a1g4W000003Fq6lQAC
a1f4W000007WloiQAC,Gerald Frank,a1d4W00000jHX5uQAG,false,Poster Presenter,a1g4W000003Fq73QAC,a1d4W00000jHX5uQAG,a1g4W000003Fq73QAC
a1f4W000007WlojQAC,Bob Kelley,a1d4W00000jHX5iQAG,false,Poster Presenter,a1g4W000003Fq6mQAC,a1d4W00000jHX5iQAG,a1g4W000003Fq6mQAC
a1f4W000007WlokQAC,Gerald Frank,a1d4W00000jHX5kQAG,false,Poster Presenter,a1g4W000003Fq71QAC,a1d4W00000jHX5kQAG,a1g4W000003Fq71QAC
a1f4W000007WlolQAC,Bob Kelley,a1d4W00000jHX63QAG,false,Poster Presenter,a1g4W000003Fq6oQAC,a1d4W00000jHX63QAG,a1g4W000003Fq6oQAC
a1f4W000007WlomQAC,Lucinda McKinney,a1d4W00000jHX65QAG,false,Poster Presenter,a1g4W000003Fq6pQAC,a1d4W00000jHX65QAG,a1g4W000003Fq6pQAC
a1f4W000007WlonQAC,Sharon Jones,a1d4W00000jHX67QAG,false,Poster Presenter,a1g4W000003Fq6yQAC,a1d4W00000jHX67QAG,a1g4W000003Fq6yQAC
a1f4W000007WlooQAC,Bob Kelley,a1d4W00000jHX66QAG,false,Poster Presenter,a1g4W000003Fq6oQAC,a1d4W00000jHX66QAG,a1g4W000003Fq6oQAC
a1f4W000007WlopQAC,Lucinda McKinney,a1d4W00000jHX6AQAW,false,Poster Presenter,a1g4W000003Fq6pQAC,a1d4W00000jHX6AQAW,a1g4W000003Fq6pQAC
