Id,EventApi__Event__c,EventApi__Event_Category__c,Name,EventApi__Adjustment_Account__c,EventApi__Assignments_Display_Label__c,EventApi__Business_Group__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Discount_Account__c,EventApi__Display_Name__c,EventApi__Display_Order__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Image_URL__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Is_Active__c,EventApi__Is_Contribution__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Item__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Remaining__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__SKU__c,EventApi__Tax_Class__c,ROEApi__Event_Display_Name__c,ROEApi__Event_Duration_Text__c,ROEApi__Event_Name__c,EventApi__AR_Account__c,EventApi__Invoice_Payment_Priority__c,EventApi__Event__r.Id,EventApi__Event_Category__r.Id,EventApi__Adjustment_Account__r.Id,EventApi__Business_Group__r.Name,EventApi__Deferred_Revenue_Account__r.Id,EventApi__Discount_Account__r.Id,EventApi__Form__r.Id,EventApi__Income_Account__r.Id,EventApi__Item_Class__r.Id,EventApi__Item__r.Id,EventApi__Refund_Account__r.Id,EventApi__Tax_Class__r.Id,EventApi__AR_Account__r.Id
a1h4W00000jlZKOQA2,,,Bronze Annual Conference Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Conference Sponsor Package,,false,false,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,,true,false,false,false,a134W000009DZHxQAO,a154W00000926XNQAY,Show off your association pride by sponsoring our annual conference at the bronze level.,,5000,25,25,0,,false,false,,,,,,JS Event,,,,,,,,FON-International Association,,,,,a134W000009DZHxQAO,a154W00000926XNQAY,,,
a1h4W00000jlZKPQA2,,,Gold Annual Conference Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Conference Sponsor Package,,false,false,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,,true,false,false,false,a134W000009DZHxQAO,a154W00000926XOQAY,Show off your association pride by sponsoring our annual conference at the gold level.,,10000,5,5,0,,false,false,,,,,,JS Event,,,,,,,,FON-International Association,,,,,a134W000009DZHxQAO,a154W00000926XOQAY,,,
a1h4W00000jlZKQQA2,,,Silver Annual Conference Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Conference Sponsor Package,,false,false,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,,true,false,false,false,a134W000009DZHxQAO,a154W00000926XPQAY,Show off your association pride by sponsoring our annual conference at the silver level!!,,7500,10,10,0,,false,false,,,,,,JS Event,,,,,,,,FON-International Association,,,,,a134W000009DZHxQAO,a154W00000926XPQAY,,,
a1h4W00000jlZKRQA2,a1Y4W000002r0bqUAA,,Bronze Annual Symposium Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZHzQAO,a154W00000926XQQAY,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,2020 Annual Symposium,10th - 11th December 2020,2020 Annual Symposium,,,a1Y4W000002r0bqUAA,,,FON-International Association,,,,,a134W000009DZHzQAO,a154W00000926XQQAY,,,
a1h4W00000jlZKSQA2,a1Y4W000002r0bqUAA,,Gold Annual Symposium Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZHzQAO,a154W00000926XRQAY,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,2020 Annual Symposium,10th - 11th December 2020,2020 Annual Symposium,,,a1Y4W000002r0bqUAA,,,FON-International Association,,,,,a134W000009DZHzQAO,a154W00000926XRQAY,,,
a1h4W00000jlZKTQA2,a1Y4W000002r0bqUAA,,Silver Annual Symposium Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZHzQAO,a154W00000926XSQAY,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,2020 Annual Symposium,10th - 11th December 2020,2020 Annual Symposium,,,a1Y4W000002r0bqUAA,,,FON-International Association,,,,,a134W000009DZHzQAO,a154W00000926XSQAY,,,
a1h4W00000jlZKUQA2,,,Bronze Annual Symposium Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI2QAO,a154W00000926XjQAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,test event,,,,,,,,FON-International Association,,,,,a134W000009DZI2QAO,a154W00000926XjQAI,,,
a1h4W00000jlZKVQA2,,,Gold Annual Symposium Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI2QAO,a154W00000926XkQAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,test event,,,,,,,,FON-International Association,,,,,a134W000009DZI2QAO,a154W00000926XkQAI,,,
a1h4W00000jlZKWQA2,,,Silver Annual Symposium Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI2QAO,a154W00000926XlQAI,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,test event,,,,,,,,FON-International Association,,,,,a134W000009DZI2QAO,a154W00000926XlQAI,,,
a1h4W00000jlZKXQA2,,,Bronze Annual Symposium Sponsor Package,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI3QAO,a154W00000926XuQAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Annual Symposium 2020,,,,,,,,FON-International Association,,,,,a134W000009DZI3QAO,a154W00000926XuQAI,,,
