Id,Name,EventApi__Event__c,EventApi__Track_Color__c,EventApi__Event__r.Id
a2D4W00000C3AUBUA3,Advanced Track,a1Y4W000002r0bqUAA,,a1Y4W000002r0bqUAA
a2D4W00000C3AUCUA3,Beginner Track,a1Y4W000002r0bqUAA,,a1Y4W000002r0bqUAA
a2D4W00000C3AUDUA3,Advanced Track,a1Y4W000002r0bxUAA,,a1Y4W000002r0bxUAA
a2D4W00000C3AUEUA3,Beginner Track,a1Y4W000002r0bxUAA,,a1Y4W000002r0bxUAA
a2D4W00000C3AUFUA3,Advanced Track,a1Y4W000002r0byUAA,,a1Y4W000002r0byUAA
a2D4W00000C3AUGUA3,Beginner Track,a1Y4W000002r0byUAA,,a1Y4W000002r0byUAA
a2D4W00000C3AUHUA3,Advanced Track,a1Y4W000002r0bzUAA,,a1Y4W000002r0bzUAA
a2D4W00000C3AUIUA3,Beginner Track,a1Y4W000002r0bzUAA,,a1Y4W000002r0bzUAA
a2D4W00000C3AUJUA3,Advanced Track,a1Y4W000002r0c0UAA,,a1Y4W000002r0c0UAA
a2D4W00000C3AUKUA3,Beginner Track,a1Y4W000002r0c0UAA,,a1Y4W000002r0c0UAA
a2D4W00000C3AULUA3,Advanced Track,a1Y4W000002r0c2UAA,,a1Y4W000002r0c2UAA
a2D4W00000C3AUMUA3,Beginner Track,a1Y4W000002r0c2UAA,,a1Y4W000002r0c2UAA
a2D4W00000C3AUNUA3,Advanced Track,a1Y4W000002r0c3UAA,,a1Y4W000002r0c3UAA
a2D4W00000C3AUOUA3,Beginner Track,a1Y4W000002r0c3UAA,,a1Y4W000002r0c3UAA
a2D4W00000C3AUPUA3,Advanced User Track,a1Y4W000002r0bmUAA,#00AAFF,a1Y4W000002r0bmUAA
a2D4W00000C3AUQUA3,Beginner Track,a1Y4W000002r0bmUAA,#00AAFF,a1Y4W000002r0bmUAA
a2D4W00000C3AURUA3,Beginner Track,a1Y4W000002r0bsUAA,#00AAFF,a1Y4W000002r0bsUAA
a2D4W00000C3AUSUA3,Advanced User Track,a1Y4W000002r0bsUAA,#196E1A,a1Y4W000002r0bsUAA
a2D4W00000C3AUTUA3,Beginner Track,a1Y4W000002r0c5UAA,#00AAFF,a1Y4W000002r0c5UAA
a2D4W00000C3AUUUA3,Advanced Track,a1Y4W000002r0c5UAA,#1A6433,a1Y4W000002r0c5UAA
