Id,Name,OrderApi__Account__c,OrderApi__Assignment__c,OrderApi__Awarded_Date__c,OrderApi__Badge_Description__c,OrderApi__Badge_Type_Icon__c,OrderApi__Badge_Type__c,OrderApi__Badge_Workflow__c,OrderApi__Contact__c,OrderApi__Engagement_Score__c,OrderApi__Expired_Date__c,OrderApi__Is_Active__c,OrderApi__Item__c,OrderApi__Sales_Order_Line__c,OrderApi__Term__c,OrderApi__Account__r.Id,OrderApi__Assignment__r.Id,OrderApi__Badge_Type__r.Id,OrderApi__Badge_Workflow__r.Id,OrderApi__Contact__r.Id,OrderApi__Item__r.Id,OrderApi__Sales_Order_Line__r.Id,OrderApi__Term__r.Id
a0m4W00000Z9k3WQAR,00000315,0014W000025FRkOQAW,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3W"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYBQA3,,50,,true,a154W00000926SSQAY,,,0014W000025FRkOQAW,,a0k4W00000DtAGXQA3,a0l4W00000H3CYBQA3,,a154W00000926SSQAY,,
a0m4W00000Z9jzyQAB,00000316,,,2013-06-04,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9jzy"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYNQA3,0034W00002Dpof0QAB,100,,true,a154W00000926R6QAI,,,,,a0k4W00000DtAGUQA3,a0l4W00000H3CYNQA3,0034W00002Dpof0QAB,a154W00000926R6QAI,,
a0m4W00000Z9jzzQAB,00000317,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9jzz"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpogOQAR,25,,true,a154W00000926SNQAY,,,,,a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpogOQAR,a154W00000926SNQAY,,
a0m4W00000Z9k00QAB,00000318,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k00"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpofrQAB,25,,true,a154W00000926SNQAY,,,,,a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpofrQAB,a154W00000926SNQAY,,
a0m4W00000Z9k3XQAR,00000319,0014W000025FRkKQAW,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3X"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CY9QAN,,50,,true,,,,0014W000025FRkKQAW,,a0k4W00000DtAGXQA3,a0l4W00000H3CY9QAN,,,,
a0m4W00000Z9k3YQAR,00000320,0014W000025FRl7QAG,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3Y"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYAQA3,,50,,true,a154W00000926STQAY,,,0014W000025FRl7QAG,,a0k4W00000DtAGXQA3,a0l4W00000H3CYAQA3,,a154W00000926STQAY,,
a0m4W00000Z9k3ZQAR,00000321,0014W000025FRkMQAW,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3Z"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYBQA3,,50,,true,a154W00000926SSQAY,,,0014W000025FRkMQAW,,a0k4W00000DtAGXQA3,a0l4W00000H3CYBQA3,,a154W00000926SSQAY,,
a0m4W00000Z9k01QAB,00000322,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k01"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpofQQAR,25,,true,a154W00000926SNQAY,,,,,a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpofQQAR,a154W00000926SNQAY,,
a0m4W00000Z9k02QAB,00000323,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k02"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpogQQAR,25,,true,a154W00000926SNQAY,,,,,a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpogQQAR,a154W00000926SNQAY,,
a0m4W00000Z9k03QAB,00000324,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k03"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYUQA3,0034W00002DpogSQAR,25,,true,a154W00000926SGQAY,,,,,a0k4W00000DtAGWQA3,a0l4W00000H3CYUQA3,0034W00002DpogSQAR,a154W00000926SGQAY,,
