Id,Name,OrderApi__Business_Group__c,OrderApi__Detail__c,OrderApi__Report_Category__c,OrderApi__Type__c,OrderApi__Business_Group__r.Name
a104W00000G3d1EQAR,1000 - Cash,a0o4W00000M5SknQAF,Bank,Balance Sheet,Asset,FON-International Association
a104W00000G3d1FQAR,1100 - Accounts Receivable,a0o4W00000M5SknQAF,Accounts Receivable (A/R),Balance Sheet,Asset,FON-International Association
a104W00000G3d1JQAR,2000 - Accounts Payable,a0o4W00000M5SknQAF,Accounts Payable (A/P),Balance Sheet,Liability,FON-International Association
a104W00000G3d1ZQAR,2100 - Refunds Payable,a0o4W00000M5SknQAF,Accounts Payable,Income Statement,Liability,FON-International Association
a104W00000G3d1aQAB,2200 - Deferred Income,a0o4W00000M5SknQAF,Long-term Liabilities,Balance Sheet,Liability,FON-International Association
a104W00000G3d1bQAB,3000 - Retained Earnings,a0o4W00000M5SknQAF,Equity,Balance Sheet,Capital,FON-International Association
a104W00000G3d1HQAR,4000 - Income,a0o4W00000M5SknQAF,Income,Income Statement,Income,FON-International Association
a104W00000G3d1cQAB,6000 - Expenses,a0o4W00000M5SknQAF,Expense,Income Statement,Expenses,FON-International Association
a104W00000G3d1dQAB,2300 - Taxes Payable,a0o4W00000M5SknQAF,Current Liabilities,Balance Sheet,Liability,FON-International Association
a104W00000G3d1eQAB,4100 - Organization Membership Income,a0o4W00000M5SknQAF,Income,Income Statement,Income,FON-International Association
a104W00000G3d1fQAB,4200 - Individual Membership Income,a0o4W00000M5SknQAF,Income,Income Statement,Income,FON-International Association
a104W00000G3d1gQAB,4300 - Magazine Income,a0o4W00000M5SknQAF,Income,Income Statement,Income,FON-International Association
a104W00000G3d1hQAB,4400 - Event Income,a0o4W00000M5SknQAF,Income,Income Statement,Income,FON-International Association
a104W00000G3d1iQAB,4500 - Merchandise Income,a0o4W00000M5SknQAF,Income,Income Statement,Income,FON-International Association
a104W00000G3d1GQAR,5000 - Credit Memos,a0o4W00000M5SknQAF,Income,Income Statement,Income,FON-International Association
a104W00000G3d1IQAR,7100 - Write Offs,a0o4W00000M5SknQAF,Income,Income Statement,Income,FON-International Association
a104W00000G3d1jQAB,6055 - Shipping,a0o4W00000M5SknQAF,Other Expense,Income Statement,Expenses,FON-International Association
a104W00000G3d1MQAR,1000-01 - Foundation Cash,a0o4W00000M5SkoQAF,Bank,Balance Sheet,Asset,FON-Foundation
a104W00000G3d1KQAR,1100-01 - Foundation Accounts Receivable,a0o4W00000M5SkoQAF,Accounts Receivable (A/R),Balance Sheet,Asset,FON-Foundation
a104W00000G3d1OQAR,2000-01 - Foundation Accounts Payable,a0o4W00000M5SkoQAF,Accounst Payable (A/P),Balance Sheet,Liability,FON-Foundation
a104W00000G3d1kQAB,2100-01 - Foundation Refunds Payable,a0o4W00000M5SkoQAF,Accounts Payable,Income Statement,Liability,FON-Foundation
a104W00000G3d1lQAB,2200-01 - Foundation Deferred Income,a0o4W00000M5SkoQAF,Long-term Liabilities,Balance Sheet,Liability,FON-Foundation
a104W00000G3d1mQAB,2300-01 - Foundation Taxes Payable,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
a104W00000G3d1nQAB,3000-01 - Foundation Retained Earnings,a0o4W00000M5SkoQAF,Equity,Balance Sheet,Capital,FON-Foundation
a104W00000G3d1oQAB,4000-01 - Foundation Income,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
a104W00000G3d1pQAB,6000-01 - Foundation Expenses,a0o4W00000M5SkoQAF,Expense,Income Statement,Expense,FON-Foundation
a104W00000G3d1qQAB,4100-01 - Foundation Organization Membership Income,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
a104W00000G3d1rQAB,4200-01 - Foundation Individual Membership Income,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
a104W00000G3d1sQAB,4300-01 - Foundation Magazine Income,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
a104W00000G3d1tQAB,4400-01 - Foundation Event Income,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
a104W00000G3d1uQAB,4500-01 - Foundation Merchandise Income,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
a104W00000G3d1LQAR,5000-01 - Foundation Credit Memos,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
a104W00000G3d1NQAR,7100-01 - Foundation Write Offs,a0o4W00000M5SkoQAF,Income,Income Statement,Income,FON-Foundation
