Id,EventApi__Event__c,Name,OrderApi__Active_Assignments__c,OrderApi__Assignment_Inventory__c,OrderApi__Assignment_SObject__c,OrderApi__Assignments_Display_Label__c,OrderApi__Available_Inventory__c,OrderApi__Business_Group__c,OrderApi__Defer_Revenue__c,OrderApi__Deferred_Revenue_Account__c,OrderApi__Deferred_Revenue_Term__c,OrderApi__Description__c,OrderApi__Disable_Scheduling__c,OrderApi__Enable_Assignment_Inventory__c,OrderApi__Enable_Assignments__c,OrderApi__Enable_Item_Class_Inventory__c,OrderApi__Flex_Day_of_the_Month__c,OrderApi__Interview_Form_Display_Label__c,OrderApi__Is_Active__c,OrderApi__Is_Contribution__c,OrderApi__Is_Downloadable__c,OrderApi__Is_Event__c,OrderApi__Is_Inventoried__c,OrderApi__Is_Publication__c,OrderApi__Is_Service__c,OrderApi__Is_Shipping_Carrier__c,OrderApi__Is_Subscription__c,OrderApi__Is_Tax_Deductible__c,OrderApi__Is_Tax__c,OrderApi__Is_Taxable__c,OrderApi__Refresh__c,OrderApi__Require_Assignments__c,OrderApi__Require_Shipping__c,OrderApi__Revenue_Recognition_Date__c,OrderApi__Revenue_Recognition_Rule__c,OrderApi__Revenue_Recognition_Term_Rule__c,OrderApi__Shipping_GL_Account__c,OrderApi__Sold_Inventory__c,OrderApi__Subscription_Plan_Display_Label__c,OrderApi__Tax_Class__c,OrderApi__Use_Default_Tax_Rate__c,EventApi__Is_Event_Session__c,EventApi__Is_Schedule_Item_Class__c,EventApi__Is_Sponsor_Class__c,EventApi__Is_Ticket_Type_Class__c,EventApi__Event__r.Id,OrderApi__Business_Group__r.Name,OrderApi__Deferred_Revenue_Account__r.Id,OrderApi__Shipping_GL_Account__r.Id,OrderApi__Tax_Class__r.Id
a134W000009DZGrQAO,a1Y4W000002r0bpUAA,42368f35-f793-4-Ticket Class,,,EventApi__Attendee__c,,,a0o4W00000M5SknQAF,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,false,false,false,false,true,a1Y4W000002r0bpUAA,FON-International Association,,,
a134W000009DZH9QAO,,e45f0075-214d-4-Ticket Class,,,EventApi__Attendee__c,,,a0o4W00000M5SknQAF,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,false,false,false,false,true,,FON-International Association,,,
a134W000009DZHxQAO,,e45f0075-214d-4-Sponsor Class,,,,,,a0o4W00000M5SknQAF,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,false,false,false,true,false,,FON-International Association,,,
a134W000009DZHyQAO,,Downloadables,,,,,,a0o4W00000M5SknQAF,false,,,,false,false,false,false,,,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,false,false,false,false,false,,FON-International Association,,,
a134W000009DZGRQA4,a1Y4W000002r0bqUAA,0daaa35a-f3dd-4-Ticket Class,13,,EventApi__Attendee__c,,,a0o4W00000M5SknQAF,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,10,,,false,false,false,false,true,a1Y4W000002r0bqUAA,FON-International Association,,,
a134W000009DZGSQA4,a1Y4W000002r0bqUAA,0daaa35a-f3dd-4-Schedule Class,,,EventApi__Attendee__c,,,a0o4W00000M5SknQAF,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,42,,,false,false,true,false,false,a1Y4W000002r0bqUAA,FON-International Association,,,
a134W000009DZHzQAO,a1Y4W000002r0bqUAA,0daaa35a-f3dd-4-Sponsor Class,,,,,,a0o4W00000M5SknQAF,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,false,false,false,true,false,a1Y4W000002r0bqUAA,FON-International Association,,,
a134W000009DZHAQA4,,0686850f-0c29-4-Ticket Class,,,EventApi__Attendee__c,,,a0o4W00000M5SknQAF,false,,,,false,false,true,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,false,false,false,false,true,,FON-International Association,,,
a134W000009DZHBQA4,,db48b68d-843b-4-Ticket Class,,,EventApi__Attendee__c,,,a0o4W00000M5SknQAF,false,,,,false,false,true,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,false,false,false,false,true,,FON-International Association,,,
a134W000009DZHCQA4,a1Y4W000002r0bwUAA,41f816d0-e0cd-4-Ticket Class,,,EventApi__Attendee__c,,,a0o4W00000M5SknQAF,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,false,false,false,false,true,a1Y4W000002r0bwUAA,FON-International Association,,,
