Id,Name,joinapi__Disable_Item_Navigation_URL__c,joinapi__Dynamic_Item_Selection__c,joinapi__Enable_Account_Lookup__c,joinapi__Form__c,joinapi__Instructions__c,joinapi__Is_Authentication_Step__c,joinapi__Is_Confirmation_Step__c,joinapi__Is_Custom_Page__c,joinapi__Is_Final_Step__c,joinapi__Is_First_Step__c,joinapi__Is_Marketing_Step__c,joinapi__Is_Payment_Step__c,joinapi__Is_Product_Step__c,joinapi__Is_Published__c,joinapi__Is_Qualifying_Question__c,joinapi__Join_Process__c,joinapi__Login_Button_Label__c,joinapi__Login_Header__c,joinapi__Login_Instructions__c,joinapi__Navigation_URL__c,joinapi__New_User_Button_Label__c,joinapi__New_User_Header__c,joinapi__New_User_Instructions__c,joinapi__Next_Step_Button_Label__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Page_Title__c,joinapi__Product_Step_Item__c,joinapi__Specific_Item_Selection__c,joinapi__Store__c,joinapi__Visual_Force_Page_API_Name__c,joinapi__Form__r.Id,joinapi__Join_Process__r.Id,joinapi__Next_Step__r.Id,joinapi__Product_Step_Item__r.Id,joinapi__Store__r.Id
a204W00000JMb7bQAD,000008,false,false,false,,,false,false,false,false,true,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,,,,Membership Types,,false,,,,,,,
a204W00000JMb7aQAD,000009,false,false,false,,,false,false,false,false,false,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,Next Step,,,Marketing,,false,,,,,,,
a204W00000JMb7dQAD,000010,false,false,false,,,false,false,false,false,false,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,Next Step,,,Marketing,,false,,,,,,,
a204W00000JMb7eQAD,000011,false,false,false,,,false,false,false,false,false,false,false,false,false,true,,Login,Login,,,Create Login,Create Account,,,,,Qualifying Questions,,false,,,,,,,
a204W00000JMb79QAD,000012,false,false,false,,,false,false,false,true,false,false,true,false,true,false,,Login,Login,,,Create Login,Create Account,,Next,,,Select a Membership,,false,a1P4W0000059tCIUAY,,,,,,a1P4W0000059tCIUAY
a204W00000JMb7AQAT,000013,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Institutional Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,a204W00000JMb79QAD,a154W00000926QvQAI,a1P4W0000059tCIUAY
a204W00000JMb7BQAT,000014,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Company Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,a204W00000JMb79QAD,a154W00000926QvQAI,a1P4W0000059tCIUAY
a204W00000JMb7CQAT,000015,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Associate Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,a204W00000JMb79QAD,a154W00000926QvQAI,a1P4W0000059tCIUAY
a204W00000JMb7DQAT,000016,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Professional Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,a204W00000JMb79QAD,a154W00000926QvQAI,a1P4W0000059tCIUAY
a204W00000JMb7EQAT,000017,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000JMb79QAD,,Student Membership,a154W00000926QvQAI,true,a1P4W0000059tCIUAY,,,,a204W00000JMb79QAD,a154W00000926QvQAI,a1P4W0000059tCIUAY
a204W00000JMb7cQAD,000018,false,false,false,,,false,false,false,false,true,true,false,false,true,false,,Login,Login,,,Create Login,Create Account,,,,,Membership Types,,false,,,,,,,
a204W00000JMb7FQAT,000019,false,false,false,,"<p>How to Become a Member?</p><p>                      American Educational Institute is selling Memberships for their Students,Professors,Admins and Staff.  Memberships are classified as &quot;<strong>Student Membership</strong>&quot; and &quot;<strong>Professional Membership</strong>&quot;. AIE allows you to donate Funds to &quot;Askland Memorial Scholarship&quot; and &quot; Save the Whales&quot;(Donation Levels are derived  based on the Type of Fund/Donation Program)</p><p><strong>To Become a Member:</strong></p><ol><li>A User must be Authenticated to purchase a Membership.</li><li>A User must fill the Membership Application Form and make sure that the required fields are completely filled</li><li>Membership Type is Derived based on the Role Specified on the Membership Application.</li></ol><p>      (If the Role is Student then the User will be able to purchase a Student Membership and If the Role is Admin/Professor/Staff,  </p><p>          <span style=""background-color: rgb(255, 255, 255);"">then the User will be able to purchase a Professional Membership)</span>.</p><p>4.User can donate if you wish to make a donation.</p><p><br></p><p><br></p><p><strong style=""background-color: rgb(238, 238, 238); color: rgb(85, 85, 85);"">About American Educational Institute</strong></p><p><a href=""http://www.aeiclaimslaw.com/"" target=""_blank"" style=""background-color: rgb(238, 238, 238); color: rgb(45, 114, 172);"">American Educational Institute (AEI)</a><span style=""background-color: rgb(238, 238, 238); color: rgb(85, 85, 85);"">, established in 1969, is the premier provider of self-study programs in insurance claims law. Courses are practical, flexible, and interactive. Programs in: Legal Principles, Liability, Property, Workers&#39; Compensation, Fraud Investigation and Defense, and Automobile lead to industry-recognized designations including AEI&#39;s highest, the Senior Claim Law Associate (SCLA). Courses are approved for continuing education credit toward adjuster license renewal in many states and college credit by the National College Credit Recommendation Service.</span></p>",false,false,false,false,true,true,false,false,false,false,a1y4W000006ItOuQAK,Login,Login,,,Create Login,Create Account,,,,0,Become a Member Today!,,false,,,,a1y4W000006ItOuQAK,,,
a204W00000JMb7GQAT,000023,false,true,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W000006ItOuQAK,Login,Login,,,Create Login,Create Account,,,,7,Product Flow,,false,,,,a1y4W000006ItOuQAK,,,
a204W00000JMb7HQAT,000026,false,false,false,,<p>You must be logged in to become a member. Create an Account here if you do not have an Account with AIE.</p>,true,false,false,false,false,false,false,false,false,false,a1y4W000006ItOuQAK,Login,Login,<p>Provide the username and Password.</p>,,Create Login,Create Account,"<p><span style=""background-color: rgb(255, 255, 255);"">Please fill the mandatory details and </span>Create an Account here.</p>",,a204W00000JMb7IQAT,5,Login or Create an Account,,false,,,,a1y4W000006ItOuQAK,a204W00000JMb7IQAT,,
a204W00000JMb7IQAT,000027,false,false,false,a0S4W00000WEbeQUAT,<p>Please fill the required Fields(If any)</p>,false,false,false,false,false,false,false,false,false,true,a1y4W000006ItOuQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7JQAT,6,Qualifying Questions,,false,,,a0S4W00000WEbeQUAT,a1y4W000006ItOuQAK,a204W00000JMb7JQAT,,
a204W00000JMb7JQAT,000028,false,true,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W000006ItOuQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7KQAT,3,Product Flow(Student),,false,,,,a1y4W000006ItOuQAK,a204W00000JMb7KQAT,,
a204W00000JMb7KQAT,000029,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W000006ItOuQAK,Login,Login,,,Create Login,Create Account,,Next Step,,9,Payment,,false,,,,a1y4W000006ItOuQAK,,,
a204W00000JMb7LQAT,000030,false,false,false,,"<p><span style=""background-color: rgb(255, 255, 255);"">You must be logged in to become a member. Create an Account here if you do not have an Account with AIE.</span></p>",true,false,false,false,false,false,false,false,false,false,a1y4W000006ItOuQAK,Login,Login,"<p><span style=""background-color: rgb(255, 255, 255);"">Provide the username and Password.</span></p>",,Create Login,Create Account,"<p><span style=""background-color: rgb(255, 255, 255);"">Please fill the mandatory details and Create an Account here.</span></p>",,a204W00000JMb7MQAT,1,Login or Create an Account,,false,,,,a1y4W000006ItOuQAK,a204W00000JMb7MQAT,,
a204W00000JMb7MQAT,000031,false,false,false,a0S4W00000WEbeQUAT,<p>Please fill the required fields(If any)</p>,false,false,false,false,false,false,false,false,false,true,a1y4W000006ItOuQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7NQAT,2,Qualifying Questions,,false,,,a0S4W00000WEbeQUAT,a1y4W000006ItOuQAK,a204W00000JMb7NQAT,,
a204W00000JMb7NQAT,000032,false,true,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W000006ItOuQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7OQAT,8,Product Flow,,false,,,,a1y4W000006ItOuQAK,a204W00000JMb7OQAT,,
a204W00000JMb7OQAT,000033,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W000006ItOuQAK,Login,Login,,,Create Login,Create Account,,Next Step,,4,Payment,,false,,,,a1y4W000006ItOuQAK,,,
a204W00000JMb7PQAT,000034,true,false,false,,"<h1><strong><span style=""font-family: Verdana, Geneva, sans-serif;"">Company Membership</span></strong></h1><p><br></p><p><span style=""font-family: Verdana, Geneva, sans-serif; font-size: 18px;"">The Company Membership is the perfect membership option for organizations such as nonprofits, government agencies, and start-ups that operate in the edtech marketplace. Our Company Members seek to build relationships with education leaders and want to share their expertise. Company Membership opens the door to communication and collaboration within the vibrant ISTE community.</span></p><p><br></p><p><span style=""font-size: 18px;""><span style=""font-family: Verdana,Geneva,sans-serif;"">Are you an individual in the field seeking to connect? We also offer <strong>Professional</strong> and <strong>Individual Memberships</strong>.</span></span></p><p><br></p><p><span style=""font-family: Verdana, Geneva, sans-serif; font-size: 18px;"">Please note that you must create an account and be logged in to purchase a membership.</span></p>",false,false,false,false,true,true,false,false,false,false,a1y4W000006ItOvQAK,Login,Login,,,Create Login,Create Account,,Proceed,a204W00000JMb7QQAT,0,Join us,,false,,,,a1y4W000006ItOvQAK,a204W00000JMb7QQAT,,
a204W00000JMb7QQAT,000035,false,false,false,,"<p><span style=""background-color: rgb(255, 255, 255);"">Welcome to the Corporate Membership Portal!</span></p>",true,false,false,false,false,false,false,false,false,false,a1y4W000006ItOvQAK,Login,Login,"<p>Please login using your existing Corporate Membership account credentials.</p><p><br></p><ul><li>Use your username which is the same as your institutional email address </li></ul><p> </p><p><br></p><p>If you do not remember your username, contact the Membership department for assistance by calling 999-111-2222 or by email: <span style=""color: rgb(0, 128, 128);"">test@corp.com</span></p>",,Create Login,Create Account,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(17, 17, 17);"">Make sure to use your institutional or company email address while </span>	<span style=""background-color: rgb(255, 255, 255); color: rgb(17, 17, 17);""> creating your account. Your password will be case sensitive and must be 8 characters or more, and must contain a mix of numbers and letters. Special characters are allowed, but not required.</span></p>",,a204W00000JMb7RQAT,1,Authentication,,false,,,,a1y4W000006ItOvQAK,a204W00000JMb7RQAT,,
a204W00000JMb7RQAT,000036,false,false,false,a0S4W00000WEbeSUAT,<p>Please fill the Mandatory information and Select the Membership you wish to purchase.</p>,false,false,false,false,false,false,false,false,false,true,a1y4W000006ItOvQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7SQAT,2,Qualifying Questions,,false,,,a0S4W00000WEbeSUAT,a1y4W000006ItOvQAK,a204W00000JMb7SQAT,,
a204W00000JMb7SQAT,000037,false,true,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W000006ItOvQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7TQAT,3,Join Us,,false,,,,a1y4W000006ItOvQAK,a204W00000JMb7TQAT,,
a204W00000JMb7TQAT,000038,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W000006ItOvQAK,Login,Login,,,Create Login,Create Account,,Next Step,,4,Payment,,false,,,,a1y4W000006ItOvQAK,,,
a204W00000JMb7fQAD,000039,false,false,false,,,false,false,false,false,false,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,Next Step,,,Marketing,,false,,,,,,,
a204W00000JMb7UQAT,000043,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W000006ItOwQAK,Login,Login,,,Create Login,Create Account,,Next Step,,,Payment,,false,,,,a1y4W000006ItOwQAK,,,
a204W00000JMb7VQAT,000045,false,false,false,,,true,false,false,false,false,false,false,false,false,false,a1y4W000006ItOwQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7WQAT,,Authentication,,false,,,,a1y4W000006ItOwQAK,a204W00000JMb7WQAT,,
a204W00000JMb7WQAT,000046,false,false,false,a0S4W00000WEbeXUAT,,false,false,false,false,false,false,false,false,false,true,a1y4W000006ItOwQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7YQAT,,Qualifying Questions,,false,,,a0S4W00000WEbeXUAT,a1y4W000006ItOwQAK,a204W00000JMb7YQAT,,
a204W00000JMb7XQAT,000051,true,false,false,,"<h2>We&#39;re Here to Help.</h2><p>Your patients count on you to give them the best care, now count on the <span style=""background-color: rgb(255, 255, 255);"">International Association </span> give you the tools and resources to focus your time where it matters most. When you join the <span style=""background-color: rgb(255, 255, 255);"">International Association </span>, you gain a network that’s committed to:</p><ul><li>Advancing the specialty of family medicine</li><li>Strengthening members’ collective voice</li><li>Providing solutions to enhance patient care</li></ul><h4><strong>What Is Your Membership Worth?</strong></h4><p>As a member, you will receive a variety of exclusive products, programs, services, and discounts totaling nearly $3,000 in member savings.</p><p><br></p><p><a href=""https://www.aafp.org/membership/benefits/member-value.html"" target=""_blank"" style=""color: rgb(219, 159, 64);""><strong>Learn More About Member Value</strong></a></p><p>The International Association represents 131,400 physicians and medical students nationwide, as the only medical society devoted solely to primary care. Family physicians conduct approximately one in five office visits -- that’s 192 million visits annually or 48 percent more than the next most visited medical specialty.</p><p>As a member, not only will you help advance this important specialty, but you’ll also have exclusive access to our CME reporting service, discounts on hundreds of courses and products, and leading-edge career and practice support.</p>",false,false,false,false,true,true,false,false,false,false,a1y4W000006ItOwQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7VQAT,,Marketing,,false,,,,a1y4W000006ItOwQAK,a204W00000JMb7VQAT,,
a204W00000JMb7YQAT,000052,false,false,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W000006ItOwQAK,Login,Login,,,Create Login,Create Account,,,a204W00000JMb7ZQAT,,Product Flow,a154W00000926QzQAI,true,,,,a1y4W000006ItOwQAK,a204W00000JMb7ZQAT,a154W00000926QzQAI,
a204W00000JMb7ZQAT,000053,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W000006ItOwQAK,Login,Login,,,Create Login,Create Account,,Next Step,,,Payment,,false,,,,a1y4W000006ItOwQAK,,,
