Id,Name,External_Id__c,EventApi__Schedule_Item__c,EventApi__Is_Primary__c,EventApi__Role__c,EventApi__Speaker__c,EventApi__Schedule_Item__r.External_Id__c,EventApi__Speaker__r.External_Id__c
a1f4W000007WlocQAC,Lucinda McKinney,1,a1d4W00000jHX3MQAW,false,Poster Presenter,a1g4W000003Fq6kQAC,185,25
a1f4W000007WlodQAC,Lucinda McKinney,2,a1d4W00000jHX3NQAW,false,Poster Presenter,a1g4W000003Fq6kQAC,186,25
a1f4W000007WloeQAC,Bob Kelley,3,a1d4W00000jHX3JQAW,false,Poster Presenter,a1g4W000003Fq6jQAC,182,24
a1f4W000007WlofQAC,Sharon Jones,4,a1d4W00000jHX3HQAW,false,Poster Presenter,a1g4W000003Fq6sQAC,171,26
a1f4W000007WlogQAC,Bob Kelley,5,a1d4W00000jHX3KQAW,false,Poster Presenter,a1g4W000003Fq6jQAC,183,24
a1f4W000007WlohQAC,Bob Kelley,6,a1d4W00000jHX5tQAG,false,Poster Presenter,a1g4W000003Fq6lQAC,213,28
a1f4W000007WloiQAC,Gerald Frank,7,a1d4W00000jHX5uQAG,false,Poster Presenter,a1g4W000003Fq73QAC,214,5
a1f4W000007WlojQAC,Bob Kelley,8,a1d4W00000jHX5iQAG,false,Poster Presenter,a1g4W000003Fq6mQAC,252,18
a1f4W000007WlokQAC,Gerald Frank,9,a1d4W00000jHX5kQAG,false,Poster Presenter,a1g4W000003Fq71QAC,254,19
a1f4W000007WlolQAC,Bob Kelley,10,a1d4W00000jHX63QAG,false,Poster Presenter,a1g4W000003Fq6oQAC,234,13
a1f4W000007WlomQAC,Lucinda McKinney,11,a1d4W00000jHX65QAG,false,Poster Presenter,a1g4W000003Fq6pQAC,236,14
a1f4W000007WlonQAC,Sharon Jones,12,a1d4W00000jHX67QAG,false,Poster Presenter,a1g4W000003Fq6yQAC,247,15
a1f4W000007WlooQAC,Bob Kelley,13,a1d4W00000jHX66QAG,false,Poster Presenter,a1g4W000003Fq6oQAC,237,13
a1f4W000007WlopQAC,Lucinda McKinney,14,a1d4W00000jHX6AQAW,false,Poster Presenter,a1g4W000003Fq6pQAC,250,14
