Id,Name,PagesApi__Page_Element__c,PagesApi__Key__c,PagesApi__Type__c,PagesApi__Value__c,PagesApi__Page_Element__r.Id
a0X4W00001uBTXKUA4,59,a0Y4W00000GjQUHUA3,catalog,String,a0s4W00000fqDVSQA2,a0Y4W00000GjQUHUA3
a0X4W00001uBTXLUA4,60,a0Y4W00000GjQUHUA3,title,String,Fundraising for a Education!,a0Y4W00000GjQUHUA3
a0X4W00001uBTXMUA4,61,a0Y4W00000GjQUHUA3,instructions,String,Donate today to make a difference..,a0Y4W00000GjQUHUA3
a0X4W00001uBTXNUA4,62,a0Y4W00000GjQUHUA3,selectAmountLabel,String,Donate,a0Y4W00000GjQUHUA3
a0X4W00001uBTXOUA4,63,a0Y4W00000GjQUHUA3,suggestedLevelOfGiving,String,"10,100, 200,500,100",a0Y4W00000GjQUHUA3
a0X4W00001uBTXPUA4,64,a0Y4W00000GjQUHUA3,enableOtherAmount,Boolean,true,a0Y4W00000GjQUHUA3
a0X4W00001uBTXQUA4,65,a0Y4W00000GjQUHUA3,otherDonationLabel,String,Other,a0Y4W00000GjQUHUA3
a0X4W00001uBTXRUA4,66,a0Y4W00000GjQUHUA3,donationAmountLabel,String,Donation Amount,a0Y4W00000GjQUHUA3
a0X4W00001uBTXSUA4,67,a0Y4W00000GjQUHUA3,donationTypeLabel,String,Donation Type,a0Y4W00000GjQUHUA3
a0X4W00001uBTXTUA4,68,a0Y4W00000GjQUHUA3,oneTimeDonationLabel,String,One-Time,a0Y4W00000GjQUHUA3
a0X4W00001uBTXUUA4,69,a0Y4W00000GjQUHUA3,recurringDonationLabel,String,Monthly,a0Y4W00000GjQUHUA3
a0X4W00001uBTXVUA4,70,a0Y4W00000GjQUHUA3,numberOfPaymentsAllTimeLabel,String,For All Time,a0Y4W00000GjQUHUA3
a0X4W00001uBTXWUA4,71,a0Y4W00000GjQUHUA3,numberOfPayments,String,"2,3,4,5,6,7,8,9,10,11,12,24,36",a0Y4W00000GjQUHUA3
a0X4W00001uBTXXUA4,72,a0Y4W00000GjQUHUA3,supportingFundLabel,String,Available Funds,a0Y4W00000GjQUHUA3
a0X4W00001uBTXYUA4,73,a0Y4W00000GjQUHUA3,areaOfGreatestNeedLabel,String,Area Of Greatest Need,a0Y4W00000GjQUHUA3
a0X4W00001uBTXZUA4,74,a0Y4W00000GjQUHUA3,defaultFund,String,,a0Y4W00000GjQUHUA3
a0X4W00001uBTXaUAO,75,a0Y4W00000GjQUHUA3,chooseFromAList,String,Select Funds,a0Y4W00000GjQUHUA3
a0X4W00001uBTXbUAO,76,a0Y4W00000GjQUHUA3,fundSearchType,String,Picklist,a0Y4W00000GjQUHUA3
a0X4W00001uBTXcUAO,77,a0Y4W00000GjQUHUA3,writeInLabel,String,Write In,a0Y4W00000GjQUHUA3
a0X4W00001uBTXdUAO,78,a0Y4W00000GjQUHUA3,writeInDefaultItem,String,,a0Y4W00000GjQUHUA3
a0X4W00001uBTXeUAO,79,a0Y4W00000GjQUHUA3,fundSearchLabel,String,Fund Search,a0Y4W00000GjQUHUA3
a0X4W00001uBTXfUAO,80,a0Y4W00000GjQUHUA3,filterByCategoryLabel,String,Filter By Category,a0Y4W00000GjQUHUA3
a0X4W00001uBTXgUAO,81,a0Y4W00000GjQUHUA3,viewMoreLabel,String,View More,a0Y4W00000GjQUHUA3
a0X4W00001uBTXhUAO,82,a0Y4W00000GjQUHUA3,searchResultsHeaderLabel,String,Search Results,a0Y4W00000GjQUHUA3
a0X4W00001uBTXiUAO,83,a0Y4W00000GjQUHUA3,noSearchResultsHeaderLabel,String,Uh oh! Couldn't find anything,a0Y4W00000GjQUHUA3
a0X4W00001uBTXjUAO,84,a0Y4W00000GjQUHUA3,continueModalLabel,String,Continue,a0Y4W00000GjQUHUA3
a0X4W00001uBTXkUAO,85,a0Y4W00000GjQUHUA3,preferencesLabel,String,Options,a0Y4W00000GjQUHUA3
a0X4W00001uBTXlUAO,86,a0Y4W00000GjQUHUA3,iWishToGiveSummaryTableLabel,String,I Wish To Give...,a0Y4W00000GjQUHUA3
a0X4W00001uBTXmUAO,87,a0Y4W00000GjQUHUA3,companyMatchLabel,String,"Yes, my company will match my donation",a0Y4W00000GjQUHUA3
a0X4W00001uBTXnUAO,88,a0Y4W00000GjQUHUA3,inHonorMemoryLabel,String,Dedicate my donation in honor of or in memory of someone,a0Y4W00000GjQUHUA3
a0X4W00001uBTXoUAO,89,a0Y4W00000GjQUHUA3,honorFieldSet,String,Fon_In_Memory_Of_Donation_Fields,a0Y4W00000GjQUHUA3
a0X4W00001uBTXpUAO,90,a0Y4W00000GjQUHUA3,sidebarHTML,String,,a0Y4W00000GjQUHUA3
a0X4W00001uBTXqUAO,91,a0Y4W00000GjQUHUA3,showCampaignStats,Boolean,true,a0Y4W00000GjQUHUA3
a0X4W00001uBTXrUAO,92,a0Y4W00000GjQUHUA3,donationDescription,String,,a0Y4W00000GjQUHUA3
a0X4W00001uBTXsUAO,93,a0Y4W00000GjQUHUA3,donationCampaignEndDate,Date,2018-08-14,a0Y4W00000GjQUHUA3
a0X4W00001uBTXtUAO,94,a0Y4W00000GjQUHUA3,showCampaignProgress,Boolean,true,a0Y4W00000GjQUHUA3
a0X4W00001uBTXuUAO,95,a0Y4W00000GjQUHUA3,progressDisplayStyle,String,Text,a0Y4W00000GjQUHUA3
a0X4W00001uBTXvUAO,96,a0Y4W00000GjQUHUA3,areYouSureAlertLabel,String,Are You Sure?,a0Y4W00000GjQUHUA3
a0X4W00001uBTXwUAO,97,a0Y4W00000GjQUHUA3,warningMessageAlertLabel,String,This will remove your donations!,a0Y4W00000GjQUHUA3
a0X4W00001uBTXxUAO,98,a0Y4W00000GjQUHUA3,fundTableMissingAmount,String,Whoops!,a0Y4W00000GjQUHUA3
a0X4W00001uBTXyUAO,99,a0Y4W00000GjQUHUA3,fundTableMissingAmountDescription,String,Forgot to enter an amount,a0Y4W00000GjQUHUA3
a0X4W00001uBTXzUAO,100,a0Y4W00000GjQUHUA3,warningMessageDelete,String,No Donation amount specified,a0Y4W00000GjQUHUA3
a0X4W00001uBTY0UAO,101,a0Y4W00000GjQUHUA3,warningMessageDeleteDescription,String,Must have at least one donation,a0Y4W00000GjQUHUA3
a0X4W00001uBTY1UAO,102,a0Y4W00000GjQUHUA3,addCartLabel,String,Donate,a0Y4W00000GjQUHUA3
a0X4W00001uBTY2UAO,103,a0Y4W00000GjQUHUA3,customCss,String,,a0Y4W00000GjQUHUA3
a0X4W00001uBTY3UAO,104,a0Y4W00000GjQUHUA3,cancelModalButtonLabel,String,Cancel,a0Y4W00000GjQUHUA3
a0X4W00001uBTY4UAO,105,a0Y4W00000GjQUHUA3,selectedItemCountLabel,String,Selected,a0Y4W00000GjQUHUA3
a0X4W00001uBTY5UAO,106,a0Y4W00000GjQUHUA3,selectedItemHeaderLabel,String,Selected Items,a0Y4W00000GjQUHUA3
a0X4W00001uBTY6UAO,107,a0Y4W00000GjQUHUA3,warningNoFundsSelectedTitle,String,Whoops!,a0Y4W00000GjQUHUA3
a0X4W00001uBTY7UAO,108,a0Y4W00000GjQUHUA3,warningNoFundsSelectedDescription,String,At Least One Fund Must Be Selected,a0Y4W00000GjQUHUA3
a0X4W00001uBTY8UAO,109,a0Y4W00000GjQUHUA3,errorCatalogNotPublishedTitle,String,Uh Oh!,a0Y4W00000GjQUHUA3
a0X4W00001uBTY9UAO,110,a0Y4W00000GjQUHUA3,errorCatalogNotPublishedDescription,String,Houston we have a problem,a0Y4W00000GjQUHUA3
a0X4W00001uBTYAUA4,111,a0Y4W00000GjQUHUA3,editFundTableDonationsLinkLabel,String,Edit,a0Y4W00000GjQUHUA3
a0X4W00001uBTYBUA4,112,a0Y4W00000GjQUHUA3,termedRecurringOverviewText,String,"I wish to donate {{ donation }} {{ frequency }} for {{ installments }} months starting on {{ start_date }}, totaling {{ grand_total }}",a0Y4W00000GjQUHUA3
a0X4W00001uBTYCUA4,113,a0Y4W00000GjQUHUA3,evergreenRecurringOverviewText,String,I wish to donate {{ donation }} {{ frequency }} starting on {{ start_date }},a0Y4W00000GjQUHUA3
a0X4W00001uBTYDUA4,114,a0Y4W00000GjQUHUA3,companyNameLabel,String,Company Name,a0Y4W00000GjQUHUA3
a0X4W00001uBTYEUA4,115,a0Y4W00000GjQUHUA3,writeInPlaceHolder,String,,a0Y4W00000GjQUHUA3
a0X4W00001uBTYFUA4,116,a0Y4W00000GjQUHUA3,startDatePlaceHolder,String,Start Date,a0Y4W00000GjQUHUA3
a0X4W00001uBTYGUA4,117,a0Y4W00000GjQUHUA3,companyInputPlaceHolder,String,Enter Company,a0Y4W00000GjQUHUA3
