Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Account__c,OrderApi__Assignment__c,OrderApi__Awarded_Date__c,OrderApi__Badge_Description__c,OrderApi__Badge_Type_Icon__c,OrderApi__Badge_Type__c,OrderApi__Badge_Workflow__c,OrderApi__Contact__c,OrderApi__Engagement_Score__c,OrderApi__Expired_Date__c,OrderApi__Is_Active__c,OrderApi__Item__c,OrderApi__Sales_Order_Line__c,OrderApi__Term__c,OrderApi__Account__r.External_Id__c,OrderApi__Assignment__r.External_Id__c,OrderApi__Badge_Type__r.Id,OrderApi__Badge_Workflow__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Term__r.External_Id__c
a0m4W00000YpEsEQAV,false,00000387,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,,,2016-01-20,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEsE"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000CpmSEQAZ,a0l4W00000GEt9SQAT,0034W00002AU8V0QAL,100,,true,a154W000008mjpLQAQ,,,,,a0k4W00000CpmSEQAZ,25,92,546,,
a0m4W00000YpEvWQAV,false,00000388,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,0014W000021fm0TQAQ,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEvW"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000CpmSHQAZ,a0l4W00000GEt9MQAT,,50,,true,a154W000008mjqbQAA,,,79,,a0k4W00000CpmSHQAZ,19,,509,,
a0m4W00000YpEsFQAV,false,00000389,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,,,2015-06-20,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEsF"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000CpmSEQAZ,a0l4W00000GEt9SQAT,0034W00002AU8VZQA1,100,2017-09-24,false,a154W000008mjpLQAQ,,,,,a0k4W00000CpmSEQAZ,25,267,546,,
a0m4W00000YpEvXQAV,false,00000390,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,0014W000021fm17QAA,,2014-02-17,Awarded to all organization members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Organizational Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEvX"" target=""_tab"">FON-Organizational Member Badge</a>",a0k4W00000CpmSFQAZ,a0l4W00000GEt9PQAT,,100,2017-09-24,false,a154W000008mjpAQAQ,,,84,,a0k4W00000CpmSFQAZ,22,,543,,
a0m4W00000YpEvYQAV,false,00000391,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,0014W000021fm13QAA,,2015-04-06,Awarded to all organization members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Organizational Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEvY"" target=""_tab"">FON-Organizational Member Badge</a>",a0k4W00000CpmSFQAZ,a0l4W00000GEt9PQAT,,100,2017-09-24,false,a154W000008mjpAQAQ,,,69,,a0k4W00000CpmSFQAZ,22,,543,,
a0m4W00000YpEvZQAV,false,00000392,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,0014W000021fm0FQAQ,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEvZ"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000CpmSHQAZ,a0l4W00000GEt9LQAT,,50,,true,a154W000008mjqcQAA,,,83,,a0k4W00000CpmSHQAZ,18,,508,,
a0m4W00000YpEvaQAF,false,00000393,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,0014W000021fm15QAA,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEva"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000CpmSHQAZ,a0l4W00000GEt9KQAT,,50,,true,,,,86,,a0k4W00000CpmSHQAZ,17,,,,
a0m4W00000YpEsGQAV,false,00000394,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,,,2015-04-09,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEsG"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000CpmSEQAZ,a0l4W00000GEt9UQAT,0034W00002AU8VOQA1,100,,true,a154W000008mjpSQAQ,,,,,a0k4W00000CpmSEQAZ,27,227,514,,
a0m4W00000YpEvbQAF,false,00000395,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,0014W000021flzSQAQ,,2014-04-05,Awarded to all organization members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Organizational Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEvb"" target=""_tab"">FON-Organizational Member Badge</a>",a0k4W00000CpmSFQAZ,a0l4W00000GEt9QQAT,,100,,true,a154W000008mjptQAA,,,87,,a0k4W00000CpmSFQAZ,23,,544,,
a0m4W00000YpEsHQAV,false,00000396,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:29:27.000+0000,2020-09-24T07:29:27.000+0000,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gco12gej.my.salesforce.com/a0m4W00000YpEsH"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000CpmSGQAZ,a0l4W00000GEt9dQAD,0034W00002AU8V2QAL,25,,true,,,,,,a0k4W00000CpmSGQAZ,36,94,,,
