Name,OrderApi__Description__c,OrderApi__Display_Order__c,OrderApi__Enable_Access_Permissions__c,OrderApi__Is_Published__c,OrderApi__Store__c,OrderApi__Catalog_Filters__c,OrderApi__Display_Featured_Items__c,OrderApi__Placeholder_Image__c,Errors,Id
FON-Merchandise,,,false,true,a1YR00000019HWFMA2,,false,,,a0wR0000005qUa0IAE
FON-Publications,,,false,true,a1YR00000019HWFMA2,,false,,,a0wR0000005qUa1IAE
FON-Donations,,,false,false,,,false,,,a0wR0000005qUa2IAE
FON-Memberships,,,false,true,a1YR00000019HWFMA2,,false,,,a0wR0000005qUa3IAE
FON-Certifications and Accreditations,,,false,true,a1YR00000019HWFMA2,,false,,,a0wR0000005qUa4IAE
FON-Education,,,false,true,,,false,,,a0wR0000005qUa5IAE
FON-Other Giving Opportunities,,,false,true,,,false,,,a0wR0000005qUa6IAE
FON-Law,,,false,true,,,false,,,a0wR0000005qUa7IAE
FON-Academic Excellence,,,false,true,,,false,,,a0wR0000005qUa8IAE
FON-Arts & Sciences,,,false,true,,,false,,,a0wR0000005qUa9IAE
FON- Sponsorships,,,false,true,a1YR00000019HWFMA2,,false,,,a0wR0000005qUaAIAU
FON-Booths,,,false,true,a1YR00000019HWFMA2,,false,,,a0wR0000005qUaBIAU
FON-Featured Products,FON-Featured Products,,false,true,a1YR00000019HWFMA2,,false,,,a0wR0000005qUaCIAU
