Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__EPayment__c,OrderApi__Activation_Date__c,OrderApi__Activity_Type__c,OrderApi__Auto_Calculate_Activation_Date__c,OrderApi__Business_Group__c,OrderApi__End_Date__c,OrderApi__GL_Account__c,OrderApi__Invoice__c,OrderApi__Is_Renewal__c,OrderApi__Is_Tax__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__List_Price__c,OrderApi__Payment_Method__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Sale_Price__c,OrderApi__Status__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription__c,OrderApi__Subtotal__c,OrderApi__Tax_Override__c,OrderApi__Tax_Percent__c,OrderApi__Total__c,OrderApi__EPayment_Line__c,OrderApi__Contact__c,OrderApi__Invoice_Line__c,OrderApi__Foreign_Key__c,OrderApi__Parent_Foreign_Key__c,OrderApi__Sales_Order_Line__c,OrderApi__Sales_Order__c,OrderApi__EPayment__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__GL_Account__r.Name,OrderApi__Invoice__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Subscription_Plan__r.Name,OrderApi__Subscription__r.External_Id__c,OrderApi__EPayment_Line__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Invoice_Line__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c
a0y4W00000VH1zHQAT,false,0000000383,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8TQAU,,Purchase,true,a0o4W00000MOvweQAD,,a104W00000FuSxCQAV,,false,false,a134W000008hIDSQA2,a154W000008mjpgQAA,25,VISA  (Expires 1/2027),false,a1C4W000006w73WUAQ,1,25,Success,,,25,false,0,25,a0y4W00000VH1zGQAT,0034W00002AU8S9QAL,,ok195sCresMcjTMZ2F250LqIHQTQbi,eOaP3pcIBAOHICQru7d8RTPYTUCcik,a1I4W00000H4JupUAF,,48,FON-International Association,4400 - Event Income,,150,267,597,,,382,58,,975,
a0y4W00000VH1zIQAT,false,0000000384,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8TQAU,,Purchase,true,a0o4W00000MOvweQAD,,a104W00000FuSxCQAV,,false,false,a134W000008hIDSQA2,a154W000008mjpfQAA,25,VISA  (Expires 1/2027),false,a1C4W000006w73XUAQ,1,25,Success,,,25,false,0,25,a0y4W00000VH1zGQAT,0034W00002AU8S9QAL,,iOsBJS9Zp9mQp2VXYr0T9YhLhTi2v1,eOaP3pcIBAOHICQru7d8RTPYTUCcik,a1I4W00000H4JuqUAF,,48,FON-International Association,4400 - Event Income,,150,264,594,,,382,58,,976,
a0y4W00000VH1zJQAT,false,0000000385,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8TQAU,,Purchase,true,a0o4W00000MOvweQAD,,a104W00000FuSxCQAV,,false,false,a134W000008hIDSQA2,a154W000008mjpeQAA,25,VISA  (Expires 1/2027),false,a1C4W000006w73YUAQ,1,25,Success,,,25,false,0,25,a0y4W00000VH1zGQAT,0034W00002AU8S9QAL,,S70Jw547t6IyioJnICZUVp7fLjCg1g,eOaP3pcIBAOHICQru7d8RTPYTUCcik,a1I4W00000H4JurUAF,,48,FON-International Association,4400 - Event Income,,150,263,593,,,382,58,,977,
a0y4W00000VH1zKQAT,false,0000000386,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8TQAU,,Purchase,true,a0o4W00000MOvweQAD,,a104W00000FuSxCQAV,,false,false,a134W000008hIDSQA2,a154W000008mjphQAA,0,VISA  (Expires 1/2027),false,a1C4W000006w73ZUAQ,1,0,Success,,,0,false,0,0,a0y4W00000VH1zGQAT,0034W00002AU8S9QAL,,hDFGDqeYlgY5uv7eO2RyOMdXjenj5s,eOaP3pcIBAOHICQru7d8RTPYTUCcik,a1I4W00000H4JusUAF,,48,FON-International Association,4400 - Event Income,,150,266,596,,,382,58,,978,
a0y4W00000VH1zLQAT,false,0000000387,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8UQAU,2020-01-16,Purchase,true,a0o4W00000MOvweQAD,2020-12-31,a104W00000FuSx9QAF,,true,false,a134W000008hIDMQA2,a154W000008mjpAQAQ,2500,VISA  (Expires 1/2022),false,a1C4W000006w73EUAQ,1,2500,Success,a1R4W0000048ZSKUA2,a1S4W000003ditxUAA,2500,false,0,2500,,0034W00002AU8RzQAL,,Rr4SOi547HnanJTfcak5HZ8VG1DSXI,,a1I4W00000H4JutUAF,,49,FON-International Association,4100 - Organization Membership Income,,123,543,490,FON-1 Year Calendar,141,,246,,979,
a0y4W00000VH21aQAD,false,0000000388,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8VQAU,,Purchase,true,a0o4W00000MOvweQAD,,a104W00000FuSwkQAF,a124W00000LbEoxQAF,false,false,a134W000008hIDMQA2,a154W000008mjpAQAQ,2500,VISA  (Expires 4/2020),false,,1,2291.67,Success,,,2291.67,false,0,2291.67,,0034W00002AU8S9QAL,a114W00000LFqFPQA1,,,a1I4W00000H4JuvUAF,,50,FON-International Association,1100 - Accounts Receivable,246,123,543,,,,,58,312,1079,
a0y4W00000VH1zMQAT,false,0000000389,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8WQAU,2020-02-10,Purchase,true,a0o4W00000MOvweQAD,2020-12-31,a104W00000FuSx9QAF,,false,false,a134W000008hIDMQA2,a154W000008mjpAQAQ,2500,VISA  (Expires 1/2025),true,a1C4W000006w73EUAQ,1,2291.67,Success,a1R4W0000048ZSKUA2,,2291.67,false,0,2291.67,,0034W00002AU8S9QAL,,frIcArqwPSRsrP6PkeeeAnX0ggKeQa,,a1I4W00000H4JuwUAF,,51,FON-International Association,4100 - Organization Membership Income,,123,543,490,FON-1 Year Calendar,,,58,,1080,
a0y4W00000VH1zNQAT,false,0000000390,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8XQAU,2020-02-21,Purchase,true,a0o4W00000MOvweQAD,2021-02-20,a104W00000FuSxAQAV,,false,false,a134W000008hIDHQA2,a154W000008mjpSQAQ,45,VISA  (Expires 1/2021),false,a1C4W000006w73aUAA,1,25,Success,a1R4W0000048ZSLUA2,,25,false,0,25,,0034W00002AU8SAQA1,,7zomsHZTFZiGeSrUPPAVbrekpFkf8d,,a1I4W00000H4Jv5UAF,,52,FON-International Association,4200 - Individual Membership Income,,119,514,536,FON-1 Year Anniversary,,,95,,1089,
a0y4W00000VH1zOQAT,false,0000000391,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8XQAU,,Purchase,true,a0o4W00000MOvweQAD,,a104W00000FuSxDQAV,,false,false,a134W000008hIDOQA2,a154W000008mjpiQAA,50,VISA  (Expires 1/2021),false,a1C4W000006w73bUAA,1,50,Success,,,50,false,0,50,,0034W00002AU8SAQA1,,JvvwR3T4LzsltJYWKmDnAJUAeDiNyu,,a1I4W00000H4Jv6UAF,,52,FON-International Association,4500 - Merchandise Income,,118,31,518,,,,95,,1090,
a0y4W00000VH1zPQAT,false,0000000392,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:48.000+0000,2020-09-24T07:28:48.000+0000,a0z4W00000hqL8YQAU,,Purchase,true,a0o4W00000MOvweQAD,,a104W00000FuSwmQAF,,false,false,a134W000008hIDDQA2,a154W000008mjpIQAQ,25,VISA  (Expires 1/2029),false,a1C4W000006w73IUAQ,1,25,Success,,,25,false,0,25,,0034W00002AU8U0QAL,,uXrlPjnDlUHBEQJODU9mCp53Ex7wND,,a1I4W00000H4Jv7UAF,,53,FON-International Association,4000 - Income,,116,513,346,,,,97,,1091,
