Name,EventApi__City__c,EventApi__Country__c,EventApi__Description__c,EventApi__Display_Map__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Image_URL__c,EventApi__Is_Primary_Venue__c,EventApi__Phone__c,EventApi__Postal_Code__c,EventApi__State__c,EventApi__Street__c,EventApi__Website__c,EventApi__HTML_Description__c,EventApi__Event_Location__Latitude__s,EventApi__Event_Location__Longitude__s,Errors,Id
W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110OpIAI
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110OqIAI
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110OrIAI
W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110OsIAI
Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110OtIAI
W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110OuIAI
Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110OvIAI
W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110OwIAI
Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110OxIAI
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110OyIAI
