Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Business_Group__c,OrderApi__Detail__c,OrderApi__Report_Category__c,OrderApi__Type__c,OrderApi__Business_Group__r.Id
a104W00000FuSwjQAF,false,1000 - Cash,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Bank,Balance Sheet,Asset,a0o4W00000MOvweQAD
a104W00000FuSwkQAF,false,1100 - Accounts Receivable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Accounts Receivable (A/R),Balance Sheet,Asset,a0o4W00000MOvweQAD
a104W00000FuSwoQAF,false,2000 - Accounts Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Accounts Payable (A/P),Balance Sheet,Liability,a0o4W00000MOvweQAD
a104W00000FuSx4QAF,false,2100 - Refunds Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Accounts Payable,Income Statement,Liability,a0o4W00000MOvweQAD
a104W00000FuSx5QAF,false,2200 - Deferred Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Long-term Liabilities,Balance Sheet,Liability,a0o4W00000MOvweQAD
a104W00000FuSx6QAF,false,3000 - Retained Earnings,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Equity,Balance Sheet,Capital,a0o4W00000MOvweQAD
a104W00000FuSwmQAF,false,4000 - Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuSx7QAF,false,6000 - Expenses,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Expense,Income Statement,Expenses,a0o4W00000MOvweQAD
a104W00000FuSx8QAF,false,2300 - Taxes Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Current Liabilities,Balance Sheet,Liability,a0o4W00000MOvweQAD
a104W00000FuSx9QAF,false,4100 - Organization Membership Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
