Name,OrderApi__Business_Group__c,OrderApi__Detail__c,OrderApi__Report_Category__c,OrderApi__Type__c,Errors,Id
1000 - Cash,a0sR0000004M9vaIAC,Bank,Balance Sheet,Asset,,a14R0000004sdQoIAI
1100 - Accounts Receivable,a0sR0000004M9vaIAC,Accounts Receivable (A/R),Balance Sheet,Asset,,a14R0000004sdQpIAI
2000 - Accounts Payable,a0sR0000004M9vaIAC,Accounts Payable (A/P),Balance Sheet,Liability,,a14R0000004sdQqIAI
2100 - Refunds Payable,a0sR0000004M9vaIAC,Accounts Payable,Income Statement,Liability,,a14R0000004sdQrIAI
2200 - Deferred Income,a0sR0000004M9vaIAC,Long-term Liabilities,Balance Sheet,Liability,,a14R0000004sdQsIAI
3000 - Retained Earnings,a0sR0000004M9vaIAC,Equity,Balance Sheet,Capital,,a14R0000004sdQtIAI
4000 - Income,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdQuIAI
6000 - Expenses,a0sR0000004M9vaIAC,Expense,Income Statement,Expenses,,a14R0000004sdQvIAI
2300 - Taxes Payable,a0sR0000004M9vaIAC,Current Liabilities,Balance Sheet,Liability,,a14R0000004sdQwIAI
4100 - Organization Membership Income,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdQxIAI
4200 - Individual Membership Income,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdQyIAI
4300 - Magazine Income,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdQzIAI
4400 - Event Income,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdR0IAI
4500 - Merchandise Income,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdR1IAI
5000 - Credit Memos,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdR2IAI
7100 - Write Offs,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdR3IAI
6055 - Shipping,a0sR0000004M9vaIAC,Other Expense,Income Statement,Expenses,,a14R0000004sdR4IAI
