Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Subscription__c,OrderApi__Activated_Date__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Assignments_Available__c,OrderApi__Invoice_Line__c,OrderApi__Invoiced_Date__c,OrderApi__Is_Amendment__c,OrderApi__Is_Invoiced__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Sale_Price__c,OrderApi__Sales_Order_Line__c,OrderApi__Subscription_Line__c,OrderApi__Subtotal__c,OrderApi__Total__c,OrderApi__Is_Required_Package_Item__c,OrderApi__Subscription__r.External_Id__c,OrderApi__Invoice_Line__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Subscription_Line__r.External_Id__c
a1Q4W000003BokCUAS,false,000000419,1,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003diuXUAQ,2020-04-20,1,14,13,,,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,true,a1C4W000006w73pUAA,1,416.67,a1I4W00000H4Jx7UAF,,416.67,416.67,false,7,,123,219,50,2042,
a1Q4W000003BokDUAS,false,000000420,2,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003diuYUAQ,2020-04-20,2,14,12,,,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,true,a1C4W000006w73pUAA,1,416.67,a1I4W00000H4JxAUAV,,416.67,416.67,false,8,,123,219,50,2045,
a1Q4W000003BokEUAS,false,000000421,3,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003diuZUAQ,2020-04-20,2,14,12,,,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,true,a1C4W000006w73pUAA,1,416.67,a1I4W00000H4JxDUAV,,416.67,416.67,false,9,,123,219,50,583,
a1Q4W000003BokFUAS,false,000000422,4,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003diuaUAA,2020-04-20,2,14,12,,,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,true,a1C4W000006w73pUAA,1,416.67,a1I4W00000H4JxFUAV,,416.67,416.67,false,10,,123,219,50,585,
a1Q4W000003BokGUAS,false,000000423,5,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003diucUAA,2020-04-20,2,14,12,,,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,true,a1C4W000006w73pUAA,1,416.67,,,416.67,416.67,false,11,,123,219,50,,
a1Q4W000003BokHUAS,false,000000424,6,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003diubUAA,2020-04-20,2,14,12,,,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,true,a1C4W000006w73pUAA,1,416.67,a1I4W00000H4JxJUAV,,416.67,416.67,false,12,,123,219,50,589,
a1Q4W000003BokIUAS,false,000000336,7,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003dityUAA,2019-08-13,0,,,,,false,false,a134W000008hIDHQA2,a154W000008mjpEQAQ,FON - National Membership,900,true,a1C4W000006w73dUAA,1,75,a1I4W00000H4Jt4UAF,,75,75,false,136,,119,146,569,1749,
a1Q4W000003BokJUAS,false,000000337,8,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003dityUAA,,0,,,,,false,false,a134W000008hIDHQA2,a154W000008mjpGQAQ,State Chapter Membership,90,true,a1C4W000006w73GUAQ,1,7.5,a1I4W00000H4Jt5UAF,a1Q4W000003BokIUAS,7.5,7.5,true,136,,119,70,528,1750,7
a1Q4W000003BokKUAS,false,000000338,9,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003dityUAA,,0,,,,,false,false,a134W000008hIDHQA2,a154W000008mjpFQAQ,Local Chapter Membership,60,true,a1C4W000006w73eUAA,1,5,a1I4W00000H4Jt6UAF,a1Q4W000003BokIUAS,5,5,true,136,,119,38,526,1751,7
a1Q4W000003BokLUAS,false,000000339,10,2020-08-28T02:16:22.000+0000,2020-09-28T07:10:21.000+0000,2020-09-28T07:10:22.000+0000,a1S4W000003ditzUAA,2019-08-13,0,,,,,false,false,a134W000008hIDHQA2,a154W000008mjpEQAQ,FON - National Membership,900,true,a1C4W000006w73dUAA,1,75,,,75,75,false,137,,119,146,569,,
