Name,EventApi__Adjustment_Account__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Discount_Account__c,EventApi__Display_Available_Inventory__c,EventApi__Early_Bird_End_Date__c,EventApi__Early_Bird_Price__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Enable_Early_Bird_Price__c,EventApi__Enable_Onsite_Price__c,EventApi__Enable_Waitlist__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Inventory_Status__c,EventApi__Is_Active__c,EventApi__Is_Contribution__c,EventApi__Is_Published__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Item_Cost__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Maximum_Sales_Quantity__c,EventApi__Min_Sales_Quantity__c,EventApi__Minimum_Sales_Quantity__c,EventApi__Onsite_Price__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Require_Minimum_Quantity__c,EventApi__Restrict_Maximum_Sales_Quantity__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__SKU__c,EventApi__Tax_Class__c,EventApi__UOM__c,ROEApi__Event_Display_Name__c,EventApi__Enable_Refund_Request__c,EventApi__Group_Type__c,EventApi__Is_Group_Ticket_Type__c,EventApi__Refund_Request_Policy__c,EventApi__Ticket_Block__c,EventApi__Ticket_Information__c,EventApi__AR_Account__c,EventApi__Invoice_Payment_Priority__c,EventApi__Manage_Agenda_by_Ticket_Type__c,Errors,Id
VIP Registration,a14R0000004sdRrIAI,,false,,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",a14R0000004sdQvIAI,true,,,false,true,false,false,true,,,,a0UR0000007qzjqMAA,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JNChCOwT_vip_ticket_png&bucket=fonteva-customer-media-secure,a14R0000004sdQuIAI,,In-stock,true,false,true,false,false,a19R0000003TaFiIAK,,,,,,,,200,3000,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,Registration,ctest,true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Get full conference access, plus a backstage pass to meet our keynote speakers!</p>",,,false,,a22R0000001k1CSIAY
Full Conference Pass,a14R0000004sdRrIAI,,false,,,"Access all areas of the event including all sessions, and exhibits.",a14R0000004sdQvIAI,true,,,false,true,false,false,true,,,,a0UR0000007qzjqMAA,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/lXIIWVPG_conference_ticket_png&bucket=fonteva-customer-media-secure,a14R0000004sdQuIAI,,In-stock,true,false,true,false,false,a19R0000003TaFlIAK,,,,,,,0,100,4000,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,Registration,symp,true,,false,<p>All refunds are subject to a $10.00 charge.</p><p><br></p>,,"<p>Access all areas of the event including all sessions, and exhibits.</p><p><br></p>",,,false,,a22R0000001k1CTIAY
VIP Registration,a14R0000004sdRrIAI,,false,,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",a14R0000004sdQvIAI,true,,,false,true,false,false,true,,,,a0UR0000007qzjqMAA,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JNChCOwT_vip_ticket_png&bucket=fonteva-customer-media-secure,a14R0000004sdQuIAI,,In-stock,true,false,true,false,false,a19R0000003TaFlIAK,,,,,,,0,200,3000,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,Registration,symp,true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Get full conference access, plus a backstage pass to meet our keynote speakers!</p>",,,false,,a22R0000001k1CUIAY
TT1,a14R0000004sdRrIAI,,false,,,,a14R0000004sdQvIAI,false,,,false,true,false,false,false,,,,,,a14R0000004sdQuIAI,,In-stock,true,false,false,false,false,a19R0000003TaFoIAK,,,,,,,,1,,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,Registration,Ulas LT Event,false,,false,,,,,,false,,a22R0000001k1CVIAY
TT1,a14R0000004sdRrIAI,,false,,,,a14R0000004sdQvIAI,false,,,false,true,false,false,false,,,,,,a14R0000004sdQuIAI,,In-stock,true,false,false,false,false,a19R0000003TaFsIAK,,,,,,,,1,,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,Registration,Clone Ulas 2,false,,false,,,,,,false,,a22R0000001k1CWIAY
TT1,a14R0000004sdRrIAI,,false,,,,a14R0000004sdQvIAI,false,,,false,true,false,false,false,,,,,,a14R0000004sdQuIAI,,In-stock,true,false,false,false,false,a19R0000003TaFpIAK,,,,,,,,1,,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,Registration,Clone Ulas,false,,false,,,,,,false,,a22R0000001k1CXIAY
Full Bee Pass,a14R0000004sdRrIAI,,false,,,Access all areas of the event including all exhibits and the main event.,a14R0000004sdQvIAI,true,,,false,true,false,false,true,,,,a0UR0000007qzjqMAA,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/lXIIWVPG_conference_ticket_png&bucket=fonteva-customer-media-secure,a14R0000004sdQuIAI,,In-stock,true,false,true,false,false,a19R0000003TaFvIAK,,,,,,,0,100,300,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,Registration,SC2,true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,<p>Access all areas of the event including all exhibits and the main event.</p>,,,false,,a22R0000001k1CYIAY
Full Conference Pass,a14R0000004sdRrIAI,,true,a14R0000004sdQsIAI,,"Access all areas of the event including all sessions, and exhibits.",a14R0000004sdQvIAI,true,2019-01-17,80,false,true,true,false,true,,a1mR0000001R1zcIAC,0,a0UR0000007qzjqMAA,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/DuwTnqBW_badge.png,a14R0000004sdR0IAI,,In-stock,true,false,true,false,false,a19R0000003TaGxIAK,,,,,,,0,100,4000,6,a14R0000004sdR0IAI,false,false,false,false,2018-10-06,Specific Date,,,,Registration,Annual Meeting (Community Event),true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Access all areas of the event including all sessions, and exhibits.</p>",a14R0000004sdQpIAI,,false,,a22R0000001k1CZIAY
Networking POV,a14R0000004sdRrIAI,,false,,,Get a free pass to the Networking Event Only,a14R0000004sdQvIAI,true,,,false,true,false,false,true,,a1mR0000001R1zcIAC,,a0UR0000007qzjqMAA,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/DuwTnqBW_badge.png,a14R0000004sdQoIAI,,In-stock,true,false,true,false,false,a19R0000003TaGxIAK,,,,,,,0,90,,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,Registration,FON-Annual Meeting (Community Event),true,,false,<p>Refunds shall be processed within 30 days. For any additional questions please contact us on info@mail.com</p>,,,,,false,,a22R0000001k1CaIAI
VIP Registration,a14R0000004sdRrIAI,,true,a14R0000004sdQsIAI,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",a14R0000004sdQvIAI,true,,,true,true,false,false,true,,a1mR0000001R1zcIAC,0,a0UR0000007qzjqMAA,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/HNTgLslo_badge.png,a14R0000004sdR0IAI,,In-stock,true,false,true,false,false,a19R0000003TaGxIAK,,,,,,,0,200,3000,2,a14R0000004sdR0IAI,false,false,false,false,2018-10-11,Specific Date,,,,Registration,Annual Meeting,true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Get full conference access, plus a backstage pass to meet our keynote speakers!</p>",a14R0000004sdQsIAI,,false,,a22R0000001k1CbIAI
