OrderApi__Package__c,OrderApi__Calculate_Pricing__c,OrderApi__Display_Button_Label__c,OrderApi__Display_Instructions__c,OrderApi__Display_Label__c,OrderApi__Display_Order__c,OrderApi__Is_Required__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Maximum_Quantity_Per_Item__c,OrderApi__Maximum_Quantity__c,OrderApi__Minimum_Quantity__c,EventApi__Event__c,EventApi__Schedule_Item__c,EventApi__Sponsor_Package__c,EventApi__Ticket_Type__c,OrderApi__Display_Item__c,OrderApi__Foreign_Key_Id__c,OrderApi__Group_Header__c,OrderApi__Group_Instructions_Text__c,OrderApi__Is_Group__c,OrderApi__Is_Recommended__c,OrderApi__Number_of_Free_Items__c,Errors,Id
a1BR0000005WlC6MAK,false,Add to Cart,,,0,false,a19R0000003TaBLIA0,,0,0,0,,,,a22R0000001k14QIAQ,true,,,,false,false,,,a1FR0000005koSuMAI
a1BR0000005WlCeMAK,false,Add to Cart,,,0,false,a19R0000003TaBOIA0,,0,0,0,,,,a22R0000001k14RIAQ,true,,,,false,false,,,a1FR0000005koSvMAI
a1BR0000005WlEUMA0,false,Add to Cart,,,0,false,a19R0000003TaBeIAK,,0,0,0,,,,a22R0000001k13RIAQ,true,,,,false,false,,,a1FR0000005koSwMAI
a1BR0000005WlFsMAK,false,,,Merchandise Items,0,false,a19R0000003TaCHIA0,,,,,,,,a22R0000001k13bIAA,false,,,,false,false,,,a1FR0000005koSxMAI
a1BR0000005WlFtMAK,false,,,Merchandise Items,0,false,a19R0000003TaCHIA0,,,,,,,,a22R0000001k13cIAA,false,,,,false,false,,,a1FR0000005koSyMAI
a1BR0000005WlCvMAK,false,,,Merchandise Items,0,false,a19R0000003TaCHIA0,,,,,,,,a22R0000001k13mIAA,false,,,,false,false,,,a1FR0000005koSzMAI
a1BR0000005WlFsMAK,false,,,Become a Sponsor,0,false,a19R0000003TaBuIAK,,,,,,,,a22R0000001k13bIAA,false,,,,false,false,,,a1FR0000005koT0MAI
a1BR0000005WlFtMAK,false,,,Become a Sponsor,0,false,a19R0000003TaBuIAK,,,,,,,,a22R0000001k13cIAA,false,,,,false,false,,,a1FR0000005koT1MAI
a1BR0000005WlCvMAK,false,,,Become a Sponsor,0,false,a19R0000003TaBuIAK,,,,,,,,a22R0000001k13mIAA,false,,,,false,false,,,a1FR0000005koT2MAI
a1BR0000005WlDUMA0,true,,,Become a Local Chapter Member,0,true,,a1BR0000005WlBkMAK,0,1,1,,,,,true,,,,false,false,,,a1FR0000005koT3MAI
a1BR0000005WlJtMAK,false,,,Package Item,0,false,,a1BR0000005WlBkMAK,,,1,,,,,false,,,,false,false,,,a1FR0000005koT4MAI
a1BR0000005WlJwMAK,false,Add to Cart,,,0,false,,,1,1,1,,,,,false,nguuZNXeKpvHgmi,AIA Test,,true,false,,,a1FR0000005koT5MAI
a1BR0000005WlJwMAK,false,Add to Cart,,,0,false,,a1BR0000005WlCGMA0,0,0,1,,,,,false,nguuZNXeKpvHgmi,,,false,false,,,a1FR0000005koT6MAI
a1BR0000005WlJRMA0,false,Add to Cart,,,0,false,,,1,1,1,,,,,false,A8w3ozIquA3Tz65,training,,true,false,,,a1FR0000005koT7MAI
