Name,OrderApi__End_Date__c,OrderApi__Is_Active__c,OrderApi__Is_Default__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Limit_Per_Account__c,OrderApi__Limit_Per_Contact__c,OrderApi__Max_Assignments__c,OrderApi__Max_Num_Available__c,OrderApi__Max_Quantity__c,OrderApi__Min_Assignments__c,OrderApi__Min_Quantity__c,OrderApi__Num_Times_Used__c,OrderApi__Price__c,OrderApi__Required_Badge_Types__c,OrderApi__Required_Source_Codes__c,OrderApi__Required_Subscription_Plans__c,OrderApi__Start_Date__c,EventApi__Schedule_Item__c,EventApi__Ticket_Type__c,PriceApi__Bulk_Price_Rule__c,EventApi__Is_Early_Bird_Price__c,EventApi__Is_On_Site_Price__c,OrderApi__Is_Promotional_Price__c,OrderApi__Tax_Inclusive_Price__c,OrderApi__Additional_Currencies_JSON__c,Errors,Id
DEFAULT,,true,true,,a1BR0000005WmyXMAS,,,,,,,,0,0,,,,,a1rR0000000znzcIAA,,,false,false,false,0,,,a1KR0000004y1c9MAA
DEFAULT,,true,true,,a1BR0000005WmyYMAS,,,,,,,,0,25,,,,,a1rR0000000znzdIAA,,,false,false,false,25,,,a1KR0000004y1cAMAQ
DEFAULT,,true,true,,a1BR0000005WmyZMAS,,,,,,,,0,0,,,,,a1rR0000000znzeIAA,,,false,false,false,0,,,a1KR0000004y1cBMAQ
DEFAULT,,true,true,,a1BR0000005WmyaMAC,,,,,,,,0,0,,,,,a1rR0000000znzoIAA,,,false,false,false,0,,,a1KR0000004y1cCMAQ
DEFAULT,,true,true,,a1BR0000005WmybMAC,,,,,,,,0,0,,,,,a1rR0000000znzpIAA,,,false,false,false,0,,,a1KR0000004y1cDMAQ
DEFAULT,,true,true,,a1BR0000005WmycMAC,,,,,,,,0,0,,,,,a1rR0000000znzqIAA,,,false,false,false,0,,,a1KR0000004y1cEMAQ
DEFAULT,,true,true,,a1BR0000005WmydMAC,,,,,,,,0,4000,,,,,,,,false,false,false,4000,,,a1KR0000004y1cFMAQ
DEFAULT,,true,true,,a1BR0000005Wmz8MAC,,,,,,,,0,10000,,,,,,,,false,false,false,10000,,,a1KR0000004y1cGMAQ
DEFAULT,,true,true,,a1BR0000005Wmz9MAC,,,,,,,,0,6000,,,,,,,,false,false,false,6000,,,a1KR0000004y1cHMAQ
DEFAULT,,true,true,,a1BR0000005WmzAMAS,,,,,,,,0,20,,,,,,,,false,false,false,20,,,a1KR0000004y1cIMAQ
DEFAULT,,true,true,,a1BR0000005WmzDMAS,,,,,,,,0,100,,,,,,a22R0000001k1D0IAI,,false,false,false,100,,,a1KR0000004y1cJMAQ
DEFAULT,,true,true,,a1BR0000005WmzEMAS,,,,,,,,0,90,,,,,,a22R0000001k1D1IAI,,false,false,false,90,,,a1KR0000004y1cKMAQ
DEFAULT,,true,true,,a1BR0000005WmzFMAS,,,,,,,,0,200,,,,,,a22R0000001k1D2IAI,,false,false,false,200,,,a1KR0000004y1cLMAQ
Early Bird Price,2022-02-28,true,false,,a1BR0000005WmzDMAS,,,,,,,,0,80,,,,2022-02-13,,a22R0000001k1D0IAI,,true,false,false,80,,,a1KR0000004y1cMMAQ
Discount code,,true,false,,a1BR0000005WmzDMAS,,,,,,,,0,70,,a1N4W000008fTokUAE,,,,a22R0000001k1D0IAI,,false,false,false,70,,,a1KR0000004y1cNMAQ
DEFAULT,,true,true,,a1BR0000005WmzGMAS,,,,,,,,0,5000,,,,,,,,false,false,false,5000,,,a1KR0000004y1cOMAQ
DEFAULT,,true,true,,a1BR0000005WmziMAC,,,,,,,,0,10000,,,,,,,,false,false,false,10000,,,a1KR0000004y1cPMAQ
DEFAULT,,true,true,,a1BR0000005WmzjMAC,,,,,,,,0,7500,,,,,,,,false,false,false,7500,,,a1KR0000004y1cQMAQ
DEFAULT,,true,true,,a1BR0000005WmzkMAC,,,,,,,,5,100,,,,,,a22R0000001k1D3IAI,,false,false,false,100,,,a1KR0000004y1cRMAQ
DEFAULT,,true,true,,a1BR0000005WmzlMAC,,,,,,,,1,200,,,,,,a22R0000001k1D4IAI,,false,false,false,200,,,a1KR0000004y1cSMAQ
Member VIP Registration,,true,false,,a1BR0000005WmzlMAC,,,,,,,,0,150,a0k4W00000CpmSEQAZ,,,,,a22R0000001k1D4IAI,,false,false,false,150,,,a1KR0000004y1cTMAQ
DEFAULT,,true,true,,a1BR0000005WmzmMAC,,,,,,,,0,4000,,,,,,,,false,false,false,4000,,,a1KR0000004y1cUMAQ
DEFAULT,,true,true,,a1BR0000005WmznMAC,,,,,,,,0,10000,,,,,,,,false,false,false,10000,,,a1KR0000004y1cVMAQ
DEFAULT,,true,true,,a1BR0000005WmzpMAC,,,,,,,,5,25,,,,,a1rR0000000znzrIAA,,,false,false,false,25,,,a1KR0000004y1cWMAQ
DEFAULT,,true,true,,a1BR0000005WmzqMAC,,,,,,,,1,25,,,,,a1rR0000000znzsIAA,,,false,false,false,25,,,a1KR0000004y1cXMAQ
DEFAULT,,true,true,,a1BR0000005Wn0QMAS,,,,,,,,0,0,,,,,a1rR0000000znztIAA,,,false,false,false,0,,,a1KR0000004y1cYMAQ
DEFAULT,,true,true,,a1BR0000005Wn0HMAS,,,,,,,,6,0,,,,,a1rR0000000znzuIAA,,,false,false,false,0,,,a1KR0000004y1cZMAQ
DEFAULT,,true,true,,a1BR0000005Wn0IMAS,,,,,,,,5,25,,,,,a1rR0000000znzvIAA,,,false,false,false,25,,,a1KR0000004y1caMAA
DEFAULT,,true,true,,a1BR0000005Wn0JMAS,,,,,,,,0,0,,,,,a1rR0000000znzwIAA,,,false,false,false,0,,,a1KR0000004y1cbMAA
DEFAULT,,true,true,,a1BR0000005Wn0KMAS,,,,,,,,6,0,,,,,a1rR0000000zo06IAA,,,false,false,false,0,,,a1KR0000004y1ccMAA
DEFAULT,,true,true,,a1BR0000005Wn0LMAS,,,,,,,,5,0,,,,,a1rR0000000zo07IAA,,,false,false,false,0,,,a1KR0000004y1cdMAA
DEFAULT,,true,true,,a1BR0000005Wn0MMAS,,,,,,,,0,0,,,,,a1rR0000000zo08IAA,,,false,false,false,0,,,a1KR0000004y1ceMAA
DEFAULT,,true,true,,a1BR0000005WmzoMAC,,,,,,,,0,6000,,,,,,,,false,false,false,6000,,,a1KR0000004y1cfMAA
DEFAULT,,true,true,,a1BR0000005WmyJMAS,,,,,,,,0,0,,,,,a1rR0000000znyFIAQ,,,false,false,false,0,,,a1KR0000004y1cgMAA
DEFAULT,,true,true,,a1BR0000005WmyKMAS,,,,,,,,1,1500,,,,,,,,false,false,false,1500,,,a1KR0000004y1chMAA
DEFAULT,,true,true,,a1BR0000005WmvyMAC,,,,,,,,2,200,,,,,,a22R0000001k1CuIAI,,false,false,false,200,,,a1KR0000004y1ciMAA
DEFAULT,,true,true,,a1BR0000005Wmw0MAC,,,,,,,,1,100,,,,,,a22R0000001k1CvIAI,,false,false,false,100,,,a1KR0000004y1cjMAA
DEFAULT,,true,true,,a1BR0000005Wmw1MAC,,,,,,,,0,0,,,,,a1rR0000000znxdIAA,,,false,false,false,0,,,a1KR0000004y1ckMAA
DEFAULT,,true,true,,a1BR0000005Wmw2MAC,,,,,,,,3,0,,,,,a1rR0000000znxeIAA,,,false,false,false,0,,,a1KR0000004y1clMAA
DEFAULT,,true,true,,a1BR0000005Wmw3MAC,,,,,,,,0,0,,,,,a1rR0000000znxfIAA,,,false,false,false,0,,,a1KR0000004y1cmMAA
DEFAULT,,true,true,,a1BR0000005Wmw4MAC,,,,,,,,3,0,,,,,a1rR0000000znxgIAA,,,false,false,false,0,,,a1KR0000004y1cnMAA
DEFAULT,,true,true,,a1BR0000005WmvzMAC,,,,,,,,3,25,,,,,a1rR0000000znxhIAA,,,false,false,false,25,,,a1KR0000004y1coMAA
DEFAULT,,true,true,,a1BR0000005WmwYMAS,,,,,,,,0,25,,,,,a1rR0000000znxiIAA,,,false,false,false,25,,,a1KR0000004y1cpMAA
DEFAULT,,true,true,,a1BR0000005WmwZMAS,,,,,,,,3,25,,,,,a1rR0000000znxjIAA,,,false,false,false,25,,,a1KR0000004y1cqMAA
DEFAULT,,true,true,,a1BR0000005WmwaMAC,,,,,,,,0,0,,,,,a1rR0000000znxtIAA,,,false,false,false,0,,,a1KR0000004y1crMAA
DEFAULT,,true,true,,a1BR0000005WmwbMAC,,,,,,,,3,0,,,,,a1rR0000000znxuIAA,,,false,false,false,0,,,a1KR0000004y1csMAA
DEFAULT,,true,true,,a1BR0000005WmwcMAC,,,,,,,,0,4000,,,,,,,,false,false,false,4000,,,a1KR0000004y1ctMAA
DEFAULT,,true,true,,a1BR0000005WmwdMAC,,,,,,,,0,6000,,,,,,,,false,false,false,6000,,,a1KR0000004y1cuMAA
DEFAULT,,true,true,,a1BR0000005WmweMAC,,,,,,,,0,10000,,,,,,,,false,false,false,10000,,,a1KR0000004y1cvMAA
DEFAULT,,true,true,,a1BR0000005Wmx8MAC,,,,,,,,2,5000,,,,,,,,false,false,false,5000,,,a1KR0000004y1cwMAA
DEFAULT,,true,true,,a1BR0000005Wn0NMAS,,,,,,,,0,120,,,,,,a22R0000001k1D5IAI,,false,false,false,120,,,a1KR0000004y1cxMAA
DEFAULT,,true,true,,a1BR0000005Wn0OMAS,,,,,,,,0,10,,,,,a1rR0000000zo09IAA,,,false,false,false,10,,,a1KR0000004y1cyMAA
Member Price,,true,false,,a1BR0000005Wn0NMAS,,,,,,,,0,100,a0k4W00000CpmSEQAZ,,,,,a22R0000001k1D5IAI,,false,false,false,100,,,a1KR0000004y1czMAA
DEFAULT,,true,true,,a1BR0000005Wn0PMAS,,,,,,,,0,100,,,,,,a22R0000001k1D6IAI,,false,false,false,100,,,a1KR0000004y1d0MAA
DEFAULT,,true,true,,a1BR0000005Wn0tMAC,,,,,,,,0,200,,,,,,a22R0000001k1D7IAI,,false,false,false,200,,,a1KR0000004y1d1MAA
Member VIP Registration,,true,false,,a1BR0000005Wn0tMAC,,,,,,,,0,150,a0k4W00000CpmSEQAZ,,,,,a22R0000001k1D7IAI,,false,false,false,150,,,a1KR0000004y1d2MAA
DEFAULT,,true,true,,a1BR0000005Wn0uMAC,,,,,,,,0,25,,,,,a1rR0000000zo0AIAQ,,,false,false,false,25,,,a1KR0000004y1d3MAA
DEFAULT,,true,true,,a1BR0000005Wn0vMAC,,,,,,,,0,25,,,,,a1rR0000000zo0BIAQ,,,false,false,false,25,,,a1KR0000004y1d4MAA
