Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Adjustment_Account__c,OrderApi__Assign_to_Item__c,OrderApi__Assignment_Badge_Types_CSV__c,OrderApi__Assignment_SObject__c,OrderApi__Assignments_Display_Label__c,OrderApi__Business_Group__c,OrderApi__Cost__c,OrderApi__Defer_Revenue__c,OrderApi__Deferred_Revenue_Account__c,OrderApi__Deferred_Revenue_Term__c,OrderApi__Description__c,OrderApi__Disable_Price_Rules__c,OrderApi__Disable_Scheduling__c,OrderApi__Discount_Account__c,OrderApi__Display_Name__c,OrderApi__Download_File_Location__c,OrderApi__Download_File_Name__c,OrderApi__Download_File_Type__c,OrderApi__EAN__c,OrderApi__Enable_Access_Permissions__c,OrderApi__Enable_Assignments__c,OrderApi__Enable_Shipping__c,OrderApi__Features_List__c,OrderApi__Flex_Day_of_the_Month__c,OrderApi__Form__c,OrderApi__ISBN__c,OrderApi__Image_Path__c,OrderApi__Income_Account__c,OrderApi__Interview_Form_Display_Label__c,OrderApi__Is_Active__c,OrderApi__Is_Contribution__c,OrderApi__Is_Default_Shipping_Rate__c,OrderApi__Is_Default_Tax_Rate__c,OrderApi__Is_Downloadable__c,OrderApi__Is_Event__c,OrderApi__Is_Inventoried__c,OrderApi__Is_Publication__c,OrderApi__Is_Service__c,OrderApi__Is_Shipping_Rate__c,OrderApi__Is_Subscription__c,OrderApi__Is_Tax_Deductible__c,OrderApi__Is_Tax__c,OrderApi__Is_Taxable__c,OrderApi__Item_Class__c,OrderApi__Item_Weight_UOM__c,OrderApi__Item_Weight__c,OrderApi__Line_Description__c,OrderApi__Maximum_Number_of_Assignments__c,OrderApi__Maximum_Number_of_Downloads__c,OrderApi__Maximum_Value__c,OrderApi__Maximum_Weight__c,OrderApi__Minimum_Value__c,OrderApi__Minimum_Weight__c,OrderApi__Not_For_Individual_Sale__c,OrderApi__Price__c,OrderApi__Refund_Account__c,OrderApi__Require_Assignments__c,OrderApi__Require_Shipping__c,OrderApi__Restrict_Number_of_Assignments__c,OrderApi__Restrict_Number_of_Downloads__c,OrderApi__Revenue_Recognition_Date__c,OrderApi__Revenue_Recognition_Rule__c,OrderApi__Revenue_Recognition_Term_Rule__c,OrderApi__SKU__c,OrderApi__Shipping_Method__c,OrderApi__Shipping_Region__c,OrderApi__Subscription_Plan_Display_Label__c,OrderApi__Tax_Class__c,OrderApi__Tax_Locale__c,OrderApi__Tax_Percent__c,OrderApi__UPC__c,OrderApi__Package_Items__c,OrderApi__Required_Package_Items__c,EventApi__Schedule_Item__c,EventApi__Sponsor_Package__c,EventApi__Ticket_Type__c,ROEApi__Item_Class_Name__c,ProgramApi__Is_Program_Fee__c,ProgramApi__Is_Program_Maintenance_Fee__c,ProgramApi__Program__c,OrderApi__Require_PreAuthorized_Payment__c,OrderApi__AR_Account__c,OrderApi__Invoice_Payment_Priority__c,OrderApi__Add_to_Cart_Button_Label_Override__c,OrderApi__Add_to_Cart_Button_Override__c,OrderApi__Assignment_Instructions__c,OrderApi__Enable_Cancellation_Request__c,OrderApi__Enable_MidTerm_Changes__c,OrderApi__Inventory_Message__c,OrderApi__Inventory__c,OrderApi__Parent_Item__c,OrderApi__Renewal_Form__c,OrderApi__eStore_Description__c,OrderApi__eStore_Short_Description__c,OrderApi__Item__c,LastViewedDate,LastReferencedDate,OrderApi__Adjustment_Account__r.Name,OrderApi__Business_Group__r.Name,OrderApi__Deferred_Revenue_Account__r.Name,OrderApi__Discount_Account__r.Name,OrderApi__Form__r.Name,OrderApi__Income_Account__r.Name,OrderApi__Item_Class__r.External_Id__c,OrderApi__Refund_Account__r.Name,OrderApi__Shipping_Method__r.Name,OrderApi__Shipping_Region__r.Name,OrderApi__Tax_Class__r.External_Id__c,OrderApi__Tax_Locale__r.Name,EventApi__Schedule_Item__r.External_Id__c,EventApi__Sponsor_Package__r.External_Id__c,EventApi__Ticket_Type__r.External_Id__c,ProgramApi__Program__r.Name,OrderApi__AR_Account__r.Name,OrderApi__Renewal_Form__r.Name,OrderApi__Item__r.External_Id__c
a154W000008mjljQAA,false,VIP Registration,1,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,RESERVED,,a0o4W00000MOvweQAD,0,false,,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",false,false,a104W00000FuSx7QAF,VIP Registration (test1),,,,,false,true,false,,,a0S4W00000WTI2bUAH,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JNChCOwT_vip_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICHQA2,,,,,,,,,,false,200,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,,,a1j4W00000RiPlHQAV,c7a927dd-4d1f-4-Ticket Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",,,,,6100 - Adjustments,FON-International Association,,6000 - Expenses,FON-Lightning Events Registration Form,4000 - Income,22,4000 - Income,,,,,,,46,,1100 - Accounts Receivable,,
a154W000008mjlwQAA,false,Full Conference Pass,2,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,RESERVED,,a0o4W00000MOvweQAD,0,false,,,Access all areas of the event including all sessions and exhibits.,false,false,a104W00000FuSx7QAF,Full Conference Pass (test2),,,,,false,true,false,,,a0S4W00000WTI2bUAH,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/lXIIWVPG_conference_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICKQA2,,,,,,,,,,false,100,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,,,a1j4W00000RiPlIQAV,27d2234c-d627-4-Ticket Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,Access all areas of the event including all sessions and exhibits.,,,,,6100 - Adjustments,FON-International Association,,6000 - Expenses,FON-Lightning Events Registration Form,4000 - Income,25,4000 - Income,,,,,,,47,,1100 - Accounts Receivable,,
a154W000008mjlxQAA,false,VIP Registration,3,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,RESERVED,,a0o4W00000MOvweQAD,0,false,,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",false,false,a104W00000FuSx7QAF,VIP Registration (test2),,,,,false,true,false,,,a0S4W00000WTI2bUAH,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JNChCOwT_vip_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICKQA2,,,,,,,,,,false,200,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,,,a1j4W00000RiPlJQAV,27d2234c-d627-4-Ticket Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",,,,,6100 - Adjustments,FON-International Association,,6000 - Expenses,FON-Lightning Events Registration Form,4000 - Income,25,4000 - Income,,,,,,,48,,1100 - Accounts Receivable,,
a154W000008mjlkQAA,false,Advanced Discussion,4,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,EventApi__Attendee__c,,a0o4W00000MOvweQAD,0,false,,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,false,false,a104W00000FuSwjQAF,Advanced Discussion,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a104W00000FuSwmQAF,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICIQA2,,,,,,,,,,false,25,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,a1d4W00000ivfZWQAY,,,c7a927dd-4d1f-4-Schedule Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,,,,,6100 - Adjustments,FON-International Association,,1000 - Cash,,4000 - Income,23,4000 - Income,,,,,5,,,,1100 - Accounts Receivable,,
a154W000008mjllQAA,false,Beginner Workshop,5,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,EventApi__Attendee__c,,a0o4W00000MOvweQAD,0,false,,,<p>New around here? Check out our Beginner Workshop to get a feel for what we are all about and meet more people like you!</p>,false,false,a104W00000FuSwjQAF,Beginner Workshop,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a104W00000FuSwmQAF,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICIQA2,,,,,,,,,,false,25,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,a1d4W00000ivfZXQAY,,,c7a927dd-4d1f-4-Schedule Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,<p>New around here? Check out our Beginner Workshop to get a feel for what we are all about and meet more people like you!</p>,,,,,6100 - Adjustments,FON-International Association,,1000 - Cash,,4000 - Income,23,4000 - Income,,,,,6,,,,1100 - Accounts Receivable,,
a154W000008mjlmQAA,false,Conferece Check In,6,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,EventApi__Attendee__c,,a0o4W00000MOvweQAD,0,false,,,<p>Please check in when you arrive at the symposium.</p>,false,false,a104W00000FuSwjQAF,Conference Check In,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a104W00000FuSwmQAF,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICIQA2,,,,,,,,,,false,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,a1d4W00000ivfZYQAY,,,c7a927dd-4d1f-4-Schedule Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,<p>Please check in when you arrive at the symposium.</p>,,,,,6100 - Adjustments,FON-International Association,,1000 - Cash,,4000 - Income,23,4000 - Income,,,,,7,,,,1100 - Accounts Receivable,,
a154W000008mjlnQAA,false,Keynote Speech,7,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,EventApi__Attendee__c,,a0o4W00000MOvweQAD,0,false,,,"<p>Welcome to the Conference. Attend our Keynote Speech for inspiration from Gerald Frank, Vice President of ABC Corporation.</p>",false,false,a104W00000FuSwjQAF,Keynote Speech,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a104W00000FuSwmQAF,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICIQA2,,,,,,,,,,false,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,a1d4W00000ivfZZQAY,,,c7a927dd-4d1f-4-Schedule Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,"<p>Welcome to the Conference. Attend our Keynote Speech for inspiration from Gerald Frank, Vice President of ABC Corporation.</p>",,,,,6100 - Adjustments,FON-International Association,,1000 - Cash,,4000 - Income,23,4000 - Income,,,,,8,,,,1100 - Accounts Receivable,,
a154W000008mjloQAA,false,Leadership Workshop,8,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,EventApi__Attendee__c,,a0o4W00000MOvweQAD,0,false,,,<p>Attend this session to sharpen your leadership skills.</p>,false,false,a104W00000FuSwjQAF,Leadership Workshop,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a104W00000FuSwmQAF,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICIQA2,,,,,,,,,,false,25,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,a1d4W00000ivfZaQAI,,,c7a927dd-4d1f-4-Schedule Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,<p>Attend this session to sharpen your leadership skills.</p>,,,,,6100 - Adjustments,FON-International Association,,1000 - Cash,,4000 - Income,23,4000 - Income,,,,,18,,,,1100 - Accounts Receivable,,
a154W000008mjlpQAA,false,Luncheon,9,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,EventApi__Attendee__c,,a0o4W00000MOvweQAD,0,false,,,<p>Join us for a complimentary luncheon on Wednesday. This is a great networking opportunity for both new and returning members.</p>,false,false,a104W00000FuSwjQAF,Luncheon,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a104W00000FuSwmQAF,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hICIQA2,,,,,,,,,,false,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,a1d4W00000ivfZbQAI,,,c7a927dd-4d1f-4-Schedule Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,<p>Join us for a complimentary luncheon on Wednesday. This is a great networking opportunity for both new and returning members.</p>,,,2020-09-15T09:27:35.000+0000,2020-09-15T09:27:35.000+0000,6100 - Adjustments,FON-International Association,,1000 - Cash,,4000 - Income,23,4000 - Income,,,,,19,,,,1100 - Accounts Receivable,,
a154W000008mjo5QAA,false,VIP Registration,10,2020-08-28T02:16:22.000+0000,2020-09-24T10:13:58.000+0000,2020-09-24T10:13:58.000+0000,a104W00000FuSxmQAF,false,,RESERVED,,a0o4W00000MOvweQAD,0,false,,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",false,false,a104W00000FuSx7QAF,VIP Registration (ctest),,,,,false,true,false,,,a0S4W00000WTI2bUAH,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JNChCOwT_vip_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a134W000008hIClQAM,,,,,,,,,,false,200,a104W00000FuSwmQAF,false,false,false,false,,,,,,,,,,,,0,0,,,a1j4W00000RiPlbQAF,d016497a-063a-4-Ticket Class,false,false,,false,a104W00000FuSwkQAF,,,,,false,false,,,false,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",,,,,6100 - Adjustments,FON-International Association,,6000 - Expenses,FON-Lightning Events Registration Form,4000 - Income,52,4000 - Income,,,,,,,66,,1100 - Accounts Receivable,,
