Name,EventApi__Enable_Transition_for_Status__c,EventApi__Event__c,EventApi__Is_Current_Status_for_Event__c,EventApi__Is_Event_Active__c,EventApi__Is_Event_Published__c,EventApi__Order__c,EventApi__Status_Transition_Criteria__c,EventApi__Closed_Status_Text__c,EventApi__Filter_Transition_Criteria__c,Errors,Id
Planned,false,a1mR0000001R1xQIAS,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,,a1lR000000262jOIAQ
Active,false,a1mR0000001R1xRIAS,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,,a1lR000000262jPIAQ
Closed,false,a1mR0000001R1xRIAS,false,false,true,3,EventApi__End_Date__c < TODAY,,,,a1lR000000262jQIAQ
Planned,false,a1mR0000001R1xRIAS,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,,a1lR000000262jRIAQ
Active,false,a1mR0000001R1xTIAS,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,,a1lR000000262jSIAQ
Closed,false,a1mR0000001R1xTIAS,false,false,true,3,EventApi__End_Date__c < TODAY,,,,a1lR000000262jTIAQ
Planned,false,a1mR0000001R1xTIAS,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,,a1lR000000262jUIAQ
Active,false,a1mR0000001R1xUIAS,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,,a1lR000000262jVIAQ
Closed,false,a1mR0000001R1xUIAS,false,false,true,3,EventApi__End_Date__c < TODAY,,,,a1lR000000262jWIAQ
Planned,false,a1mR0000001R1xUIAS,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,,a1lR000000262jXIAQ
Active,false,a1mR0000001R1xVIAS,true,true,true,1,,,,,a1lR000000262jYIAQ
Closed,false,a1mR0000001R1xVIAS,false,false,true,2,,,,,a1lR000000262jZIAQ
Planned,false,a1mR0000001R1xVIAS,false,false,false,0,,,,,a1lR000000262jaIAA
Active,false,a1mR0000001R1xWIAS,true,true,true,2,,,,,a1lR000000262jbIAA
Closed,false,a1mR0000001R1xWIAS,false,false,true,3,,,,,a1lR000000262jcIAA
Planned,false,a1mR0000001R1xWIAS,false,false,false,1,,,,,a1lR000000262jdIAA
Planned,false,a1mR0000001R1xSIAS,false,false,false,0,,,,,a1lR000000262jeIAA
Active,false,a1mR0000001R1xSIAS,false,true,true,1,,,,,a1lR000000262jfIAA
Closed,false,a1mR0000001R1xSIAS,true,false,false,2,,,,,a1lR000000262jgIAA
Planned,false,a1mR0000001R1xKIAS,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,,a1lR000000262jhIAA
Active,false,a1mR0000001R1xKIAS,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,,a1lR000000262jiIAA
Closed,false,a1mR0000001R1xKIAS,false,false,true,3,EventApi__End_Date__c < TODAY,,,,a1lR000000262jjIAA
Planned,false,a1mR0000001R1xLIAS,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,,a1lR000000262jkIAA
Active,false,a1mR0000001R1xLIAS,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,,a1lR000000262jlIAA
Closed,false,a1mR0000001R1xLIAS,false,false,true,3,EventApi__End_Date__c < TODAY,,,,a1lR000000262jmIAA
Planned,false,a1mR0000001R1xMIAS,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,,a1lR000000262jnIAA
Active,false,a1mR0000001R1xMIAS,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,,a1lR000000262joIAA
Closed,false,a1mR0000001R1xMIAS,false,false,true,3,EventApi__End_Date__c < TODAY,,,,a1lR000000262jpIAA
Planned,false,a1mR0000001R1xNIAS,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,,a1lR000000262jqIAA
Active,false,a1mR0000001R1xNIAS,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,,a1lR000000262jrIAA
Closed,false,a1mR0000001R1xNIAS,false,false,true,3,EventApi__End_Date__c < TODAY,,,,a1lR000000262jsIAA
Planned,false,a1mR0000001R1xOIAS,false,false,false,1,,,,,a1lR000000262jtIAA
Active,false,a1mR0000001R1xOIAS,true,true,true,2,,,,,a1lR000000262juIAA
Closed,false,a1mR0000001R1xOIAS,false,false,true,3,,,,,a1lR000000262jvIAA
Active,false,a1mR0000001R1xPIAS,true,true,true,2,,,,,a1lR000000262jwIAA
Closed,false,a1mR0000001R1xPIAS,false,false,true,3,,,,,a1lR000000262jxIAA
Planned,false,a1mR0000001R1xPIAS,false,false,false,1,,,,,a1lR000000262jyIAA
Active,false,a1mR0000001R1xQIAS,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,,a1lR000000262jzIAA
Closed,false,a1mR0000001R1xQIAS,false,false,true,3,EventApi__End_Date__c < TODAY,,,,a1lR000000262k0IAA
