Id,EventApi__Event_Category__c,EventApi__Schedule_Item_Item_Class__c,EventApi__Sponsor_Item_Class__c,EventApi__Ticket_Type_Item_Class__c,Errors
a1mR0000001R1xKIAS,a1gR0000002Zu3oIAC,,,a19R0000003TZtTIAW,
a1mR0000001R1xLIAS,a1gR0000002Zu3oIAC,,,a19R0000003TZtUIAW,
a1mR0000001R1xMIAS,a1gR0000002Zu3oIAC,a19R0000003TZtWIAW,,a19R0000003TZtVIAW,
a1mR0000001R1xNIAS,a1gR0000002Zu3oIAC,,,a19R0000003TZtXIAW,
a1mR0000001R1xOIAS,a1gR0000002Zu3oIAC,a19R0000003TZtaIAG,a19R0000003TZtbIAG,a19R0000003TZtZIAW,
a1mR0000001R1xPIAS,a1gR0000002Zu3oIAC,a19R0000003TZuWIAW,a19R0000003TZuNIAW,a19R0000003TZuMIAW,
a1mR0000001R1xQIAS,a1gR0000002Zu3oIAC,,a19R0000003TZuPIAW,a19R0000003TZuOIAW,
a1mR0000001R1xRIAS,a1gR0000002Zu3oIAC,a19R0000003TZuXIAW,a19R0000003TZuRIAW,a19R0000003TZuQIAW,
a1mR0000001R1xSIAS,a1gR0000002Zu3oIAC,a19R0000003TZuCIAW,a19R0000003TZuDIAW,a19R0000003TZuBIAW,
a1mR0000001R1xTIAS,a1gR0000002Zu3oIAC,,a19R0000003TZuTIAW,a19R0000003TZuSIAW,
a1mR0000001R1xUIAS,a1gR0000002Zu3oIAC,,a19R0000003TZuVIAW,a19R0000003TZuUIAW,
a1mR0000001R1xVIAS,a1gR0000002Zu3oIAC,a19R0000003TZsCIAW,a19R0000003TZsDIAW,a19R0000003TZsBIAW,
a1mR0000001R1xWIAS,a1gR0000002Zu3oIAC,a19R0000003TZsHIAW,,a19R0000003TZsGIAW,
a1mR0000001R1xXIAS,a1gR0000002Zu3qIAC,,,a19R0000003TZs7IAG,
