Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Description__c,OrderApi__Is_Active__c,OrderApi__Is_Default__c,OrderApi__Is_Primary__c,OrderApi__Item_Class__c,OrderApi__Receives_Email_Notifications__c,OrderApi__Item_Class__r.External_Id__c
a0i4W00000Ywj4AQAR,false,Default Attendee,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,true,false,a134W000008hIDmQAM,false,1
a0i4W00000Ywj4BQAR,false,Primary Attendee,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,false,true,a134W000008hIDmQAM,false,1
a0i4W00000Ywj4CQAR,false,Default Attendee,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,true,false,a134W000008hIDnQAM,false,14
a0i4W00000Ywj4DQAR,false,Primary Attendee,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,false,true,a134W000008hIDnQAM,false,14
a0i4W00000Ywj4EQAR,false,Default Attendee,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,true,false,a134W000008hICBQA2,false,79
a0i4W00000Ywj4FQAR,false,Primary Attendee,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,false,true,a134W000008hICBQA2,false,79
a0i4W00000Ywj4GQAR,false,Default Attendee,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,true,false,a134W000008hIDoQAM,false,2
a0i4W00000Ywj4HQAR,false,Primary Attendee,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,false,true,a134W000008hIDoQAM,false,2
a0i4W00000Ywj4IQAR,false,Default Attendee,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,true,false,a134W000008hIDQQA2,false,5
a0i4W00000Ywj4JQAR,false,Primary Attendee,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:56.000+0000,2020-09-24T07:27:56.000+0000,,true,false,true,a134W000008hIDQQA2,false,5
