Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Item__c,EventApi__Adjustment_Account__c,EventApi__Allow_Conflicts__c,EventApi__Assignments_Display_Label__c,EventApi__Business_Group__c,EventApi__Capacity__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Disable_Registration__c,EventApi__Discount_Account__c,EventApi__Display_Name__c,EventApi__Duration__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Enable_Waitlist__c,EventApi__End_Date_Time__c,EventApi__End_Date__c,EventApi__End_Time__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Image_URL__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Is_Active__c,EventApi__Is_Automatically_Added__c,EventApi__Is_Contribution__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Remaining__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__Room__c,EventApi__SKU__c,EventApi__Session_End_Time__c,EventApi__Session_Start_Time__c,EventApi__Start_Date_Time__c,EventApi__Start_Date__c,EventApi__Start_Time__c,EventApi__Tax_Class__c,ROEApi__Event_Display_Name__c,ROEApi__Event_Name__c,EventApi__AR_Account__c,EventApi__Hide_During_Registration__c,EventApi__Invoice_Payment_Priority__c,EventApi__Required_for_Registration__c,LastViewedDate,LastReferencedDate,EventApi__Item__r.Id,EventApi__Adjustment_Account__r.Name,EventApi__Business_Group__r.Name,EventApi__Deferred_Revenue_Account__r.Name,EventApi__Discount_Account__r.Name,EventApi__Event_Category__r.Name,EventApi__Event__r.Name,EventApi__Form__r.Name,EventApi__Income_Account__r.Name,EventApi__Item_Class__r.Name,EventApi__Refund_Account__r.Name,EventApi__Room__r.Name,EventApi__Tax_Class__r.Name,EventApi__AR_Account__r.Name
a1d4W00000ivfZSQAY,false,Beginner Workshop,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a154W000008mjlbQAA,a104W00000FuSxmQAF,true,,a0o4W00000MOvweQAD,0,,false,,,<p>New around here? Check out our Beginner Workshop to get a feel for what we are all about and meet more people like you!</p>,false,a104W00000FuSwjQAF,Beginner Workshop,01:00,false,false,true,2020-12-11T16:00:00.000+0000,2020-12-11,: PM,a1X4W00000MAU9jUAH,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwmQAF,,true,false,false,false,false,a134W000008hICFQA2,,,25,5000,5000,0,a104W00000FuSwmQAF,false,false,,,,,,11:00 AM,10:00 AM,2020-12-11T15:00:00.000+0000,2020-12-11,: PM,,Annual Symposium 2020,,a104W00000FuSwkQAF,false,,false,2020-09-14T13:16:49.000+0000,2020-09-14T13:16:49.000+0000,a154W000008mjlbQAA,6100 - Adjustments,FON-International Association,,1000 - Cash,FON-Lightning Event Category,,,4000 - Income,cf7bbc41-ae72-4-Schedule Class,4000 - Income,,,1100 - Accounts Receivable
a1d4W00000ivfZTQAY,false,Advanced Discussion,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a154W000008mjlcQAA,a104W00000FuSxmQAF,true,,a0o4W00000MOvweQAD,0,,false,,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,false,a104W00000FuSwjQAF,Advanced Discussion,02:00,false,false,true,2020-12-11T18:00:00.000+0000,2020-12-11,: PM,a1X4W00000MAU9jUAH,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwmQAF,,true,false,false,false,false,a134W000008hICFQA2,,,25,5000,5000,0,a104W00000FuSwmQAF,false,false,,,,,,1:00 PM,11:00 AM,2020-12-11T16:00:00.000+0000,2020-12-11,: PM,,Annual Symposium 2020,,a104W00000FuSwkQAF,false,,false,,,a154W000008mjlcQAA,6100 - Adjustments,FON-International Association,,1000 - Cash,FON-Lightning Event Category,,,4000 - Income,cf7bbc41-ae72-4-Schedule Class,4000 - Income,,,1100 - Accounts Receivable
a1d4W00000ivfZUQAY,false,Luncheon,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a154W000008mjldQAA,a104W00000FuSxmQAF,true,,a0o4W00000MOvweQAD,0,,false,,,<p>Join us for a complimentary luncheon on Wednesday. This is a great networking opportunity for both new and returning members.</p>,false,a104W00000FuSwjQAF,Luncheon,01:15,false,false,false,2020-12-11T18:15:00.000+0000,2020-12-11,: PM,a1X4W00000MAU9jUAH,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwmQAF,,true,false,false,false,false,a134W000008hICFQA2,,,,7000,7000,0,a104W00000FuSwmQAF,false,false,,,,,,1:15 PM,12:00 PM,2020-12-11T17:00:00.000+0000,2020-12-11,: PM,,Annual Symposium 2020,,a104W00000FuSwkQAF,false,,false,,,a154W000008mjldQAA,6100 - Adjustments,FON-International Association,,1000 - Cash,FON-Lightning Event Category,,,4000 - Income,cf7bbc41-ae72-4-Schedule Class,4000 - Income,,,1100 - Accounts Receivable
a1d4W00000ivfZVQAY,false,Round Table Discussion II,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a154W000008mjleQAA,a104W00000FuSxmQAF,false,,a0o4W00000MOvweQAD,0,,false,,,<p>Join the Association Leaders for a discussion on exciting developments and roadmap of the organization.</p>,false,a104W00000FuSwjQAF,Round Table Discussion II,01:15,false,false,true,2020-12-11T21:15:00.000+0000,2020-12-11,: PM,a1X4W00000MAU9jUAH,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwmQAF,,true,false,false,false,false,a134W000008hICFQA2,,,,4000,4000,0,a104W00000FuSwmQAF,false,false,,,,,,4:15 PM,3:00 PM,2020-12-11T20:00:00.000+0000,2020-12-11,: PM,,Annual Symposium 2020,,a104W00000FuSwkQAF,false,,false,,,a154W000008mjleQAA,6100 - Adjustments,FON-International Association,,1000 - Cash,FON-Lightning Event Category,,,4000 - Income,cf7bbc41-ae72-4-Schedule Class,4000 - Income,,,1100 - Accounts Receivable
a1d4W00000ivfZWQAY,false,Advanced Discussion,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a154W000008mjlkQAA,a104W00000FuSxmQAF,true,,a0o4W00000MOvweQAD,0,,false,,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,false,a104W00000FuSwjQAF,Advanced Discussion,02:00,false,false,true,2020-07-28T18:00:00.000+0000,2020-07-28,: PM,a1X4W00000MAU9jUAH,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwmQAF,,false,false,false,false,false,a134W000008hICIQA2,,,25,5000,5000,0,a104W00000FuSwmQAF,false,false,,,,,,1:00 PM,11:00 AM,2020-07-28T16:00:00.000+0000,2020-07-28,: PM,,test1,,a104W00000FuSwkQAF,false,,false,,,a154W000008mjlkQAA,6100 - Adjustments,FON-International Association,,1000 - Cash,FON-Lightning Event Category,,,4000 - Income,c7a927dd-4d1f-4-Schedule Class,4000 - Income,,,1100 - Accounts Receivable
a1d4W00000ivfZXQAY,false,Beginner Workshop,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a154W000008mjllQAA,a104W00000FuSxmQAF,true,,a0o4W00000MOvweQAD,0,,false,,,<p>New around here? Check out our Beginner Workshop to get a feel for what we are all about and meet more people like you!</p>,false,a104W00000FuSwjQAF,Beginner Workshop,01:00,false,false,true,2020-07-28T16:00:00.000+0000,2020-07-28,: PM,a1X4W00000MAU9jUAH,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwmQAF,,false,false,false,false,false,a134W000008hICIQA2,,,25,5000,5000,0,a104W00000FuSwmQAF,false,false,,,,,,11:00 AM,10:00 AM,2020-07-28T15:00:00.000+0000,2020-07-28,: PM,,test1,,a104W00000FuSwkQAF,false,,false,,,a154W000008mjllQAA,6100 - Adjustments,FON-International Association,,1000 - Cash,FON-Lightning Event Category,,,4000 - Income,c7a927dd-4d1f-4-Schedule Class,4000 - Income,,,1100 - Accounts Receivable
a1d4W00000ivfZYQAY,false,Conferece Check In,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a154W000008mjlmQAA,a104W00000FuSxmQAF,true,,a0o4W00000MOvweQAD,0,,false,,,<p>Please check in when you arrive at the symposium.</p>,true,a104W00000FuSwjQAF,Conference Check In,03:00,false,false,false,2020-07-27T17:00:00.000+0000,2020-07-27,: PM,a1X4W00000MAU9jUAH,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwmQAF,,false,false,false,false,false,a134W000008hICIQA2,,,,7000,7000,0,a104W00000FuSwmQAF,false,false,,,,,,12:00 PM,9:00 AM,2020-07-27T14:00:00.000+0000,2020-07-27,: PM,,test1,,a104W00000FuSwkQAF,false,,false,,,a154W000008mjlmQAA,6100 - Adjustments,FON-International Association,,1000 - Cash,FON-Lightning Event Category,,,4000 - Income,c7a927dd-4d1f-4-Schedule Class,4000 - Income,,,1100 - Accounts Receivable
a1d4W00000ivfZZQAY,false,Keynote Speech,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a154W000008mjlnQAA,a104W00000FuSxmQAF,true,,a0o4W00000MOvweQAD,0,,false,,,"<p>Welcome to the Conference. Attend our Keynote Speech for inspiration from Gerald Frank, Vice President of ABC Corporation.</p>",false,a104W00000FuSwjQAF,Keynote Speech,01:00,false,false,false,2020-07-27T17:00:00.000+0000,2020-07-27,: PM,a1X4W00000MAU9jUAH,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwmQAF,,false,false,false,false,false,a134W000008hICIQA2,,,,7000,7000,0,a104W00000FuSwmQAF,false,false,,,,,,12:00 PM,11:00 AM,2020-07-27T16:00:00.000+0000,2020-07-27,: PM,,test1,,a104W00000FuSwkQAF,false,,false,,,a154W000008mjlnQAA,6100 - Adjustments,FON-International Association,,1000 - Cash,FON-Lightning Event Category,,,4000 - Income,c7a927dd-4d1f-4-Schedule Class,4000 - Income,,,1100 - Accounts Receivable
a1d4W00000ivfcSQAQ,false,ammma,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,false,,a0o4W00000MOvweQAD,0,,false,,,,false,,ammma,00:00,false,false,false,2018-04-22T13:38:21.000+0000,2018-04-22,: PM,,,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,true,false,false,false,false,,,,,0,-10,10,,false,false,,,,,,9:38 AM,9:38 AM,2018-04-22T13:38:21.000+0000,2018-04-22,: PM,,wwssss,,,false,,false,,,,,FON-International Association,,,,,,,,,,,
a1d4W00000ivfcRQAQ,false,aaa,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,false,,a0o4W00000MOvweQAD,0,,false,,,,false,,aaa,00:00,false,false,false,2018-04-22T13:15:00.000+0000,2018-04-22,: PM,,,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,true,false,false,false,false,,,,,0,0,0,,false,false,,,,,,9:15 AM,9:15 AM,2018-04-22T13:15:00.000+0000,2018-04-22,: PM,,ffff,,,false,,false,,,,,FON-International Association,,,,,,,,,,,
