Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Account__c,EventApi__Contact__c,EventApi__Description__c,EventApi__Event__c,EventApi__Image_URL__c,EventApi__Sponsor_Package__c,LTE__Is_Featured__c,EventApi__Is_Featured__c,EventApi__Sponsor_Hyperlink__c,LastViewedDate,LastReferencedDate,EventApi__Account__r.Name,EventApi__Contact__r.Name,EventApi__Event__r.Name,EventApi__Sponsor_Package__r.Id
a1i4W000004Z0PmQAK,false,FON-ABC Corporations,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021flzSQAQ,0034W00002AU8T6QAL,,a1Y4W000002bRxyUAE,,a1h4W00000jxQP1QAM,false,false,,,,FON-ABC Corporation,Bob Kelley,FON-Annual Conference (Lightning Event),a1h4W00000jxQP1QAM
a1i4W000004Z0PjQAK,false,"Apple, Inc",2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021flzSQAQ,0034W00002AU8T6QAL,,a1Y4W000002bRxsUAE,,a1h4W00000jxQOyQAM,false,false,,,,FON-ABC Corporation,Bob Kelley,FON-Annual Meeting (Community Event),a1h4W00000jxQOyQAM
a1i4W000004Z0PkQAK,false,AT&T,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021fm1BQAQ,0034W00002AU8VrQAL,,a1Y4W000002bRxsUAE,,a1h4W00000jxQOzQAM,false,false,,,,FON-AT&T,Harvey Jordan,FON-Annual Meeting (Community Event),a1h4W00000jxQOzQAM
a1i4W000004Z0PpQAK,false,Adhip Pokharel,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021flzVQAQ,0034W00002AU8WxQAL,,a1Y4W000002bRxyUAE,,a1h4W00000jxQP0QAM,false,false,,,,FON-National Association Guest Checkout Account,Adhip Pokharel,FON-Annual Conference (Lightning Event),a1h4W00000jxQP0QAM
a1i4W000004Z0PdQAK,false,Kristin Richeimer,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021flzVQAQ,0034W00002AU8TaQAL,,a1Y4W000002bRxyUAE,,a1h4W00000jxQP0QAM,false,false,,,,FON-National Association Guest Checkout Account,Kristin Richeimer,FON-Annual Conference (Lightning Event),a1h4W00000jxQP0QAM
a1i4W000004Z0PiQAK,false,AT&T,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021fm1BQAQ,0034W00002AU8VrQAL,"AT&T Inc. is an American multinational telecommunications holding company headquartered at Whitacre Tower in Downtown Dallas, Texas",a1Y4W000002bRxyUAE,https://g.foolcdn.com/editorial/images/474482/att_logo_large.png,a1h4W00000jxQOyQAM,false,true,,,,FON-AT&T,Harvey Jordan,FON-Annual Conference (Lightning Event),a1h4W00000jxQOyQAM
a1i4W000004Z0PoQAK,false,ABC Corporation,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021flzSQAQ,0034W00002AU8T6QAL,,a1Y4W000002bRy4UAE,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/ERWzhapi_abc_logo_png&bucket=fonteva-customer-media-secure,a1h4W00000jxQP4QAM,false,true,,,,FON-ABC Corporation,Bob Kelley,FON-Annual Symposium 2019 (Lightning Event),a1h4W00000jxQP4QAM
a1i4W000004Z0PgQAK,false,pragnan bogg,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021flzsQAA,0034W00002AU8SkQAL,,a1Y4W000002bRxyUAE,,a1h4W00000jxQP0QAM,false,false,,,,pragnan bogg Household,pragnan bogg,FON-Annual Conference (Lightning Event),a1h4W00000jxQP0QAM
a1i4W000004Z0PeQAK,false,bob kelley,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021flzVQAQ,0034W00002AU8TbQAL,,a1Y4W000002bRxyUAE,,a1h4W00000jxQP0QAM,false,false,,,,FON-National Association Guest Checkout Account,bob kelley,FON-Annual Conference (Lightning Event),a1h4W00000jxQP0QAM
a1i4W000004Z0PnQAK,false,FON-ABC Corporations,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,0014W000021flzSQAQ,0034W00002AU8T6QAL,,a1Y4W000002bRxyUAE,,a1h4W00000jxQP1QAM,false,false,,,,FON-ABC Corporation,Bob Kelley,FON-Annual Conference (Lightning Event),a1h4W00000jxQP1QAM
