Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Adjustment_Account__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Discount_Account__c,EventApi__Display_Available_Inventory__c,EventApi__Early_Bird_End_Date__c,EventApi__Early_Bird_Price__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Enable_Early_Bird_Price__c,EventApi__Enable_Onsite_Price__c,EventApi__Enable_Waitlist__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Inventory_Status__c,EventApi__Is_Active__c,EventApi__Is_Contribution__c,EventApi__Is_Published__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Item_Cost__c,EventApi__Item__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Maximum_Sales_Quantity__c,EventApi__Min_Sales_Quantity__c,EventApi__Minimum_Sales_Quantity__c,EventApi__Onsite_Price__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Remaining__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Require_Minimum_Quantity__c,EventApi__Restrict_Maximum_Sales_Quantity__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__SKU__c,EventApi__Tax_Class__c,EventApi__UOM__c,ROEApi__Event_Display_Name__c,ROEApi__Event_Duration_Text__c,ROEApi__Event_Name__c,EventApi__Enable_Refund_Request__c,EventApi__Group_Type__c,EventApi__Is_Group_Ticket_Type__c,EventApi__Refund_Request_Policy__c,EventApi__Ticket_Block__c,EventApi__Ticket_Information__c,EventApi__AR_Account__c,EventApi__Invoice_Payment_Priority__c,EventApi__Manage_Agenda_by_Ticket_Type__c,LastViewedDate,LastReferencedDate,EventApi__Adjustment_Account__r.Name,EventApi__Deferred_Revenue_Account__r.Name,EventApi__Discount_Account__r.Name,EventApi__Event_Category__r.Name,EventApi__Event__r.Name,EventApi__Form__r.Name,EventApi__Income_Account__r.Name,EventApi__Item_Class__r.Name,EventApi__Item__r.Id,EventApi__Refund_Account__r.Name,EventApi__Tax_Class__r.Name,EventApi__Ticket_Block__r.Name,EventApi__AR_Account__r.Name
a1j4W00000RiPlgQAF,false,VIP Registration,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,false,,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,,a0S4W00000WTI2bUAH,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JNChCOwT_vip_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,In-stock,true,false,true,false,false,a134W000008hICwQAM,,a154W000008mjoSQAQ,,,,,,,200,3000,3000,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,ctest,,,true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Get full conference access, plus a backstage pass to meet our keynote speakers!</p>",,,false,,,6100 - Adjustments,,6000 - Expenses,,,FON-Lightning Events Registration Form,4000 - Income,e2c2fc96-a5a4-4-Ticket Class,a154W000008mjoSQAQ,4000 - Income,,,
a1j4W00000RiPlhQAF,false,Full Conference Pass,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,false,,,"Access all areas of the event including all sessions, and exhibits.",a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,,a0S4W00000WTI2bUAH,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/lXIIWVPG_conference_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,In-stock,true,false,true,false,false,a134W000008hICzQAM,,a154W000008mjoiQAA,,,,,,0,100,4000,4000,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,symp,,,true,,false,<p>All refunds are subject to a $10.00 charge.</p><p><br></p>,,"<p>Access all areas of the event including all sessions, and exhibits.</p><p><br></p>",,,false,,,6100 - Adjustments,,6000 - Expenses,,,FON-Lightning Events Registration Form,4000 - Income,1bed559f-0324-4-Ticket Class,a154W000008mjoiQAA,4000 - Income,,,
a1j4W00000RiPliQAF,false,VIP Registration,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,false,,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,,a0S4W00000WTI2bUAH,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JNChCOwT_vip_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,In-stock,true,false,true,false,false,a134W000008hICzQAM,,a154W000008mjojQAA,,,,,,0,200,3000,3000,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,symp,,,true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Get full conference access, plus a backstage pass to meet our keynote speakers!</p>",,,false,,,6100 - Adjustments,,6000 - Expenses,,,FON-Lightning Events Registration Form,4000 - Income,1bed559f-0324-4-Ticket Class,a154W000008mjojQAA,4000 - Income,,,
a1j4W00000RiPljQAF,false,TT1,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,false,,,false,true,false,false,false,,,,,,a104W00000FuSwmQAF,,In-stock,true,false,false,false,false,a134W000008hID2QAM,,a154W000008mjotQAA,,,,,,,1,,0,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,Ulas LT Event,,,false,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,,,4000 - Income,adc8a422-bab4-4-Ticket Class,a154W000008mjotQAA,4000 - Income,,,
a1j4W00000RiPllQAF,false,TT1,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,false,,,false,true,false,false,false,,,,,,a104W00000FuSwmQAF,,In-stock,true,false,false,false,false,a134W000008hID6QAM,,a154W000008mjowQAA,,,,,,,1,,0,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,Clone Ulas 2,,,false,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,,,4000 - Income,33f6303e-2689-4-Ticket Class,a154W000008mjowQAA,4000 - Income,,,
a1j4W00000RiPlkQAF,false,TT1,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,false,,,false,true,false,false,false,,,,,,a104W00000FuSwmQAF,,In-stock,true,false,false,false,false,a134W000008hID4QAM,,a154W000008mjovQAA,,,,,,,1,,0,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,Clone Ulas,,,false,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,,,4000 - Income,ac244fb4-eecf-4-Ticket Class,a154W000008mjovQAA,4000 - Income,,,
a1j4W00000RiPlmQAF,false,Full Bee Pass,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,false,,,Access all areas of the event including all exhibits and the main event.,a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,,a0S4W00000WTI2bUAH,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/lXIIWVPG_conference_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,In-stock,true,false,true,false,false,a134W000008hID9QAM,,a154W000008mjoyQAA,,,,,,0,100,300,300,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,SC2,,,true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,<p>Access all areas of the event including all exhibits and the main event.</p>,,,false,,,6100 - Adjustments,,6000 - Expenses,,,FON-Lightning Events Registration Form,4000 - Income,39c57452-3994-4-Ticket Class,a154W000008mjoyQAA,4000 - Income,,,
a1j4W00000RiPlnQAF,false,Full Conference Pass,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,true,a104W00000FuSx5QAF,,"Access all areas of the event including all sessions, and exhibits.",a104W00000FuSx7QAF,true,2019-01-17,80,false,true,true,false,true,,a1Y4W000002bRxsUAE,0,a0S4W00000WTI2bUAH,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/DuwTnqBW_badge.png,a104W00000FuSxCQAV,,In-stock,true,false,true,false,false,a134W000008hIDJQA2,,a154W000008mjpCQAQ,,,,,,0,100,4000,3994,6,a104W00000FuSxCQAV,false,false,false,false,2018-10-06,Specific Date,,,,Registration,Annual Meeting (Community Event),1st - 4th December 2021,Annual Meeting (Community Event),true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Access all areas of the event including all sessions, and exhibits.</p>",a104W00000FuSwkQAF,,false,2020-09-08T06:05:09.000+0000,2020-09-08T06:05:09.000+0000,6100 - Adjustments,2200 - Deferred Income,6000 - Expenses,,FON-Annual Meeting (Community Event),FON-Lightning Events Registration Form,4400 - Event Income,e7995bb2-8699-4-Ticket Class,a154W000008mjpCQAQ,4400 - Event Income,,,1100 - Accounts Receivable
a1j4W00000RiPm4QAF,false,Networking POV,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:05.000+0000,2020-09-23T11:17:05.000+0000,a104W00000FuSxmQAF,,false,,,Get a free pass to the Networking Event Only,a104W00000FuSx7QAF,true,,,false,true,false,false,true,,a1Y4W000002bRxsUAE,,a0S4W00000WTI2bUAH,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/DuwTnqBW_badge.png,a104W00000FuSwjQAF,,In-stock,true,false,true,false,false,a134W000008hIDJQA2,,a154W000008mjtCQAQ,,,,,,0,90,,0,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,Annual Meeting (Community Event),1st - 4th December 2021,Annual Meeting (Community Event),true,,false,<p>Refunds shall be processed within 30 days. For any additional questions please contact us on info@mail.com</p>,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,FON-Annual Meeting (Community Event),FON-Lightning Events Registration Form,1000 - Cash,e7995bb2-8699-4-Ticket Class,a154W000008mjtCQAQ,4000 - Income,,,
a1j4W00000RiPlxQAF,false,VIP Registration,2020-08-28T02:16:22.000+0000,2020-09-23T11:17:53.000+0000,2020-09-23T11:17:53.000+0000,a104W00000FuSxmQAF,,true,a104W00000FuSx5QAF,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",a104W00000FuSx7QAF,true,,,true,true,false,false,true,,a1Y4W000002bRxsUAE,0,a0S4W00000WTI2bUAH,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/HNTgLslo_badge.png,a104W00000FuSxCQAV,,In-stock,true,false,true,false,false,a134W000008hIDJQA2,,a154W000008mjquQAA,,,,,,0,200,3000,2999,1,a104W00000FuSxCQAV,false,false,false,false,2018-10-11,Specific Date,,,,Registration,Annual Meeting (Community Event),1st - 4th December 2021,Annual Meeting (Community Event),true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Get full conference access, plus a backstage pass to meet our keynote speakers!</p>",a104W00000FuSx5QAF,,false,,,6100 - Adjustments,2200 - Deferred Income,6000 - Expenses,,FON-Annual Meeting (Community Event),FON-Lightning Events Registration Form,4400 - Event Income,e7995bb2-8699-4-Ticket Class,a154W000008mjquQAA,4400 - Event Income,,,2200 - Deferred Income
