Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Schedule_Item__c,EventApi__Track__c,EventApi__Schedule_Item__r.Name,EventApi__Track__r.Id
a2C4W000001W4nLUAS,false,TSI-000078,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfbXQAQ,a2D4W00000BrKm0UAF,Beginner Workshop,a2D4W00000BrKm0UAF
a2C4W000001W4nMUAS,false,TSI-000079,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfbZQAQ,a2D4W00000BrKm0UAF,Keynote Speech,a2D4W00000BrKm0UAF
a2C4W000001W4nNUAS,false,TSI-000080,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfbcQAA,a2D4W00000BrKm0UAF,Round Table Discussion I,a2D4W00000BrKm0UAF
a2C4W000001W4nOUAS,false,TSI-000081,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfbdQAA,a2D4W00000BrKlzUAF,Round Table Discussion II,a2D4W00000BrKlzUAF
a2C4W000001W4nPUAS,false,TSI-000082,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfbcQAA,a2D4W00000BrKlzUAF,Round Table Discussion I,a2D4W00000BrKlzUAF
a2C4W000001W4nQUAS,false,TSI-000083,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfbWQAQ,a2D4W00000BrKlzUAF,Advanced Discussion,a2D4W00000BrKlzUAF
a2C4W000001W4nRUAS,false,TSI-000084,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfbaQAA,a2D4W00000BrKlzUAF,Leadership Workshop,a2D4W00000BrKlzUAF
a2C4W000001W4nSUAS,false,TSI-000085,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfbZQAQ,a2D4W00000BrKlzUAF,Keynote Speech,a2D4W00000BrKlzUAF
a2C4W000001W4nTUAS,false,TSI-000059,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfc1QAA,a2D4W00000BrKm4UAF,Keynote Speech,a2D4W00000BrKm4UAF
a2C4W000001W4nUUAS,false,TSI-000060,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1d4W00000ivfc2QAA,a2D4W00000BrKm4UAF,Leadership Workshop,a2D4W00000BrKm4UAF
