Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Price_Rule__c,OrderApi__Field__c,OrderApi__Object__c,OrderApi__Operator__c,OrderApi__Value__c,OrderApi__Price_Rule__r.Id
a1B4W00000SSJPzUAP,false,000000087,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w7CRUAY,state_chapter__c,contact,equals,Virginia,a1C4W000006w7CRUAY
a1B4W00000SSJQ0UAP,false,000000088,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w74NUAQ,state_chapter__c,contact,equals,California,a1C4W000006w74NUAQ
a1B4W00000SSJQ1UAP,false,000000089,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w74NUAQ,state_chapter__c,contact,equals,California,a1C4W000006w74NUAQ
a1B4W00000SSJQ2UAP,false,000000090,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w74NUAQ,state_chapter__c,contact,equals,California,a1C4W000006w74NUAQ
a1B4W00000SSJQ3UAP,false,000000091,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w73HUAQ,state_chapter__c,contact,contains,New York,a1C4W000006w73HUAQ
a1B4W00000SSJQ4UAP,false,000000092,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w73HUAQ,state_chapter__c,contact,contains,New York,a1C4W000006w73HUAQ
a1B4W00000SSJQ5UAP,false,000000093,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w7CSUAY,local_chapter__c,contact,equals,Arlington,a1C4W000006w7CSUAY
a1B4W00000SSJQ6UAP,false,000000094,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w7CSUAY,local_chapter__c,contact,equals,Arlington,a1C4W000006w7CSUAY
a1B4W00000SSJQ7UAP,false,000000095,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w7CSUAY,local_chapter__c,contact,equals,Arlington,a1C4W000006w7CSUAY
a1B4W00000SSJQ8UAP,false,000000096,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w74HUAQ,local_chapter__c,contact,equals,Los Angeles,a1C4W000006w74HUAQ
a1B4W00000SSJQ9UAP,false,000000097,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w74HUAQ,local_chapter__c,contact,equals,Los Angeles,a1C4W000006w74HUAQ
a1B4W00000SSJQAUA5,false,000000098,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w74IUAQ,local_chapter__c,contact,equals,New York,a1C4W000006w74IUAQ
a1B4W00000SSJQBUA5,false,000000100,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w7BfUAI,assistantname,contact,not equal to,Sarah,a1C4W000006w7BfUAI
a1B4W00000SSJQCUA5,false,000000009,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w7BlUAI,name,contact,contains,Bob Kelly,a1C4W000006w7BlUAI
a1B4W00000SSJQDUA5,false,000000056,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a1C4W000006w7BsUAI,name,account,equals,FON-ABC Corporations,a1C4W000006w7BsUAI
