Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Current_Num_Available__c,OrderApi__End_Date__c,OrderApi__Is_Active__c,OrderApi__Is_Default__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Limit_Per_Account__c,OrderApi__Limit_Per_Contact__c,OrderApi__Max_Assignments__c,OrderApi__Max_Num_Available__c,OrderApi__Max_Quantity__c,OrderApi__Min_Assignments__c,OrderApi__Min_Quantity__c,OrderApi__Num_Times_Used__c,OrderApi__Price__c,OrderApi__Required_Badge_Types__c,OrderApi__Required_Source_Codes__c,OrderApi__Required_Subscription_Plans__c,OrderApi__Start_Date__c,EventApi__Schedule_Item__c,EventApi__Ticket_Type__c,PriceApi__Bulk_Price_Rule__c,EventApi__Is_Early_Bird_Price__c,EventApi__Is_On_Site_Price__c,OrderApi__Is_Promotional_Price__c,OrderApi__Tax_Inclusive_Price__c,OrderApi__Additional_Currencies_JSON__c,OrderApi__Item_Class__r.Name,OrderApi__Item__r.Id,EventApi__Schedule_Item__r.Name,EventApi__Ticket_Type__r.Id,PriceApi__Bulk_Price_Rule__r.Name
a1C4W000006w74YUAQ,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlLQAQ,,,,,,,,0,0,,,,,a1d4W00000ivfZHQAY,,,false,false,false,0,,,a154W000008mjlLQAQ,Keynote Speech,,
a1C4W000006w74ZUAQ,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlMQAQ,,,,,,,,0,25,,,,,a1d4W00000ivfZIQAY,,,false,false,false,25,,,a154W000008mjlMQAQ,Leadership Workshop,,
a1C4W000006w74aUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlNQAQ,,,,,,,,0,0,,,,,a1d4W00000ivfZJQAY,,,false,false,false,0,,,a154W000008mjlNQAQ,Luncheon,,
a1C4W000006w74bUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlOQAQ,,,,,,,,0,0,,,,,a1d4W00000ivfZKQAY,,,false,false,false,0,,,a154W000008mjlOQAQ,Round Table Discussion I,,
a1C4W000006w74cUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlPQAQ,,,,,,,,0,0,,,,,a1d4W00000ivfZLQAY,,,false,false,false,0,,,a154W000008mjlPQAQ,Round Table Discussion II,,
a1C4W000006w74dUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlQQAQ,,,,,,,,0,0,,,,,a1d4W00000ivfZMQAY,,,false,false,false,0,,,a154W000008mjlQQAQ,Welcome Breakfast,,
a1C4W000006w74eUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlRQAQ,,,,,,,,0,4000,,,,,,,,false,false,false,4000,,,a154W000008mjlRQAQ,,,
a1C4W000006w74fUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlSQAQ,,,,,,,,0,10000,,,,,,,,false,false,false,10000,,,a154W000008mjlSQAQ,,,
a1C4W000006w74gUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjlTQAQ,,,,,,,,0,6000,,,,,,,,false,false,false,6000,,,a154W000008mjlTQAQ,,,
a1C4W000006w74hUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjr0QAA,,,,,,,,0,20,,,,,,,,false,false,false,20,,,a154W000008mjr0QAA,,,
a1C4W000006w74iUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-09-14T11:59:18.000+0000,2020-09-14T11:59:18.000+0000,,,true,true,,a154W000008mjslQAA,,,,,,,,0,100,,,,,,a1j4W00000RiPlzQAF,,false,false,false,100,,,a154W000008mjslQAA,,a1j4W00000RiPlzQAF,
a1C4W000006w74jUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-09-14T11:59:18.000+0000,2020-09-14T11:59:18.000+0000,,,true,true,,a154W000008mjsmQAA,,,,,,,,0,90,,,,,,a1j4W00000RiPm0QAF,,false,false,false,90,,,a154W000008mjsmQAA,,a1j4W00000RiPm0QAF,
a1C4W000006w74kUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-09-14T11:59:18.000+0000,2020-09-14T11:59:18.000+0000,,,true,true,,a154W000008mjqyQAA,,,,,,,,0,200,,,,,,a1j4W00000RiPlvQAF,,false,false,false,200,,,a154W000008mjqyQAA,,a1j4W00000RiPlvQAF,
a1C4W000006w74lUAA,false,Early Bird Price,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,2022-02-28,true,false,,a154W000008mjslQAA,,,,,,,,0,80,,,,2022-02-13,,a1j4W00000RiPlzQAF,,true,false,false,80,,,a154W000008mjslQAA,,a1j4W00000RiPlzQAF,
a1C4W000006w74mUAA,false,Discount code,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,false,,a154W000008mjslQAA,,,,,,,,0,70,,a1N4W000008fTokUAE,,,,a1j4W00000RiPlzQAF,,false,false,false,70,,,a154W000008mjslQAA,,a1j4W00000RiPlzQAF,
a1C4W000006w74nUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjsnQAA,,,,,,,,0,5000,,,,,,,,false,false,false,5000,,,a154W000008mjsnQAA,,,
a1C4W000006w74oUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjsoQAA,,,,,,,,0,10000,,,,,,,,false,false,false,10000,,,a154W000008mjsoQAA,,,
a1C4W000006w74pUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,true,true,,a154W000008mjspQAA,,,,,,,,0,7500,,,,,,,,false,false,false,7500,,,a154W000008mjspQAA,,,
a1C4W000006w73NUAQ,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-09-14T11:59:18.000+0000,2020-09-14T11:59:18.000+0000,,,true,true,,a154W000008mjpWQAQ,,,,,,,,5,100,,,,,,a1j4W00000RiPlrQAF,,false,false,false,100,,,a154W000008mjpWQAQ,,a1j4W00000RiPlrQAF,
a1C4W000006w73jUAA,false,DEFAULT,2020-08-28T02:16:22.000+0000,2020-09-14T11:59:18.000+0000,2020-09-14T11:59:18.000+0000,,,true,true,,a154W000008mjpjQAA,,,,,,,,1,200,,,,,,a1j4W00000RiPlsQAF,,false,false,false,200,,,a154W000008mjpjQAA,,a1j4W00000RiPlsQAF,
