Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,joinapi__Button_Label__c,joinapi__Description__c,joinapi__Display_Name__c,joinapi__Is_Default_Item__c,joinapi__Is_Marketing_Item_Group__c,joinapi__Is_Marketing_Item__c,joinapi__Is_Published__c,joinapi__Item_Badge_Types_Filter__c,joinapi__Item_Criteria__c,joinapi__Item_Group_Header__c,joinapi__Item_Group__c,joinapi__Item__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Step__c,joinapi__Item_Group__r.External_Id__c,joinapi__Item__r.External_Id__c,joinapi__Next_Step__r.External_Id__c,joinapi__Step__r.External_Id__c
a1z4W00000A9vkhQAB,false,000013,1,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Associate Membership,false,false,true,true,,,Associate Membership,a1z4W00000A9vkcQAB,a154W000008mjp9QAA,,4,a204W00000Ex6tEQAR,6,545,,1
a1z4W00000A9vkiQAB,false,000017,2,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,,,,,,,a204W00000Ex6snQAB,,,,6
a1z4W00000A9vkjQAB,false,000018,3,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,true,false,true,,,Memberships,,,,1,a204W00000Ex6tFQAR,,,,11
a1z4W00000A9vkkQAB,false,000019,4,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Institutional Membership,false,false,true,true,,,,,a154W000008mjpAQAQ,a204W00000Ex6snQAB,,a204W00000Ex6tFQAR,,543,6,11
a1z4W00000A9vkbQAB,false,000007,5,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,true,false,false,,,Memberships,,,,0,a204W00000Ex6tDQAR,,,,2
a1z4W00000A9vkcQAB,false,000008,6,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,true,false,false,,,Memberships,,,,0,a204W00000Ex6tEQAR,,,,1
a1z4W00000A9vkdQAB,false,000009,7,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee. For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Institutional Membership,false,false,true,true,,,Institutional Membership,a1z4W00000A9vkcQAB,a154W000008mjpAQAQ,,0,a204W00000Ex6tEQAR,6,543,,1
a1z4W00000A9vkeQAB,false,000010,8,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Company Membership,false,false,true,true,,,Company Membership,a1z4W00000A9vkcQAB,a154W000008mjptQAA,,1,a204W00000Ex6tEQAR,6,544,,1
a1z4W00000A9vkfQAB,false,000011,9,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000A9vkcQAB,a154W000008mjpSQAQ,,2,a204W00000Ex6tEQAR,6,514,,1
a1z4W00000A9vkgQAB,false,000012,10,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Professional Membership,false,false,true,true,,,Professional Membership,a1z4W00000A9vkcQAB,a154W000008mjpLQAQ,,3,a204W00000Ex6tEQAR,6,546,,1
