Id,Name,joinapi__Button_Label__c,joinapi__Description__c,joinapi__Display_Name__c,joinapi__Is_Default_Item__c,joinapi__Is_Marketing_Item_Group__c,joinapi__Is_Marketing_Item__c,joinapi__Is_Published__c,joinapi__Item_Badge_Types_Filter__c,joinapi__Item_Criteria__c,joinapi__Item_Group_Header__c,joinapi__Item_Group__c,joinapi__Item__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Step__c,joinapi__Item_Group__r.Id,joinapi__Item__r.Name,joinapi__Next_Step__r.Id,joinapi__Step__r.Id
a1z4W00000A9vkhQAB,000013,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Associate Membership,false,false,true,true,,,Associate Membership,a1z4W00000A9vkcQAB,a154W000008mjp9QAA,,4,a204W00000Ex6tEQAR,a1z4W00000A9vkcQAB,FON-Associate Membership,,a204W00000Ex6tEQAR
a1z4W00000A9vkiQAB,000017,,,,false,false,false,false,,,,,,,,a204W00000Ex6snQAB,,,,a204W00000Ex6snQAB
a1z4W00000A9vkjQAB,000018,,,,false,true,false,true,,,Memberships,,,,1,a204W00000Ex6tFQAR,,,,a204W00000Ex6tFQAR
a1z4W00000A9vkkQAB,000019,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Institutional Membership,false,false,true,true,,,,,a154W000008mjpAQAQ,a204W00000Ex6snQAB,,a204W00000Ex6tFQAR,,FON-Institutional Membership,a204W00000Ex6snQAB,a204W00000Ex6tFQAR
a1z4W00000A9vkbQAB,000007,,,,false,true,false,false,,,Memberships,,,,0,a204W00000Ex6tDQAR,,,,a204W00000Ex6tDQAR
a1z4W00000A9vkcQAB,000008,,,,false,true,false,false,,,Memberships,,,,0,a204W00000Ex6tEQAR,,,,a204W00000Ex6tEQAR
a1z4W00000A9vkdQAB,000009,,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee. For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Institutional Membership,false,false,true,true,,,Institutional Membership,a1z4W00000A9vkcQAB,a154W000008mjpAQAQ,,0,a204W00000Ex6tEQAR,a1z4W00000A9vkcQAB,FON-Institutional Membership,,a204W00000Ex6tEQAR
a1z4W00000A9vkeQAB,000010,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Company Membership,false,false,true,true,,,Company Membership,a1z4W00000A9vkcQAB,a154W000008mjptQAA,,1,a204W00000Ex6tEQAR,a1z4W00000A9vkcQAB,FON-Old Company Membership (PreAuthorized Payment Required),,a204W00000Ex6tEQAR
a1z4W00000A9vkfQAB,000011,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000A9vkcQAB,a154W000008mjpSQAQ,,2,a204W00000Ex6tEQAR,a1z4W00000A9vkcQAB,FON-Student Membership,,a204W00000Ex6tEQAR
a1z4W00000A9vkgQAB,000012,,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Professional Membership,false,false,true,true,,,Professional Membership,a1z4W00000A9vkcQAB,a154W000008mjpLQAQ,,3,a204W00000Ex6tEQAR,a1z4W00000A9vkcQAB,FON-Professional Membership,,a204W00000Ex6tEQAR
