Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,LastActivityDate,LTE__Default_List_View__c,LTE__Display_Order__c,LTE__Enable_Access_Permissions__c,LTE__Is_Profile_Menu_Item__c,LTE__Object_Type__c,LTE__Open_Link_in_New_Tab__c,LTE__Open_Link_in_Same_Tab__c,LTE__Parent_Menu_Item__c,LTE__Profile_Menu_Item_Component__c,LTE__Publicly_Available__c,LTE__Site__c,LTE__Type__c,LTE__URL__c,LTE__Parent_Menu_Item__r.Id,LTE__Site__r.Id
a2L4W00000BUCSTUA5,false,Badges,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,70,false,true,,false,false,,LTE:Badges,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/badges,,a2N4W0000060hCFUAY
a2L4W00000BUCSUUA5,false,Membership Applications,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,1,false,false,,false,false,,,true,a2N4W0000060hCFUAY,Menu Label,,,a2N4W0000060hCFUAY
a2L4W00000BUCSHUA5,false,Company Info,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,11,true,true,,false,false,,LTE:MyInfo,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal#/profile/acct_info,,a2N4W0000060hCFUAY
a2L4W00000BUCSGUA5,false,Company Subscriptions,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,31,true,true,,false,false,,LTE:Subscriptions,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal#/profile/acct_subscriptions,,a2N4W0000060hCFUAY
a2L4W00000BUCSIUA5,false,Company Orders,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,60,true,true,,false,false,,LTE:Invoices,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/company_orders,,a2N4W0000060hCFUAY
a2L4W00000BUCSLUA5,false,Store,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,2,false,false,,false,false,,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/store,,a2N4W0000060hCFUAY
a2L4W00000BUCSMUA5,false,Events,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,2,false,false,,false,false,,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/events,,a2N4W0000060hCFUAY
a2L4W00000BUCSNUA5,false,Groups,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,3,false,false,,false,false,,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/group/CollaborationGroup/,,a2N4W0000060hCFUAY
a2L4W00000BUCSOUA5,false,My Info,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,1,false,true,,false,false,,LTE:MyInfo,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/my_info,,a2N4W0000060hCFUAY
a2L4W00000BUCSPUA5,false,Address Book,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,2,false,true,,false,false,,LTE:KnownAddresses,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/address_book,,a2N4W0000060hCFUAY
