Name,LTE__Default_List_View__c,LTE__Display_Order__c,LTE__Enable_Access_Permissions__c,LTE__Is_Profile_Menu_Item__c,LTE__Object_Type__c,LTE__Open_Link_in_New_Tab__c,LTE__Open_Link_in_Same_Tab__c,LTE__Profile_Menu_Item_Component__c,LTE__Publicly_Available__c,LTE__Site__c,LTE__Type__c,LTE__URL__c,Errors,Id
Badges,,70,false,true,,false,false,LTE:Badges,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/badges,,a28R0000003cXOHIA2
Membership Applications,,1,false,false,,false,false,,true,a2AR0000003Rz68MAC,Menu Label,,,a28R0000003cXOIIA2
Company Info,,11,true,true,,false,false,LTE:MyInfo,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal#/profile/acct_info,,a28R0000003cXOJIA2
Company Subscriptions,,31,true,true,,false,false,LTE:Subscriptions,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal#/profile/acct_subscriptions,,a28R0000003cXOKIA2
Company Orders,,60,true,true,,false,false,LTE:Invoices,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/company_orders,,a28R0000003cXOLIA2
Store,,2,false,false,,false,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/store,,a28R0000003cXOMIA2
Events,,2,false,false,,false,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/events,,a28R0000003cXONIA2
Groups,,3,false,false,,false,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/group/CollaborationGroup/,,a28R0000003cXOOIA2
My Info,,1,false,true,,false,false,LTE:MyInfo,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/my_info,,a28R0000003cXOPIA2
Address Book,,2,false,true,,false,false,LTE:KnownAddresses,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/address_book,,a28R0000003cXOQIA2
