Id,Name,ProgramApi__Dependency__c,ProgramApi__Display_Order__c,ProgramApi__End_Date__c,ProgramApi__Goal_Button_Label__c,ProgramApi__Maintenance__c,ProgramApi__Navigation_URL__c,ProgramApi__Program__c,ProgramApi__Published__c,ProgramApi__Requirement_Description__c,ProgramApi__Requirement_Name__c,ProgramApi__Requirement_Type__c,ProgramApi__Start_Date__c,ProgramApi__Program__r.Id
a2KR00000012wD7MAI,RN-00020,,2,,Sign Up,false,#,a2JR0000001YiaPMAS,true,Click to apply for your site visit and choose from available days.  We will confirm your scheduled visit and this task will be marked complete when the visit is completed and passed.,Site Visit,,,a2JR0000001YiaPMAS
a2KR00000012wD8MAI,RN-00021,,3,,Start Course,false,#,a2JR0000001YiaPMAS,true,You must complete the course prior to your site visit.,Course,,,a2JR0000001YiaPMAS
a2KR00000012wD9MAI,RN-00022,,1,,Complete Form,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S6A000001F2Yt,a2JR0000001YiaQMAS,true,The certification process begins once you fill out this form.,Registration Form,,,a2JR0000001YiaQMAS
a2KR00000012wDAMAY,RN-00023,,2,,Launch Course,false,#,a2JR0000001YiaQMAS,true,,Course: Advanced Vaulting Teaching Techniques,Course,,a2JR0000001YiaQMAS
a2KR00000012wDBMAY,RN-00024,,3,,Launch Course,false,#,a2JR0000001YiaQMAS,true,,Course: Vaulting with Confidence and Instilling it in Others,Course,,a2JR0000001YiaQMAS
a2KR00000012wDCMAY,RN-00025,RN-00005,4,,Register,false,#,a2JR0000001YiaQMAS,true,You must complete this exam to aquire your accreditation.,Exam: IVI Exam,Exam,,a2JR0000001YiaQMAS
a2KR00000012wDDMAY,RN-00026,,,,Self Report Credits,false,,a2JR0000001YiaPMAS,true,,CEU Credits,CEUs,,a2JR0000001YiaPMAS
a2KR00000012wDEMAY,RN-00027,,,,Launch Exam,true,,a2JR0000001YiaPMAS,true,,Maintenance Exam,Exam,,a2JR0000001YiaPMAS
a2KR00000012wDFMAY,RN-00028,,,,Launch Exam,true,,a2JR0000001YiaQMAS,false,,Maintenance Exam,Exam,,a2JR0000001YiaQMAS
a2KR00000012wDGMAY,RN-00029,,1,,Complete Form,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S6A000001F2Yt,a2JR0000001YiaPMAS,true,The certification process begins once you fill out this form.,Registration Form,,,a2JR0000001YiaPMAS
