Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,PagesApi__Allow_Users_to_Delete_Mapped_Records__c,PagesApi__DML_Operation__c,PagesApi__Form__c,PagesApi__Instructions__c,PagesApi__Is_Multiple__c,PagesApi__Mapped_Object__c,PagesApi__Mapped_Relationship_Field__c,PagesApi__Order__c,PagesApi__Parent_Field_Group__c,PagesApi__SOQL_Filter__c,PagesApi__Form__r.Id,PagesApi__Parent_Field_Group__r.Id
a0QR0000009LfEwMAK,false,My Events,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,false,Upsert,a0UR0000007r4YfMAI,,true,eventapi__attendee__c,,1,,EventApi__Contact__c = '{{usr.ContactId}}',a0UR0000007r4YfMAI,
a0QR0000009LfExMAK,false,Dietary Preferences,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,false,,a0UR0000007r4YYMAY,,false,,,2,,,a0UR0000007r4YYMAY,
a0QR0000009LfFJMA0,false,Update Contact Information,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,false,Upsert,a0UR0000007r4YeMAI,,false,contact,,1,,Id='{{usr.ContactId}}',a0UR0000007r4YeMAI,
a0QR0000009LfFKMA0,false,Complete your Course details,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:42.000+0000,2020-09-24T07:00:42.000+0000,true,Upsert,a0UR0000007r4YeMAI,,true,fon_credit__c,Contact_Name__c,3,a0QR0000009LfFJMA0,ContactId ='{{usr.ContactId}}',a0UR0000007r4YeMAI,a0QR0000009LfFJMA0
a0QR0000009LfFLMA0,false,Registration Information,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,false,Upsert,a0UR0000007r4YZMAY,,false,contact,,1,,Id='{{usr.ContactId}}',a0UR0000007r4YZMAY,
a0QR0000009LfFMMA0,false,Local and State Chapter Membership,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,false,Upsert,a0UR0000007r4YjMAI,Please select a State and Local chapter that you would want to sign up,false,contact,,1,,id = '{{usr.contactId}}',a0UR0000007r4YjMAI,
a0QR0000009LfFNMA0,false,Sponsor Information,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,false,Upsert,a0UR0000007r4YRMAY,,false,eventapi__sponsor__c,,1,,Id='{{usr.AccountId}}',a0UR0000007r4YRMAY,
a0QR0000009LfFOMA0,false,Account/Organization Name,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,false,Upsert,a0UR0000007r4YhMAI,,false,account,,1,,Id= '{{usr.AccountId}}',a0UR0000007r4YhMAI,
a0QR0000009LfFPMA0,false,Associated Membership,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:42.000+0000,2020-09-24T07:00:42.000+0000,false,Upsert,a0UR0000007r4YhMAI,,true,orderapi__subscription__c,OrderApi__Account__c,2,a0QR0000009LfFOMA0,AccountId ='{{usr.AccountId}}' ORContactId ='{{usr.ContactId}}',a0UR0000007r4YhMAI,a0QR0000009LfFOMA0
a0QR0000009LfEyMAK,false,Event Feedback,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,2020-09-24T07:00:26.000+0000,false,,a0UR0000007r4YXMAY,Thank you for participating in our event. We hope you had as much fun attending as we did organizing it. We want to hear your feedback so we can keep improving our logistics and content. Please fill this quick survey and let us know your thoughts (your answers will be anonymous).,false,,,1,,,a0UR0000007r4YXMAY,
