Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,LastViewedDate,LastReferencedDate,PagesApi__Description__c,PagesApi__Display_Style__c,PagesApi__Submit_Style__c,PagesApi__Submit_Value__c,PagesApi__User_Instructions__c,PagesApi__Wizard_Review_Instructions__c
a0UR0000007r4YRMAY,false,FON-Sponsorship Form,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,,Standard,,,This Form is used to collect Sponsorship information for given events.,Please review your answers and make any necessary corrections before submitting this form.
a0UR0000007r4YSMAY,false,FON-Membership Referral,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,Form to collect Individual demographics for membership outreach,Standard,,,Form to collect Individual demographics for membership outreach,Please review your answers and make any necessary corrections before submitting this form.
a0UR0000007r4YTMAY,false,FON-Community Group Member,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,"This form is used to add Community Group Members within a Community Group.  Add ""&communitygroup=[community group id]"" to the end of the Form URL for this form to work, where [community group id] is the Salesforce ID of the community group that you would want to add community group Members to.",Standard,,,"This form is used to add Community Group Members within a Community Group.  Add ""&communitygroup=[community group id]"" to the end of the Form URL for this form to work, where [community group id] is the Salesforce ID of the community group that you would want to add community group Members to.",Please review your answers and make any necessary corrections before submitting this form.
a0UR0000007r4YUMAY,false,FON-Webinar Info,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,This form is to collect Webinar interest and is coupled to the ticket types on the FON-Webinar - Our Mission - Free Event (Simple Event),Standard,,,This form is to collect Webinar interest and is coupled to the ticket types on the FON-Webinar - Our Mission - Free Event (Simple Event),Please review your answers and make any necessary corrections before submitting this form.
a0UR0000007r4YbMAI,false,FON-CEU credit Submission,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,This form can be used to submit the number of CME's  you wish to submit. This form is also attached to the the item 'FON-Certification Maintenance Exam Fee' and 'FON-Accreditation Maintenance Exam Fee' to enable the logged in users to self report their credits. Note : Login to access this form as this ties the responses to the logged in contact,Standard,Javascript,"alert(""Thank you for your submission!"")",This form can be used to submit the number of CME's  you wish to submit. This form is also attached to the the item 'FON-Certification Maintenance Exam Fee' and 'FON-Accreditation Maintenance Exam Fee' to enable the logged in users to self report their credits. Note : Login to access this form as this ties the responses to the logged in contact,Please review your answers and make any necessary corrections before submitting this form.
a0UR0000007r4YcMAI,false,FON-Membership Application,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,This Form is used to collect all the information that is required for an Individual Membership. It is used in the Join Process 'FON - Individual Membership Application',Standard,,,This Form is used to collect all the information that is required for an Individual Membership. It is used in the Join Process 'FON - Individual Membership Application',Please review your answers and make any necessary corrections before submitting this form.
a0UR0000007r4YdMAI,false,FON-New Account Submission,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,The purpose of this form is to create a new Account/Organization and enter multiple Contacts/Individuals under this account,Standard,Javascript,"alert(""Thank you for your feedback!"");",The purpose of this form is to update an existing records on the form using advanced data bindings.,The purpose of this form is to create a new Account/Organization and enter multiple Contacts/Individuals under this account
a0UR0000007r4YeMAI,false,FON-Course Registration,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,This Form is used to collect Course Information. This form is tied to the items - FON-Certification Application Fee and  FON-Accreditation Application Fee,Standard,,,This Form is used to collect Course Information. This form is tied to the items - FON-Certification Application Fee and  FON-Accreditation Application Fee,Please review your answers and make any necessary corrections before submitting this form.
a0UR0000007r4YfMAI,false,My Events,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,,Standard,,,,Please review your answers and make any necessary corrections before submitting this form.
a0UR0000007r4YgMAI,false,FON-Company Information,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,2020-09-24T07:00:24.000+0000,The purpose of this form is to update the account of the logged in Contact  using advanced data bindings.,Standard,URL,/cpbase__profile,The purpose of this form is to update the account of the logged in Contact  using advanced data bindings.,Please review your answers and make any necessary corrections before submitting this form.
