Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,PagesApi__Menu__c,PagesApi__Custom_URL__c,PagesApi__Display_Order__c,PagesApi__Display_Text__c,PagesApi__Icon__c,PagesApi__Is_Standard__c,PagesApi__Link_Target__c,PagesApi__Menu_Item__c,PagesApi__On_Click_Javascript__c,PagesApi__Page__c,PagesApi__Style_Class__c,PagesApi__Type__c,PagesApi__Value__c,CreatedBy.Name,LastModifiedBy.Name,PagesApi__Menu__r.Name,PagesApi__Menu_Item__r.Id,PagesApi__Page__r.Id
a0V4W00000pAVlsUAG,false,Store,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf9UAG,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__store?page=a0Z6A000002kOUyUAM&site=a0d6A000001RhaOQAS,1,,,true,_self,,,a0Z4W00000POIF7UAP,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,APPTTUS STOREFRONT: SITE NAV,,a0Z4W00000POIF7UAP
a0V4W00000pAVltUAG,false,Groups,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf9UAG,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__groups?page=a0Z6A000002kOV0UAM&site=a0d6A000001RhaOQAS,2,,,true,_self,,,a0Z4W00000POIF9UAP,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,APPTTUS STOREFRONT: SITE NAV,,a0Z4W00000POIF9UAP
a0V4W00000pAVluUAG,false,Events,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf9UAG,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__events?page=a0Z6A000002kOV1UAM&site=a0d6A000001RhaOQAS,3,,,true,_self,,,a0Z4W00000POIFAUA5,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,APPTTUS STOREFRONT: SITE NAV,,a0Z4W00000POIFAUA5
a0V4W00000pAVlvUAG,false,Education,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf7UAG,,5,,,false,_self,,,,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,INTERNATIONAL ASSOCIATION: SITE NAV,,
a0V4W00000pAVlwUAG,false,Directory,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf7UAG,,6,,,false,_self,,,,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,INTERNATIONAL ASSOCIATION: SITE NAV,,
a0V4W00000pAVlnUAG,false,Fonteva.com,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf8UAG,http://fonteva.com,1,,,false,_self,,,,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,INTERNATIONAL ASSOCIATION: PROFILE PAGE,,
a0V4W00000pAVloUAG,false,Store,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf7UAG,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__store?page=a0Z6A000002kOUKUA2&site=a0d6A000001RhaTQAS,1,,,true,_self,,,a0Z4W00000POIErUAP,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,INTERNATIONAL ASSOCIATION: SITE NAV,,a0Z4W00000POIErUAP
a0V4W00000pAVlpUAG,false,Groups,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf7UAG,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__groups?page=a0Z6A000002kOUMUA2&site=a0d6A000001RhaTQAS,2,,,true,_self,,,a0Z4W00000POIEtUAP,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,INTERNATIONAL ASSOCIATION: SITE NAV,,a0Z4W00000POIEtUAP
a0V4W00000pAVlqUAG,false,Events,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIf7UAG,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__events?page=a0Z6A000002kOUNUA2&site=a0d6A000001RhaTQAS,3,,,true,_self,,,a0Z4W00000POIEuUAP,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,INTERNATIONAL ASSOCIATION: SITE NAV,,a0Z4W00000POIEuUAP
a0V4W00000pAVlrUAG,false,Fonteva.com,2020-08-28T02:16:22.000+0000,0054W00000AbTBnQAN,2020-08-28T02:16:22.000+0000,0054W00000AbTBuQAN,2020-08-28T02:16:22.000+0000,a0W4W000018KIfAUAW,http://fonteva.com,1,,,false,_self,,,,,Custom Page,,Fonteva Implementations Admin,Jackie Lenta,APPTTUS STOREFRONT: PROFILE PAGE,,
