Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Schedule_Item__c,EventApi__Is_Primary__c,EventApi__Role__c,EventApi__Speaker__c,EventApi__Schedule_Item__r.External_Id__c,EventApi__Speaker__r.External_Id__c
a1f4W000007NBh1QAG,false,Lucinda McKinney,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfbcQAA,false,Poster Presenter,a1g4W000002nWTaQAM,164,3
a1f4W000007NBh2QAG,false,Lucinda McKinney,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfbdQAA,false,Poster Presenter,a1g4W000002nWTaQAM,165,3
a1f4W000007NBh3QAG,false,Bob Kelley,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfbZQAQ,false,Poster Presenter,a1g4W000002nWTZQA2,152,2
a1f4W000007NBh4QAG,false,Sharon Jones,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfbXQAQ,false,Poster Presenter,a1g4W000002nWTlQAM,150,4
a1f4W000007NBh5QAG,false,Bob Kelley,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfbaQAA,false,Poster Presenter,a1g4W000002nWTZQA2,153,2
a1f4W000007NBh6QAG,false,Bob Kelley,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfc1QAA,false,Poster Presenter,a1g4W000002nWTZQA2,193,2
a1f4W000007NBh7QAG,false,Gerald Frank,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfc2QAA,false,Poster Presenter,a1g4W000002nWTwQAM,194,13
a1f4W000007NBh8QAG,false,Bob Kelley,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfbqQAA,false,Poster Presenter,a1g4W000002nWTZQA2,30,2
a1f4W000007NBh9QAG,false,Gerald Frank,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfbsQAA,false,Poster Presenter,a1g4W000002nWTwQAM,32,13
a1f4W000007NBhAQAW,false,Bob Kelley,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfcBQAQ,false,Poster Presenter,a1g4W000002nWTZQA2,12,2
a1f4W000007NBhBQAW,false,Lucinda McKinney,11,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfcDQAQ,false,Poster Presenter,a1g4W000002nWTaQAM,14,3
a1f4W000007NBhCQAW,false,Sharon Jones,12,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfcFQAQ,false,Poster Presenter,a1g4W000002nWTlQAM,16,4
a1f4W000007NBhDQAW,false,Bob Kelley,13,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfcEQAQ,false,Poster Presenter,a1g4W000002nWTZQA2,15,2
a1f4W000007NBhEQAW,false,Lucinda McKinney,14,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,a1d4W00000ivfcIQAQ,false,Poster Presenter,a1g4W000002nWTaQAM,28,3
