Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Adjustment_Account__c,EventApi__Assignments_Display_Label__c,EventApi__Business_Group__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Discount_Account__c,EventApi__Display_Name__c,EventApi__Display_Order__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Image_URL__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Is_Active__c,EventApi__Is_Contribution__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Item__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Remaining__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__SKU__c,EventApi__Tax_Class__c,ROEApi__Event_Display_Name__c,ROEApi__Event_Duration_Text__c,ROEApi__Event_Name__c,EventApi__AR_Account__c,EventApi__Invoice_Payment_Priority__c,LastViewedDate,LastReferencedDate,EventApi__Adjustment_Account__r.Name,EventApi__Business_Group__r.Name,EventApi__Deferred_Revenue_Account__r.Name,EventApi__Discount_Account__r.Name,EventApi__Event_Category__r.Name,EventApi__Event__r.Name,EventApi__Form__r.Name,EventApi__Income_Account__r.Name,EventApi__Item_Class__r.Name,EventApi__Item__r.External_Id__c,EventApi__Refund_Account__r.Name,EventApi__Tax_Class__r.Name,EventApi__AR_Account__r.Name
a1h4W00000jxQOoQAM,false,Bronze Annual Conference Sponsor Package,1,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Conference Sponsor Package,,false,false,,,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,,true,false,false,false,a134W000008hIEIQA2,a154W000008mjsnQAA,Show off your association pride by sponsoring our annual conference at the bronze level.,,5000,25,25,0,,false,false,,,,,,JS Event,,,,,,,,FON-International Association,,,,,,,e45f0075-214d-4-Sponsor Class,351,,,
a1h4W00000jxQOpQAM,false,Gold Annual Conference Sponsor Package,2,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Conference Sponsor Package,,false,false,,,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,,true,false,false,false,a134W000008hIEIQA2,a154W000008mjsoQAA,Show off your association pride by sponsoring our annual conference at the gold level.,,10000,5,5,0,,false,false,,,,,,JS Event,,,,,,,,FON-International Association,,,,,,,e45f0075-214d-4-Sponsor Class,379,,,
a1h4W00000jxQOqQAM,false,Silver Annual Conference Sponsor Package,3,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Conference Sponsor Package,,false,false,,,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,,true,false,false,false,a134W000008hIEIQA2,a154W000008mjspQAA,Show off your association pride by sponsoring our annual conference at the silver level!!,,7500,10,10,0,,false,false,,,,,,JS Event,,,,,,,,FON-International Association,,,,,,,e45f0075-214d-4-Sponsor Class,380,,,
a1h4W00000jxQOrQAM,false,Bronze Annual Symposium Sponsor Package,4,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,a1Y4W000002bRxwUAE,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hIEKQA2,a154W000008mjsqQAA,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,2020 Annual Symposium,10th - 11th December 2020,2020 Annual Symposium,,,,,,FON-International Association,,,,FON-Annual Symposium 2020 (Lightning Event),,,0daaa35a-f3dd-4-Sponsor Class,383,,,
a1h4W00000jxQOsQAM,false,Gold Annual Symposium Sponsor Package,5,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,a1Y4W000002bRxwUAE,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hIEKQA2,a154W000008mjsrQAA,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,2020 Annual Symposium,10th - 11th December 2020,2020 Annual Symposium,,,,,,FON-International Association,,,,FON-Annual Symposium 2020 (Lightning Event),,,0daaa35a-f3dd-4-Sponsor Class,384,,,
a1h4W00000jxQOtQAM,false,Silver Annual Symposium Sponsor Package,6,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,a1Y4W000002bRxwUAE,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hIEKQA2,a154W000008mjssQAA,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,2020 Annual Symposium,10th - 11th December 2020,2020 Annual Symposium,,,,,,FON-International Association,,,,FON-Annual Symposium 2020 (Lightning Event),,,0daaa35a-f3dd-4-Sponsor Class,385,,,
a1h4W00000jxQOuQAM,false,Bronze Annual Symposium Sponsor Package,7,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hIENQA2,a154W000008mjt9QAA,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,test event,,,,,,,,FON-International Association,,,,,,,bf49a80e-b3e0-4-Sponsor Class,487,,,
a1h4W00000jxQOvQAM,false,Gold Annual Symposium Sponsor Package,8,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hIENQA2,a154W000008mjtAQAQ,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,test event,,,,,,,,FON-International Association,,,,,,,bf49a80e-b3e0-4-Sponsor Class,488,,,
a1h4W00000jxQOwQAM,false,Silver Annual Symposium Sponsor Package,9,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:30.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hIENQA2,a154W000008mjtBQAQ,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,test event,,,,,,,,FON-International Association,,,,,,,bf49a80e-b3e0-4-Sponsor Class,489,,,
a1h4W00000jxQNzQAM,false,Bronze Annual Symposium Sponsor Package,10,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICGQA2,a154W000008mjlfQAA,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Annual Symposium 2020,,,,,,,,FON-International Association,,,,,,,cf7bbc41-ae72-4-Sponsor Class,526,,,
