Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Display_On_Backend_Checkout__c,OrderApi__Display_On_Frontend_Checkout__c,OrderApi__Display_Order__c,OrderApi__Is_Enabled__c,OrderApi__Payment_Gateway__c,OrderApi__Store__c,OrderApi__Custom_Payment_Type_Template__c,OrderApi__Instructions__c,OrderApi__Auto_Post_Receipt__c,OrderApi__Auto_Post_SO__c,OrderApi__Button_Label__c,OrderApi__Image_URL__c,OrderApi__Label__c,OrderApi__Lightning_Component__c,OrderApi__Link__c,OrderApi__Payment_Gateway__r.Name,OrderApi__Store__r.Name
a2F4W000009GrDrUAK,false,Saved Payment Methods,11,2020-09-09T06:55:33.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,1,true,a184W00000Ejm3VQAR,a1P4W000004v6lWUAQ,Saved_Payment_Methods,,true,true,,,,,,Test Payment Gateway,Test1
a2F4W000009GrDsUAK,false,Credit Card,12,2020-09-09T06:55:33.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,2,true,a184W00000Ejm3VQAR,a1P4W000004v6lWUAQ,Credit_Card,,true,true,,,,,,Test Payment Gateway,Test1
a2F4W000009GrDtUAK,false,ECheck,13,2020-09-09T06:55:33.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,3,true,a184W00000Ejm3VQAR,a1P4W000004v6lWUAQ,ECheck,,true,true,,,,,,Test Payment Gateway,Test1
a2F4W000009GrDuUAK,false,Invoice Me,14,2020-09-09T06:55:33.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,false,false,4,true,,a1P4W000004v6lWUAQ,Offline,,true,true,,,,,,,Test1
a2F4W000009GrDvUAK,false,Proforma Invoice,15,2020-09-09T06:55:33.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,false,false,5,true,,a1P4W000004v6lWUAQ,Proforma_Invoice,,true,true,,,,,,,Test1
a2F4W000004rocKUAQ,false,ECheck,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,3,true,a184W00000Ejm3VQAR,a1P4W000004umaMUAQ,ECheck,,true,true,,,,,,Test Payment Gateway,FON-International Association Store
a2F4W000004rocLUAQ,false,Invoice Me,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,false,true,4,true,,a1P4W000004umaMUAQ,Offline,,true,true,,,,,,,FON-International Association Store
a2F4W000004rocMUAQ,false,Proforma Invoice,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,false,false,5,true,,a1P4W000004umaMUAQ,Proforma_Invoice,,true,true,,,,,,,FON-International Association Store
a2F4W000004rocDUAQ,false,Saved Payment Methods,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,1,true,a184W00000Ejm3YQAR,a1P4W000004umaNUAQ,Saved_Payment_Methods,,true,true,,,,,,test123,Foundation Store
a2F4W000004rocEUAQ,false,Credit Card,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,2,true,a184W00000Ejm3YQAR,a1P4W000004umaNUAQ,Credit_Card,,true,true,,,,,,test123,Foundation Store
a2F4W000004rocFUAQ,false,ECheck,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,3,true,a184W00000Ejm3YQAR,a1P4W000004umaNUAQ,ECheck,,true,true,,,,,,test123,Foundation Store
a2F4W000004rocGUAQ,false,Invoice Me,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,false,true,4,true,,a1P4W000004umaNUAQ,Offline,,true,true,,,,,,,Foundation Store
a2F4W000004rocHUAQ,false,Proforma Invoice,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,false,false,5,true,,a1P4W000004umaNUAQ,Proforma_Invoice,,true,true,,,,,,,Foundation Store
a2F4W000004rocIUAQ,false,Saved Payment Methods,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,1,true,a184W00000Ejm3VQAR,a1P4W000004umaMUAQ,Saved_Payment_Methods,,true,true,,,,,,Test Payment Gateway,FON-International Association Store
a2F4W000004rocJUAQ,false,Credit Card,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:04.000+0000,2020-09-24T07:28:04.000+0000,true,true,2,true,a184W00000Ejm3VQAR,a1P4W000004umaMUAQ,Credit_Card,"<p><b style=""color: rgb(218, 24, 24);"">Please do not click Process Payment more than once. It will charge your account twice.</b></p>",true,true,,,,,,Test Payment Gateway,FON-International Association Store
