Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Description__c,EventApi__Display_Order__c,EventApi__Event__c,EventApi__Image__c,EventApi__Event__r.Name
a2A4W000006ELZAUA4,false,Individual Seats,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,1,a1Y4W000002bRxtUAE,,FON-Awards - Tables With Assigned Seating (Community Event)
a2A4W000006ELZBUA4,false,Table 1,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,2,a1Y4W000002bRxtUAE,,FON-Awards - Tables With Assigned Seating (Community Event)
a2A4W000006ELZCUA4,false,Table 2,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,6,a1Y4W000002bRxtUAE,,FON-Awards - Tables With Assigned Seating (Community Event)
a2A4W000006ELZDUA4,false,Table 3,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,13,a1Y4W000002bRxtUAE,,FON-Awards - Tables With Assigned Seating (Community Event)
a2A4W000006ELZEUA4,false,Table 4,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,17,a1Y4W000002bRxtUAE,,FON-Awards - Tables With Assigned Seating (Community Event)
a2A4W000006ELZFUA4,false,Table 5,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,21,a1Y4W000002bRxtUAE,,FON-Awards - Tables With Assigned Seating (Community Event)
a2A4W000006ELZGUA4,false,Table 6,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,25,a1Y4W000002bRxtUAE,,FON-Awards - Tables With Assigned Seating (Community Event)
a2A4W000006ELZHUA4,false,Table 7,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,29,a1Y4W000002bRxtUAE,,FON-Awards - Tables With Assigned Seating (Community Event)
a2A4W000006ELZIUA4,false,Table 1,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,2,a1Y4W000002bRxxUAE,,FON-Awards - Tables with Assigned Seating (Lightning Event)
a2A4W000006ELZJUA4,false,Table 2,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,6,a1Y4W000002bRxxUAE,,FON-Awards - Tables with Assigned Seating (Lightning Event)
a2A4W000006ELZKUA4,false,Table 3,11,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,13,a1Y4W000002bRxxUAE,,FON-Awards - Tables with Assigned Seating (Lightning Event)
a2A4W000006ELZLUA4,false,Table 4,12,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,17,a1Y4W000002bRxxUAE,,FON-Awards - Tables with Assigned Seating (Lightning Event)
a2A4W000006ELZMUA4,false,Individual Seats,13,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,1,a1Y4W000002bRxxUAE,,FON-Awards - Tables with Assigned Seating (Lightning Event)
a2A4W000006ELZNUA4,false,Table 5,14,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,21,a1Y4W000002bRxxUAE,,FON-Awards - Tables with Assigned Seating (Lightning Event)
a2A4W000006ELZOUA4,false,Table 7,15,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,29,a1Y4W000002bRxxUAE,,FON-Awards - Tables with Assigned Seating (Lightning Event)
a2A4W000006ELZPUA4,false,Table 6,16,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,,25,a1Y4W000002bRxxUAE,,FON-Awards - Tables with Assigned Seating (Lightning Event)
