Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,PagesApi__Download_Link__c,PagesApi__Extension__c,PagesApi__Filename__c,PagesApi__MIME_Type__c,PagesApi__Media_Asset_Collection__c,PagesApi__Path__c,PagesApi__Short_Description__c,PagesApi__Title__c,OrderApi__Display_Order__c,OrderApi__Is_Default__c,OrderApi__Item__c,SystemModstamp,LastViewedDate,LastReferencedDate,PagesApi__Media_Asset_Collection__r.Name,OrderApi__Item__r.External_Id__c
a0U4W00000Ls6hTUAR,false,100,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/AbHTLSDb_Fonteva_Logo_png&amp;bucket=fonteva-customer-media-secure"" target=""_tab"">Click to Download</a>",,AbHTLSDb_Fonteva_Logo_png&bucket=fonteva-customer-media-secure,application/octet-stream,a0T4W00000lMQPMUA4,https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/AbHTLSDb_Fonteva_Logo_png&bucket=fonteva-customer-media-secure,Fonteva Logo,Fonteva Logo,,false,,2020-09-24T07:28:39.000+0000,,,FON-Uncategorized Asset Collection,
a0U4W00000Ls6hUUAR,false,101,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/hsisgQqj_VIP_Badge_jpeg"" target=""_tab"">Click to Download</a>",,hsisgQqj_VIP_Badge_jpeg,application/octet-stream,a0T4W00000lMQPNUA4,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/hsisgQqj_VIP_Badge_jpeg,,VIP Badge,,false,,2020-09-24T07:28:39.000+0000,,,FON-Training Images,
a0U4W00000Ls6hVUAR,false,102,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/vaBdNXud_Annual_Symposium_Banner_copy2_jpg"" target=""_tab"">Click to Download</a>",,vaBdNXud_Annual_Symposium_Banner_copy2_jpg,application/octet-stream,a0T4W00000lMQPNUA4,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/vaBdNXud_Annual_Symposium_Banner_copy2_jpg,Used for the 2020 Annual Symposium Event,Annual Symposium Banner Image with Text,,false,,2020-09-24T07:28:39.000+0000,,,FON-Training Images,
a0U4W00000Ls6hWUAR,false,103,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/AsTNxfWn_Annual_Meeting_Banner_Image_jpg"" target=""_tab"">Click to Download</a>",,AsTNxfWn_Annual_Meeting_Banner_Image_jpg,application/octet-stream,a0T4W00000lMQPNUA4,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/AsTNxfWn_Annual_Meeting_Banner_Image_jpg,,Annual Meeting Banner image with Text,,false,,2020-09-24T07:28:39.000+0000,,,FON-Training Images,
a0U4W00000Ls6hXUAR,false,104,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/ORYysTxA_tea_jpg&amp;bucket=fonteva-customer-media-secure"" target=""_tab"">Click to Download</a>",,ORYysTxA_tea_jpg&bucket=fonteva-customer-media-secure,application/octet-stream,a0T4W00000lMQPNUA4,https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/ORYysTxA_tea_jpg&bucket=fonteva-customer-media-secure,,BrewTeaful,,false,,2020-09-24T07:28:39.000+0000,,,FON-Training Images,
a0U4W00000Ls6hYUAR,false,105,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/QZGwPngT_Joe_Brewer_jpg&amp;bucket=fonteva-customer-media-secure"" target=""_tab"">Click to Download</a>",,QZGwPngT_Joe_Brewer_jpg&bucket=fonteva-customer-media-secure,application/octet-stream,a0T4W00000lMQPNUA4,https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/QZGwPngT_Joe_Brewer_jpg&bucket=fonteva-customer-media-secure,,Joe Brewer,,false,,2020-09-24T07:28:39.000+0000,,,FON-Training Images,
a0U4W00000Ls6hZUAR,false,99,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/ldiZapbx_FONTEVA_LOGO_BLACK_png"" target=""_tab"">Click to Download</a>",,ldiZapbx_FONTEVA_LOGO_BLACK_png,application/octet-stream,a0T4W00000lMQPNUA4,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D6A0000039vRfUAI/ldiZapbx_FONTEVA_LOGO_BLACK_png,,Fonteva Black Logo,,false,,2020-09-24T07:28:39.000+0000,,,FON-Training Images,
a0U4W00000Ls6haUAB,false,106,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/KWmAiFuI_IAGlobe_png&amp;bucket=fonteva-customer-media-secure"" target=""_tab"">Click to Download</a>",,KWmAiFuI_IAGlobe_png&bucket=fonteva-customer-media-secure,application/octet-stream,a0T4W00000lMQPNUA4,https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/KWmAiFuI_IAGlobe_png&bucket=fonteva-customer-media-secure,,IA Globe,,false,,2020-09-24T07:28:39.000+0000,,,FON-Training Images,
a0U4W00000Ls6hbUAB,false,22,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/tOZOZhmJ_ABC_png&amp;bucket=fonteva-customer-media-secure"" target=""_tab"">Click to Download</a>",,tOZOZhmJ_ABC_png&bucket=fonteva-customer-media-secure,application/octet-stream,a0T4W00000lMQPMUA4,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/tOZOZhmJ_ABC_png&bucket=fonteva-customer-media-secure,,ABC Corp,,false,,2020-09-24T07:28:39.000+0000,,,FON-Uncategorized Asset Collection,
a0U4W00000Ls6hcUAB,false,23,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:39.000+0000,"<a href=""https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JebCLKEL_234_png&amp;bucket=fonteva-customer-media-secure"" target=""_tab"">Click to Download</a>",,JebCLKEL_234_png&bucket=fonteva-customer-media-secure,application/octet-stream,a0T4W00000lMQPMUA4,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JebCLKEL_234_png&bucket=fonteva-customer-media-secure,,234,,false,,2020-09-24T07:28:39.000+0000,,,FON-Uncategorized Asset Collection,
