Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Package__c,OrderApi__Calculate_Pricing__c,OrderApi__Display_Button_Label__c,OrderApi__Display_Instructions__c,OrderApi__Display_Label__c,OrderApi__Display_Order__c,OrderApi__Is_Required__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Maximum_Quantity_Per_Item__c,OrderApi__Maximum_Quantity__c,OrderApi__Minimum_Quantity__c,EventApi__Event__c,EventApi__Schedule_Item__c,EventApi__Sponsor_Package__c,EventApi__Ticket_Type__c,OrderApi__Display_Item__c,OrderApi__Foreign_Key_Id__c,OrderApi__Group_Header__c,OrderApi__Group_Instructions_Text__c,OrderApi__Is_Group__c,OrderApi__Is_Recommended__c,OrderApi__Number_of_Free_Items__c,OrderApi__Package_Item__c,OrderApi__Package__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,EventApi__Event__r.Name,EventApi__Schedule_Item__r.External_Id__c,EventApi__Sponsor_Package__r.External_Id__c,EventApi__Ticket_Type__r.External_Id__c,OrderApi__Package_Item__r.External_Id__c
a174W00000JbHQfQAN,false,000000070,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mjoNQAQ,false,Add to Cart,,,0,false,a134W000008hICrQAM,,0,0,0,,,,a1j4W00000RiPldQAF,true,,,,false,false,,,60,58,,,,,68,
a174W00000JbHQgQAN,false,000000071,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mjoPQAQ,false,Add to Cart,,,0,false,a134W000008hICuQAM,,0,0,0,,,,a1j4W00000RiPleQAF,true,,,,false,false,,,94,61,,,,,69,
a174W00000JbHQhQAN,false,000000072,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mjoyQAA,false,Add to Cart,,,0,false,a134W000008hIDAQA2,,0,0,0,,,,a1j4W00000RiPlmQAF,true,,,,false,false,,,208,77,,,,,7,
a174W00000JbHQiQAN,false,000000045,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mjpnQAA,false,,,Merchandise Items,0,false,a134W000008hIDDQA2,,,,,,,,a1j4W00000RiPluQAF,false,,,,false,false,,,294,116,,,,,17,
a174W00000JbHQjQAN,false,000000047,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mjqaQAA,false,,,Merchandise Items,0,false,a134W000008hIDDQA2,,,,,,,,a1j4W00000RiPlwQAF,false,,,,false,false,,,295,116,,,,,18,
a174W00000JbHQkQAN,false,000000049,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mju9QAA,false,,,Merchandise Items,0,false,a134W000008hIDDQA2,,,,,,,,a1j4W00000RiPmDQAV,false,,,,false,false,,,111,116,,,,,28,
a174W00000JbHQlQAN,false,000000050,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mjpnQAA,false,,,Become a Sponsor,0,false,a134W000008hIDLQA2,,,,,,,,a1j4W00000RiPluQAF,false,,,,false,false,,,294,93,,,,,17,
a174W00000JbHQmQAN,false,000000051,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mjqaQAA,false,,,Become a Sponsor,0,false,a134W000008hIDLQA2,,,,,,,,a1j4W00000RiPlwQAF,false,,,,false,false,,,295,93,,,,,18,
a174W00000JbHQnQAN,false,000000052,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mju9QAA,false,,,Become a Sponsor,0,false,a134W000008hIDLQA2,,,,,,,,a1j4W00000RiPmDQAV,false,,,,false,false,,,111,93,,,,,28,
a174W00000JbHQoQAN,false,000000054,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:48.000+0000,2020-09-24T07:27:48.000+0000,a154W000008mjpEQAQ,true,,,Become a Local Chapter Member,0,true,,a154W000008mjpFQAQ,0,1,1,,,,,true,,,,false,false,,,146,,38,,,,,
