Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,ProgramApi__Dependency__c,ProgramApi__Display_Order__c,ProgramApi__End_Date__c,ProgramApi__Goal_Button_Label__c,ProgramApi__Maintenance__c,ProgramApi__Navigation_URL__c,ProgramApi__Program__c,ProgramApi__Published__c,ProgramApi__Requirement_Description__c,ProgramApi__Requirement_Name__c,ProgramApi__Requirement_Type__c,ProgramApi__Start_Date__c,ProgramApi__Program__r.Id
a1x4W000005lpbJQAQ,false,RN-00008,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,2,,Sign Up,false,#,a1w4W000008buKWQAY,true,Click to apply for your site visit and choose from available days.  We will confirm your scheduled visit and this task will be marked complete when the visit is completed and passed.,Site Visit,,,a1w4W000008buKWQAY
a1x4W000005lpbKQAQ,false,RN-00009,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,3,,Start Course,false,#,a1w4W000008buKWQAY,true,You must complete the course prior to your site visit.,Course,,,a1w4W000008buKWQAY
a1x4W000005lpbLQAQ,false,RN-00010,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,1,,Complete Form,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S6A000001F2Yt,a1w4W000008buKVQAY,true,The certification process begins once you fill out this form.,Registration Form,,,a1w4W000008buKVQAY
a1x4W000005lpbMQAQ,false,RN-00011,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,2,,Launch Course,false,#,a1w4W000008buKVQAY,true,,Course: Advanced Vaulting Teaching Techniques,Course,,a1w4W000008buKVQAY
a1x4W000005lpbNQAQ,false,RN-00012,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,3,,Launch Course,false,#,a1w4W000008buKVQAY,true,,Course: Vaulting with Confidence and Instilling it in Others,Course,,a1w4W000008buKVQAY
a1x4W000005lpbOQAQ,false,RN-00013,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,RN-00005,4,,Register,false,#,a1w4W000008buKVQAY,true,You must complete this exam to aquire your accreditation.,Exam: IVI Exam,Exam,,a1w4W000008buKVQAY
a1x4W000005lpbPQAQ,false,RN-00014,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,Self Report Credits,false,,a1w4W000008buKWQAY,true,,CEU Credits,CEUs,,a1w4W000008buKWQAY
a1x4W000005lpbQQAQ,false,RN-00015,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,Launch Exam,true,,a1w4W000008buKWQAY,true,,Maintenance Exam,Exam,,a1w4W000008buKWQAY
a1x4W000005lpbRQAQ,false,RN-00016,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,,Launch Exam,true,,a1w4W000008buKVQAY,false,,Maintenance Exam,Exam,,a1w4W000008buKVQAY
a1x4W000005lpbIQAQ,false,RN-00007,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,1,,Complete Form,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S6A000001F2Yt,a1w4W000008buKWQAY,true,The certification process begins once you fill out this form.,Registration Form,,,a1w4W000008buKWQAY
