Id,External_Id__c,OrderApi__Sales_Order_Line__c,OrderApi__Sales_Order_Line__r.External_Id__c
a1S4W000003diuWUAQ,1,a1I4W00000H4JwhUAF,1877
a1S4W000003diudUAA,2,a1I4W00000H4JwsUAF,1959
a1S4W000003diueUAA,3,a1I4W00000H4JxyUAF,884
a1S4W000003diufUAA,4,a1I4W00000H4Jy3UAF,889
a1S4W000003diugUAA,5,a1I4W00000H4Jy4UAF,981
a1S4W000003diuhUAA,6,a1I4W00000H4JyBUAV,988
a1S4W000003diuXUAQ,7,a1I4W00000H4Jx7UAF,2042
a1S4W000003diuYUAQ,8,a1I4W00000H4JxAUAV,2045
a1S4W000003diuZUAQ,9,a1I4W00000H4JxDUAV,583
a1S4W000003diuaUAA,10,a1I4W00000H4JxFUAV,585
a1S4W000003diucUAA,11,,
a1S4W000003diubUAA,12,a1I4W00000H4JxJUAV,589
a1S4W000003diuwUAA,13,,
a1S4W000003diuxUAA,14,,
a1S4W000003diuyUAA,15,,
a1S4W000003diuzUAA,16,,
a1S4W000003div0UAA,17,,
a1S4W000003div1UAA,18,,
a1S4W000003div2UAA,19,,
a1S4W000003div3UAA,20,,
a1S4W000003div4UAA,21,,
a1S4W000003div5UAA,22,,
a1S4W000003div6UAA,23,,
a1S4W000003div7UAA,24,,
a1S4W000003div8UAA,25,,
a1S4W000003div9UAA,26,,
a1S4W000003divAUAQ,27,,
a1S4W000003divBUAQ,28,,
a1S4W000003divCUAQ,29,,
a1S4W000003divDUAQ,30,,
a1S4W000003divEUAQ,31,,
a1S4W000003divFUAQ,32,,
a1S4W000003divGUAQ,33,,
a1S4W000003divHUAQ,34,,
a1S4W000003divIUAQ,35,,
a1S4W000003divJUAQ,36,,
a1S4W000003divKUAQ,37,,
a1S4W000003divLUAQ,38,,
a1S4W000003divMUAQ,39,,
a1S4W000003divNUAQ,40,,
a1S4W000003divVUAQ,41,,
a1S4W000003divOUAQ,42,,
a1S4W000003divPUAQ,43,,
a1S4W000003divQUAQ,44,,
a1S4W000003divRUAQ,45,,
a1S4W000003divSUAQ,46,,
a1S4W000003divTUAQ,47,,
a1S4W000003divUUAQ,48,,
a1S4W000003divWUAQ,49,,
a1S4W000003divXUAQ,50,,
a1S4W000003divYUAQ,51,,
a1S4W000003divZUAQ,52,,
a1S4W000003divaUAA,53,,
a1S4W000003divbUAA,54,,
a1S4W000003divcUAA,55,,
a1S4W000003divdUAA,56,,
a1S4W000003diveUAA,57,,
a1S4W000003divfUAA,58,,
a1S4W000003divgUAA,59,,
a1S4W000003divhUAA,60,,
a1S4W000003diviUAA,61,,
a1S4W000003divjUAA,62,,
a1S4W000003divtUAA,63,,
a1S4W000003divkUAA,64,,
a1S4W000003divlUAA,65,,
a1S4W000003divmUAA,66,,
a1S4W000003divnUAA,67,,
a1S4W000003divoUAA,68,,
a1S4W000003divpUAA,69,,
a1S4W000003divqUAA,70,,
a1S4W000003divrUAA,71,,
a1S4W000003divsUAA,72,,
a1S4W000003divuUAA,73,,
a1S4W000003divvUAA,74,,
a1S4W000003divwUAA,75,,
a1S4W000003divxUAA,76,,
a1S4W000003divyUAA,77,,
a1S4W000003divzUAA,78,,
a1S4W000003diw0UAA,79,,
a1S4W000003diw1UAA,80,,
a1S4W000003diw2UAA,81,,
a1S4W000003diw3UAA,82,,
a1S4W000003diw4UAA,83,,
a1S4W000003diw5UAA,84,,
a1S4W000003diw6UAA,85,,
a1S4W000003diw7UAA,86,,
a1S4W000003diw8UAA,87,,
a1S4W000003diw9UAA,88,,
a1S4W000003diwAUAQ,89,,
a1S4W000003diwBUAQ,90,,
a1S4W000003diwCUAQ,91,,
a1S4W000003diwDUAQ,92,,
a1S4W000003diwEUAQ,93,,
a1S4W000003diwFUAQ,94,,
a1S4W000003diwGUAQ,95,a1I4W00000H4KHQUA3,279
a1S4W000003diwHUAQ,96,a1I4W00000H4KHRUA3,280
a1S4W000003diwIUAQ,97,,
a1S4W000003diwJUAQ,98,a1I4W00000H4KHcUAN,325
a1S4W000003diwKUAQ,99,a1I4W00000H4KHiUAN,364
a1S4W000003diwLUAQ,100,a1I4W00000H4KHjUAN,204
a1S4W000003diwMUAQ,101,a1I4W00000H4KHlUAN,206
a1S4W000003diwNUAQ,102,a1I4W00000H4KHnUAN,208
a1S4W000003diwOUAQ,103,a1I4W00000H4KHsUAN,245
a1S4W000003diwPUAQ,104,a1I4W00000H4KHsUAN,245
a1S4W000003diwQUAQ,105,a1I4W00000H4KHvUAN,248
a1S4W000003diwRUAQ,106,a1I4W00000H4KHxUAN,250
a1S4W000003diwSUAQ,107,a1I4W00000H4KHyUAN,251
a1S4W000003diwTUAQ,108,a1I4W00000H4KIVUA3,340
a1S4W000003diwUUAQ,109,a1I4W00000H4KInUAN,23
a1S4W000003diwVUAQ,110,a1I4W00000H4KIpUAN,26
a1S4W000003diwWUAQ,111,a1I4W00000H4KIrUAN,29
a1S4W000003diwXUAQ,112,a1I4W00000H4KJ1UAN,56
a1S4W000003diwYUAQ,113,a1I4W00000H4KJDUA3,87
a1S4W000003diwZUAQ,114,a1I4W00000H4KJIUA3,92
a1S4W000003diwaUAA,115,a1I4W00000H4K10UAF,151
a1S4W000003diuoUAA,116,a1I4W00000H4Jz0UAF,1365
a1S4W000003diupUAA,117,a1I4W00000H4Jz4UAF,1444
a1S4W000003diuqUAA,118,a1I4W00000H4Jz5UAF,1445
a1S4W000003diurUAA,119,a1I4W00000H4Jz6UAF,1446
a1S4W000003diusUAA,120,a1I4W00000H4Jz8UAF,1448
a1S4W000003diwbUAA,121,a1I4W00000H4JzWUAV,413
a1S4W000003diuiUAA,122,a1I4W00000H4K05UAF,498
a1S4W000003diujUAA,123,,
a1S4W000003diukUAA,124,a1I4W00000H4K0KUAV,530
a1S4W000003diulUAA,125,a1I4W00000H4K0MUAV,532
a1S4W000003diumUAA,126,a1I4W00000H4K0OUAV,534
a1S4W000003diunUAA,127,a1I4W00000H4K0ZUAV,566
a1S4W000003diu2UAA,128,,
a1S4W000003diu3UAA,129,a1I4W00000H4JtsUAF,2034
a1S4W000003diutUAA,130,a1I4W00000H4JttUAF,570
a1S4W000003diuuUAA,131,a1I4W00000H4JtuUAF,571
a1S4W000003diu4UAA,132,a1I4W00000H4JtyUAF,575
a1S4W000003diu5UAA,133,a1I4W00000H4Ju6UAF,661
a1S4W000003diu6UAA,134,a1I4W00000H4JuBUAV,666
a1S4W000003diuvUAA,135,a1I4W00000H4JuCUAV,667
a1S4W000003dityUAA,136,a1I4W00000H4Jt4UAF,1749
a1S4W000003ditzUAA,137,,
a1S4W000003diu0UAA,138,,
a1S4W000003diu7UAA,139,a1I4W00000H4JuEUAV,669
a1S4W000003diu8UAA,140,a1I4W00000H4JuKUAV,742
a1S4W000003ditxUAA,141,,
a1S4W000003diu1UAA,142,,
a1S4W000003diuAUAQ,143,a1I4W00000H4JuPUAV,747
a1S4W000003diu9UAA,144,a1I4W00000H4JuQUAV,748
